ID	Gene.symbol	Gene.title	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
39897_at	YTHDC1	YTH domain containing 1	0.926	3.49
39977_at	ZBTB11	zinc finger and BTB domain containing 11	0.779	3.533
39988_at	TAP2	transporter 2, ATP binding cassette subfamily B member	0.48	2.768
40019_at	EVI2B	ecotropic viral integration site 2B	2.45	4.165
40037_at	XPNPEP2	X-prolyl aminopeptidase 2	-1.081	2.651
40038_at	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7	-0.543	2.876
40063_at	CALCOCO2	calcium binding and coiled-coil domain 2	0.726	3.028
40067_at	ELF1	E74 like ETS transcription factor 1	0.722	3.029
40074_at	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	0.964	4.115
40076_at	TPD52L2	tumor protein D52 like 2	0.978	3.152
40083_at	SETX	senataxin	0.537	2.78
40087_at	UNC13B	unc-13 homolog B	-0.412	3.018
40095_at	CA2	carbonic anhydrase 2	-1.257	3.653
40117_at	MCM6	minichromosome maintenance complex component 6	0.503	4.014
40120_at	HAGH	hydroxyacylglutathione hydrolase	-0.693	2.972
40146_at	RAP1B	RAP1B, member of RAS oncogene family	0.854	2.695
40153_at	TAP1	transporter 1, ATP binding cassette subfamily B member	1.304	4.829
40186_at	DUSP9	dual specificity phosphatase 9	-0.601	2.693
40201_at	DDC	dopa decarboxylase	-1.955	3.005
40215_at	UGCG	UDP-glucose ceramide glucosyltransferase	0.77	2.746
40239_g_at	IQCK	IQ motif containing K	-0.617	3.746
40280_at	LRRC23	leucine rich repeat containing 23	-0.611	4.009
40282_s_at	CFD	complement factor D	0.988	5.906
40299_at	GPR161	G protein-coupled receptor 161	-0.425	2.73
402_s_at	ICAM3	intercellular adhesion molecule 3	0.765	3.03
40310_at	TLR2	toll like receptor 2	1.689	2.652
40325_at	NTHL1	nth like DNA glycosylase 1	0.417	3.882
40369_f_at	HLA-G	major histocompatibility complex, class I, G	0.949	4.799
40370_f_at	HLA-G	major histocompatibility complex, class I, G	0.939	4.722
40407_at	KPNA2	karyopherin subunit alpha 2	1.068	3.812
40442_f_at	SERBP1	SERPINE1 mRNA binding protein 1	-0.751	3.722
40468_at	FNBP1	formin binding protein 1	1.129	4.444
40493_at	CD44	CD44 molecule (Indian blood group)	1.747	5.356
404_at	IL4R	interleukin 4 receptor	1.08	4.099
40505_at	UBE2L6	ubiquitin conjugating enzyme E2 L6	1.329	7.178
40516_at	AHR	aryl hydrocarbon receptor	0.932	2.624
40518_at	PTPRC	protein tyrosine phosphatase, receptor type C	2.477	4.576
40519_at	PTPRC	protein tyrosine phosphatase, receptor type C	2.418	3.901
40520_g_at	PTPRC	protein tyrosine phosphatase, receptor type C	0.965	3.694
40522_at	GLUL	glutamate-ammonia ligase	1.447	3.566
40541_at	ASS1	argininosuccinate synthase 1	-1.451	5.235
40552_s_at			0.714	2.714
40582_at	PTPRJ	protein tyrosine phosphatase, receptor type J	-0.555	3.043
40585_at	ADCY7	adenylate cyclase 7	1.458	4.844
40615_at	SPG11	spastic paraplegia 11 (autosomal recessive)	0.559	3.117
40634_at	NAP1L1	nucleosome assembly protein 1 like 1	0.549	3.055
40678_at	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	-0.521	3.287
40698_at	CLEC2B	C-type lectin domain family 2 member B	1.324	3.059
40699_at	CD8A	CD8a molecule	1.195	4.259
40702_at	IFNG	interferon gamma	0.342	2.868
40720_at	TRAF3IP3	TRAF3 interacting protein 3	1.142	5.068
40739_at	CA4	carbonic anhydrase 4	-0.595	2.936
40756_at	NPM3	nucleophosmin/nucleoplasmin 3	0.266	3.484
40757_at	GZMA	granzyme A	1.028	3.099
40765_at	LOC102724985///PDXDC1	pyridoxal-dependent decarboxylase domain-containing protein 1///pyridoxal dependent decarboxylase domain containing 1	-0.379	2.639
40775_at	ITM2A	integral membrane protein 2A	1.53	2.948
40786_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.696	3.04
40818_at	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	1.113	2.968
40822_at	NFATC3	nuclear factor of activated T-cells 3	0.892	3.555
40841_at	TACC1	transforming acidic coiled-coil containing protein 1	0.7	2.627
40866_at	NIPSNAP1	nipsnap homolog 1 (C. elegans)	-0.662	3.314
40874_at	CDV3	CDV3 homolog	0.649	3.466
40910_at	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1	1.672	5.513
40992_s_at	SAP30	Sin3A associated protein 30	0.493	2.847
41000_at	FOXN3	forkhead box N3	0.927	3.854
41045_at	SECTM1	secreted and transmembrane 1	0.862	2.696
41125_r_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	-0.538	3.195
41140_at	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	0.834	5.308
41146_at	PARP1	poly(ADP-ribose) polymerase 1	0.55	2.747
41168_at	TAPBP	TAP binding protein (tapasin)	1.51	6.025
41170_at	LOC441155///ZC3H11A	zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A	0.823	2.772
41171_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	1.158	4.668
41179_at	RNF44	ring finger protein 44	0.663	3.582
41184_s_at	PSMB8	proteasome subunit beta 8	1.204	6.127
41226_at	DUSP3	dual specificity phosphatase 3	-0.338	3.068
41237_at	HLA-A	major histocompatibility complex, class I, A	1.181	2.913
41243_at	SLC35E2B///SLC35E2	solute carrier family 35 member E2B///solute carrier family 35 member E2	0.848	3.256
41256_at	EEF1D	eukaryotic translation elongation factor 1 delta	0.976	4.094
41271_at	SLC7A8	solute carrier family 7 member 8	-1.196	4.763
41292_at	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	0.798	2.756
41368_at	SLC13A3	solute carrier family 13 member 3	-1.27	3.128
41409_at	THEMIS2	thymocyte selection associated family member 2	0.561	3.579
41422_at	DPYS	dihydropyrimidinase	-1.604	4.242
41425_at	FLI1	Fli-1 proto-oncogene, ETS transcription factor	0.747	3.42
41446_f_at	MT1P3///MT1M///MT1G///MT1F	metallothionein 1 pseudogene 3///metallothionein 1M///metallothionein 1G///metallothionein 1F	-1.194	3.795
41461_at	PMS1	PMS1 homolog 1, mismatch repair system component	0.45	2.829
41468_at	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2	0.544	3.006
41472_at	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	0.835	4.843
41483_s_at	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	0.969	3.071
41497_at	CDKN2D	cyclin dependent kinase inhibitor 2D	-0.663	3.762
41528_at	FAM168B	family with sequence similarity 168 member B	-0.582	3.974
41585_at	SEL1L3	SEL1L family member 3	0.918	3.916
41609_at	HLA-DMB	major histocompatibility complex, class II, DM beta	1.001	3.388
41635_at	WTAP	Wilms tumor 1 associated protein	1.126	3.606
41646_at	TAOK3	TAO kinase 3	0.716	3.201
41649_at	FOXJ2	forkhead box J2	0.462	3.015
41703_r_at			-0.482	3.617
41706_at	C1QTNF3-AMACR///AMACR	C1QTNF3-AMACR readthrough (NMD candidate)///alpha-methylacyl-CoA racemase	-0.722	3.286
41710_at	GSAP	gamma-secretase activating protein	0.913	4.19
41723_s_at	LOC101060835///LOC100996809///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 6 (pseudogene)///major histocompatibility complex, class II, DR beta 5///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1	1.57	3.458
41731_g_at	MYL3	myosin light chain 3	-0.588	4.627
41741_at	RBM3	RNA binding motif (RNP1, RRM) protein 3	1.003	2.973
41759_at	SKP1	S-phase kinase-associated protein 1	-0.441	2.711
41764_at	APOC1	apolipoprotein C1	1.08	4.029
41819_at	FYB	FYN binding protein	1.74	3.069
41868_at	GGT2///GGTLC1///GGTLC2///GGT1	gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1	-1.248	2.938
454_at	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	-0.798	4.412
525_g_at	PMS1	PMS1 homolog 1, mismatch repair system component	0.532	3
534_s_at	FOLR1	folate receptor 1	-0.66	3.389
553_g_at	ARHGAP1	Rho GTPase activating protein 1	0.676	4.162
571_at	NAP1L1	nucleosome assembly protein 1 like 1	0.977	3.173
574_s_at	CASP1	caspase 1	1.139	5.124
586_s_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1	-0.739	2.891
597_at	KITLG	KIT ligand	0.388	2.701
609_f_at	MT1B	metallothionein 1B	-1.095	3.035
649_s_at	CXCR4	C-X-C motif chemokine receptor 4	2.226	5.599
660_at	CYP24A1	cytochrome P450 family 24 subfamily A member 1	-1.688	4.89
668_s_at	MMP7	matrix metallopeptidase 7	1.538	3.003
675_at	IFITM1	interferon induced transmembrane protein 1	0.942	2.861
715_s_at	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1	-1.125	3.688
730_r_at	MUC3A	mucin 3A, cell surface associated	-0.497	2.685
742_at	HABP2	hyaluronan binding protein 2	-0.491	3.547
770_at	GPX3	glutathione peroxidase 3	-2.016	4.153
816_g_at	DOK1	docking protein 1	0.428	3.609
818_s_at	ATRX	ATRX, chromatin remodeler	0.602	2.749
838_s_at	UBE2I	ubiquitin conjugating enzyme E2 I	0.366	2.708
856_at	CD4	CD4 molecule	-0.625	2.647
870_f_at	MT3	metallothionein 3	-1.101	4.07
925_at	IFI30///PIK3R2	IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2	1.344	5.86
926_at	MT1G	metallothionein 1G	-2.114	5.431
935_at	CAP1	adenylate cyclase associated protein 1	0.862	3.447
947_at	MCM7	minichromosome maintenance complex component 7	0.531	3.104
AFFX-HUMGAPDH/M33197_M_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	-0.711	3.487
AFFX-HUMISGF3A/M97935_3_at	STAT1	signal transducer and activator of transcription 1	1.613	4.826
AFFX-HUMISGF3A/M97935_MA_at	STAT1	signal transducer and activator of transcription 1	0.516	2.782
