ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
222131_x_at	RHOT2	ras homolog family member T2	1.687	2.239
222136_x_at	ZNF729///ZNF43	zinc finger protein 729///zinc finger protein 43	0.859	2.57
222139_at	ERV3-2	endogenous retrovirus group 3 member 2	2.067	3.947
222140_s_at	GPR89A///GPR89B	G protein-coupled receptor 89A///G protein-coupled receptor 89B	-1.066	2.835
222146_s_at	TCF4	transcription factor 4	1.72	2.733
222150_s_at	GSAP	gamma-secretase activating protein	0.782	2.819
222158_s_at	DESI2	desumoylating isopeptidase 2	0.484	2.431
222183_x_at	MBD3	methyl-CpG binding domain protein 3	-0.944	1.981
222188_at	TRMO	tRNA methyltransferase O	-2.153	2.197
222193_at	LDAH	lipid droplet associated hydrolase	-1.008	4.61
222204_s_at	RRN3	RRN3 homolog, RNA polymerase I transcription factor	0.804	2.565
222209_s_at	TMEM135	transmembrane protein 135	1.109	2.148
222217_s_at	SLC27A3	solute carrier family 27 member 3	1.516	4.189
222220_s_at	TSNAXIP1	translin associated factor X interacting protein 1	-0.88	2.375
222221_x_at	EHD1	EH domain containing 1	-0.664	2.311
222271_at			-1.52	4.014
222280_at	TMEM147-AS1	TMEM147 antisense RNA 1	-0.919	5.144
222292_at	CD40	CD40 molecule	1.397	2.144
222302_at			-0.957	3.675
222322_at			-2.678	3.426
222325_at			-2.562	2.299
222326_at			0.921	2.023
222333_at	ALS2CL	ALS2 C-terminal like	-0.901	3.27
222338_x_at			-0.753	3.27
222345_at	EMC10	ER membrane protein complex subunit 10	-1.76	2.409
222351_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	-1.492	2.245
222356_at			-1.27	2.071
222365_at	TBCEL	tubulin folding cofactor E like	-1.631	3.512
222368_at			-0.863	2.955
222372_at	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	-1.095	2.603
222373_at			-1.22	2.675
222383_s_at	ALOXE3	arachidonate lipoxygenase 3	-1.299	2.009
31835_at	HRG	histidine rich glycoprotein	-2.552	6.369
31845_at	ELF4	E74 like ETS transcription factor 4	1.354	4.308
32091_at	SLC25A44	solute carrier family 25 member 44	-1.131	3.894
32137_at	JAG2	jagged 2	0.989	2.483
32837_at	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	-0.706	2.895
33304_at	ISG20	interferon stimulated exonuclease gene 20	2.023	3.98
33814_at	PAK4	p21 (RAC1) activated kinase 4	-0.579	3.011
34210_at	CD52	CD52 molecule	4.031	7.595
34471_at	MYH8	myosin heavy chain 8	-1.561	2.114
34689_at	ATRIP///TREX1	ATR interacting protein///three prime repair exonuclease 1	0.563	2.417
34764_at	LARS2	leucyl-tRNA synthetase 2, mitochondrial	-0.891	3.057
35148_at	TJP3	tight junction protein 3	-2.452	3.849
35150_at	CD40	CD40 molecule	0.771	3.129
35201_at	HNRNPL	heterogeneous nuclear ribonucleoprotein L	-0.561	2.272
35265_at	FXR2	FMR1 autosomal homolog 2	-0.7	3.918
35671_at	GTF3C1	general transcription factor IIIC subunit 1	-0.556	2.574
35685_at	RING1	ring finger protein 1	-0.547	2.517
35820_at	GM2A	GM2 ganglioside activator	2.455	3.658
36030_at	IFFO1	intermediate filament family orphan 1	0.709	3.019
36475_at	GCAT	glycine C-acetyltransferase	-1.182	4.069
36564_at	RNF19B	ring finger protein 19B	0.498	2.392
37117_at	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8	-1.372	4.794
37145_at	GNLY	granulysin	2.715	2.846
37201_at	ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4	-0.88	2.666
37590_g_at			-1.57	4.605
38069_at	CLCN7	chloride voltage-gated channel 7	-0.975	4.139
38149_at	ARHGAP25	Rho GTPase activating protein 25	1.22	5.429
38158_at	ESPL1	extra spindle pole bodies like 1, separase	-0.951	2.929
38241_at	BTN3A3	butyrophilin subfamily 3 member A3	1.752	4.487
38340_at	HIP1R	huntingtin interacting protein 1 related	-0.87	3.003
38398_at	MADD	MAP kinase activating death domain	-0.491	2.026
38487_at	STAB1	stabilin 1	1.105	3.238
38671_at	PLXND1	plexin D1	1.601	4.97
38710_at	LOC101927673///OTUB1	uncharacterized LOC101927673///OTU deubiquitinase, ubiquitin aldehyde binding 1	-0.502	2.308
38964_r_at	WAS	Wiskott-Aldrich syndrome	0.774	2.417
