ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
205084_at	BCAP29	B-cell receptor-associated protein 29	0.773	2.025
205091_x_at	RECQL	RecQ like helicase	1.547	5.958
205102_at	TMPRSS2	transmembrane protease, serine 2	-1.414	2.784
205106_at	CMC4///MTCP1	C-X9-C motif containing 4///mature T-cell proliferation 1	3.136	4.408
205117_at	FGF1	fibroblast growth factor 1	-4.459	7.202
205125_at	PLCD1	phospholipase C delta 1	-0.71	2
205129_at	NPM3	nucleophosmin/nucleoplasmin 3	-0.721	2.713
205132_at	ACTC1	actin, alpha, cardiac muscle 1	-0.804	2.485
205139_s_at	UST	uronyl 2-sulfotransferase	-0.702	2.28
205147_x_at	NCF4	neutrophil cytosolic factor 4	1.014	2.198
205153_s_at	CD40	CD40 molecule	2.327	4.609
205154_at	LRRN2	leucine rich repeat neuronal 2	-3.406	6.915
205155_s_at	SPTBN2	spectrin beta, non-erythrocytic 2	-3.111	4.745
205156_s_at	ASIC1	acid sensing ion channel subunit 1	-1.716	2.106
205158_at	RNASE4	ribonuclease A family member 4	1.584	3.5
205159_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	1.405	5.35
205167_s_at	CDC25C	cell division cycle 25C	1.669	1.993
205171_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	-0.771	2.695
205173_x_at	CD58	CD58 molecule	1.205	4.306
205175_s_at	KHK	ketohexokinase	-2.763	2.203
205184_at	GNG4	G protein subunit gamma 4	-1.124	2.626
205191_at	RP2	retinitis pigmentosa 2 (X-linked recessive)	1.378	2.434
205199_at	CA9	carbonic anhydrase 9	4.081	9.787
205204_at	NMB	neuromedin B	1.459	3.905
205208_at	ALDH1L1	aldehyde dehydrogenase 1 family member L1	-1.782	2.59
205209_at	ACVR1B	activin A receptor type 1B	-0.729	2.786
205210_at	TGFBRAP1	transforming growth factor beta receptor associated protein 1	2.003	3.076
205214_at	STK17B	serine/threonine kinase 17b	1.155	2.533
205216_s_at	APOH	apolipoprotein H	-2.679	2.438
205221_at	HGD	homogentisate 1,2-dioxygenase	-1.605	3.949
205222_at	EHHADH	enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase	-1.169	2.199
205225_at	ESR1	estrogen receptor 1	-0.711	2.697
205229_s_at	COCH	cochlin	-1.809	2.712
205235_s_at	KIF20B	kinesin family member 20B	2.539	6.041
205236_x_at	SOD3	superoxide dismutase 3, extracellular	-0.836	3.332
205243_at	SLC13A3	solute carrier family 13 member 3	-4.146	7.255
205244_s_at	SLC13A3	solute carrier family 13 member 3	-7.501	7.813
205245_at	PARD6A	par-6 family cell polarity regulator alpha	-0.832	2.41
205247_at	NOTCH4	notch 4	1.398	2.228
205257_s_at	AMPH	amphiphysin	-1.517	2.834
205258_at	INHBB	inhibin beta B subunit	3.242	3.283
205259_at	NR3C2	nuclear receptor subfamily 3 group C member 2	-1.256	2.215
205269_at	LCP2	lymphocyte cytosolic protein 2	2.063	5.678
205270_s_at	LCP2	lymphocyte cytosolic protein 2	2.53	5.735
205278_at	GAD1	glutamate decarboxylase 1	-2.561	2.574
205285_s_at	FYB	FYN binding protein	1.978	3.6
205293_x_at	BAIAP2	BAI1 associated protein 2	-2.047	2.733
205295_at	CKMT2	creatine kinase, mitochondrial 2	-1.73	3.588
205298_s_at	BTN2A2	butyrophilin subfamily 2 member A2	0.62	2.018
205306_x_at	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	-1.713	2.027
205308_at	ZC2HC1A	zinc finger C2HC-type containing 1A	-0.502	2.016
205311_at	DDC	dopa decarboxylase	-2.91	7.792
205312_at	SPI1	Spi-1 proto-oncogene	1.87	2.276
205316_at	SLC15A2	solute carrier family 15 member 2	-1.822	5.004
205325_at	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	-2.911	6.144
205328_at	CLDN10	claudin 10	-1.953	6.606
205336_at	PVALB	parvalbumin	-3.866	5.964
205341_at	EHD2	EH domain containing 2	1.452	2.513
205342_s_at	SULT1C2	sulfotransferase family 1C member 2	-1.908	3.413
205343_at	SULT1C2	sulfotransferase family 1C member 2	-2.441	5.157
205345_at	BARD1	BRCA1 associated RING domain 1	2.79	3.039
205350_at	CRABP1	cellular retinoic acid binding protein 1	-1.714	2.573
205353_s_at	PEBP1	phosphatidylethanolamine binding protein 1	-1.205	4.987
205356_at	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	-0.544	2.021
205361_s_at	PFDN4	prefoldin subunit 4	0.772	3.093
205362_s_at	PFDN4	prefoldin subunit 4	-1.071	2.013
205364_at	ACOX2	acyl-CoA oxidase 2	-2.548	9.124
205366_s_at	HOXB6	homeobox B6	-1.026	2.514
205367_at	SH2B2	SH2B adaptor protein 2	-0.772	2.772
205369_x_at	DBT	dihydrolipoamide branched chain transacylase E2	-1.32	3.744
205370_x_at	DBT	dihydrolipoamide branched chain transacylase E2	-0.431	2.277
205372_at	PLAG1	PLAG1 zinc finger	-2.595	3.397
205380_at	PDZK1	PDZ domain containing 1	-1.058	4.107
205397_x_at	SMAD3	SMAD family member 3	1.602	3.097
205399_at	DCLK1	doublecortin like kinase 1	1.982	3.033
205403_at	IL1R2	interleukin 1 receptor type 2	-2.763	2.645
205405_at	SEMA5A	semaphorin 5A	-0.802	3.19
205408_at	MLLT10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10	0.734	2.484
205412_at	ACAT1	acetyl-CoA acetyltransferase 1	-1.596	5.589
205413_at	MPPED2	metallophosphoesterase domain containing 2	-2.179	4.276
205417_s_at	DAG1	dystroglycan 1	-0.933	3.629
205419_at	GPR183	G protein-coupled receptor 183	1.874	2.511
205434_s_at	AAK1	AP2 associated kinase 1	-0.775	3.105
205435_s_at	AAK1	AP2 associated kinase 1	-1.067	2.997
205445_at	PRL	prolactin	-1.175	3.353
205451_at	FOXO4	forkhead box O4	-1.763	3.146
205462_s_at	HPCAL1	hippocalcin like 1	2.499	6.406
205464_at	SCNN1B	sodium channel epithelial 1 beta subunit	-2.585	5.312
205467_at	CASP10	caspase 10	1.474	3.538
205471_s_at	DACH1	dachshund family transcription factor 1	-2.41	4.448
205472_s_at	DACH1	dachshund family transcription factor 1	-3.5	5.466
205473_at	ATP6V1B1	ATPase H+ transporting V1 subunit B1	-4.561	8.471
205474_at	CRLF3	cytokine receptor like factor 3	0.841	3.708
205478_at	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	-7.078	5.395
205479_s_at	PLAU	plasminogen activator, urokinase	-1.52	3.647
205483_s_at	ISG15	ISG15 ubiquitin-like modifier	1.446	3.546
205489_at	CRYM	crystallin mu	-1.846	5.266
205495_s_at	GNLY	granulysin	1.498	2.021
205500_at	C5	complement component 5	-1.415	3.185
205502_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1	-3.015	7.25
205504_at	BTK	Bruton tyrosine kinase	0.972	2.415
205512_s_at	AIFM1	apoptosis inducing factor, mitochondria associated 1	-0.855	2.697
205522_at	HOXD4	homeobox D4	-1.115	3.977
205523_at	HAPLN1	hyaluronan and proteoglycan link protein 1	3.109	5.141
205524_s_at	HAPLN1	hyaluronan and proteoglycan link protein 1	2.689	4.922
205525_at	CALD1	caldesmon 1	1.227	3.177
205530_at	ETFDH	electron transfer flavoprotein dehydrogenase	-0.653	2.384
205531_s_at	GLS2	glutaminase 2	-1.551	3.358
205532_s_at	CDH6	cadherin 6	2.193	3.921
205533_s_at	CDH6	cadherin 6	2.03	2.484
205539_at	AVIL	advillin	-1.229	3.435
205549_at	PCP4	Purkinje cell protein 4	-3.535	4.94
205552_s_at	OAS1	2'-5'-oligoadenylate synthetase 1	1.632	2.783
205557_at	LOC149684///BPI	uncharacterized LOC149684///bactericidal/permeability-increasing protein	-3.289	2.946
205569_at	LAMP3	lysosomal associated membrane protein 3	2.046	3.408
205572_at	ANGPT2	angiopoietin 2	4.725	3.698
205574_x_at	BMP1	bone morphogenetic protein 1	1.586	2.467
205578_at	ROR2	receptor tyrosine kinase like orphan receptor 2	-2.267	4.668
205579_at	HRH1	histamine receptor H1	1.14	2.519
205580_s_at	HRH1	histamine receptor H1	1.025	2.058
205583_s_at	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	0.983	2.254
205584_at	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	2.066	2.638
205585_at	ETV6	ETS variant 6	1.225	2.743
205588_s_at	FGFR1OP	FGFR1 oncogene partner	0.846	2.228
205592_at	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	-5.013	11.79
205600_x_at	HOXB5	homeobox B5	-0.921	3.877
205608_s_at	ANGPT1	angiopoietin 1	-0.684	2.093
205611_at	TNFSF12-TNFSF13///TNFSF12	TNFSF12-TNFSF13 readthrough///tumor necrosis factor superfamily member 12	2.012	2.609
205614_x_at	MST1	macrophage stimulating 1	-1.608	3.969
205617_at	PRRG2	proline rich and Gla domain 2	-1.851	3.092
205624_at	CPA3	carboxypeptidase A3	2.17	4.43
205625_s_at	CALB1	calbindin 1	-6.019	7.127
205626_s_at	CALB1	calbindin 1	-5.718	8.533
205632_s_at	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	-0.954	3.231
205633_s_at	ALAS1	5'-aminolevulinate synthase 1	-0.754	2.084
205639_at	AOAH	acyloxyacyl hydrolase	2.229	2.941
205651_x_at	RAPGEF4	Rap guanine nucleotide exchange factor 4	1.708	2.392
205656_at	PCDH17	protocadherin 17	1.634	3.482
205657_at	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	-0.652	2.684
205659_at	HDAC9	histone deacetylase 9	1.191	2.364
205665_at	TSPAN9	tetraspanin 9	2.58	5.772
205666_at	FMO1	flavin containing monooxygenase 1	-2.246	4.28
205668_at	LY75	lymphocyte antigen 75	1.003	2.126
205670_at	GAL3ST1	galactose-3-O-sulfotransferase 1	2.608	4.348
205673_s_at	ASB9	ankyrin repeat and SOCS box containing 9	-1.32	3.269
205674_x_at	FXYD2	FXYD domain containing ion transport regulator 2	-0.94	3.173
205675_at	MTTP	microsomal triglyceride transfer protein	-3.029	4.847
205676_at	CYP27B1	cytochrome P450 family 27 subfamily B member 1	-4	4.495
205682_x_at	APOM	apolipoprotein M	-2.269	8.869
205684_s_at	DENND4C	DENN domain containing 4C	1.325	2.244
205686_s_at	CD86	CD86 molecule	2.03	2.6
205692_s_at	CD38	CD38 molecule	2.323	3.708
205694_at	TYRP1	tyrosinase related protein 1	-3.367	5.427
205708_s_at	TRPM2	transient receptor potential cation channel subfamily M member 2	-0.647	2.169
205709_s_at	CDS1	CDP-diacylglycerol synthase 1	-1.188	2.986
205710_at	LRP2	LDL receptor related protein 2	-0.941	2.527
205711_x_at	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	-0.761	6.333
205712_at	PTPRD	protein tyrosine phosphatase, receptor type D	-1.161	2.77
205717_x_at	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3	protocadherin gamma subfamily A, 1///protocadherin gamma subfamily A, 2///protocadherin gamma subfamily A, 3///protocadherin gamma subfamily A, 4///protocadherin gamma subfamily A, 5///protocadherin gamma subfamily A, 6///protocadherin gamma subfamily A, 7///protocadherin gamma subfamily A, 9///protocadherin gamma subfamily A, 10///protocadherin gamma subfamily A, 11///protocadherin gamma subfamily B, 1///protocadherin gamma subfamily B, 2///protocadherin gamma subfamily B, 3///protocadherin gamma subfamily B, 5///protocadherin gamma subfamily B, 6///protocadherin gamma subfamily B, 7///protocadherin gamma subfamily C, 4///protocadherin gamma subfamily C, 5///protocadherin gamma subfamily A, 12///protocadherin gamma subfamily A, 8///protocadherin gamma subfamily B, 4///protocadherin gamma subfamily C, 3	0.626	2.324
205719_s_at	LOC101929036///PAH	uncharacterized LOC101929036///phenylalanine hydroxylase	-5.207	7.524
205726_at	DIAPH2	diaphanous related formin 2	1.313	2.781
205730_s_at	ABLIM3	actin binding LIM protein family member 3	1.406	2.851
205744_at	DOC2A	double C2 domain alpha	2.968	4.697
205750_at	BPHL	biphenyl hydrolase like	-2.209	5.4
205751_at	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1	-3.166	6.832
205752_s_at	GSTM5	glutathione S-transferase mu 5	-0.832	2.799
205756_s_at	F8	coagulation factor VIII	2.509	5.767
205757_at	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	-1.923	5.213
205758_at	CD8A	CD8a molecule	2.192	2.141
205760_s_at	OGG1	8-oxoguanine DNA glycosylase	-0.807	2.902
205763_s_at	DDX18	DEAD-box helicase 18	1.134	6.358
205768_s_at	SLC27A2	solute carrier family 27 member 2	-1.96	2.644
205769_at	SLC27A2	solute carrier family 27 member 2	-1.907	2.14
205774_at	F12	coagulation factor XII	1.811	2.234
205776_at	FMO5	flavin containing monooxygenase 5	-1.373	4.444
205777_at	DUSP9	dual specificity phosphatase 9	-3.232	7.121
205778_at	KLK7	kallikrein related peptidase 7	-1.851	2.423
205786_s_at	ITGAM	integrin subunit alpha M	1.773	4.302
205789_at	CD1D	CD1d molecule	2.178	3.758
205796_at	TCP11L1	t-complex 11 like 1	1.857	2.631
205797_s_at	TCP11L1	t-complex 11 like 1	1.581	2.391
205801_s_at	RASGRP3	RAS guanyl releasing protein 3	1.348	2.417
205803_s_at	TRPC1	transient receptor potential cation channel subfamily C member 1	0.957	2.278
205809_s_at	WASL	Wiskott-Aldrich syndrome like	-0.95	2.513
205820_s_at	APOC3	apolipoprotein C3	-2.94	2.306
205824_at	HSPB2	heat shock protein family B (small) member 2	1.9	2.419
205826_at	MYOM2	myomesin 2	-1.514	2.864
205831_at	CD2	CD2 molecule	2.038	2.421
205836_s_at	YTHDC2	YTH domain containing 2	1	2.696
205838_at	GYPA	glycophorin A (MNS blood group)	-1.995	2.08
205843_x_at	CRAT	carnitine O-acetyltransferase	-0.815	2.267
205847_at	PRSS22	protease, serine 22	-0.698	2.009
205848_at	GAS2	growth arrest specific 2	-1.112	2.036
205859_at	LY86	lymphocyte antigen 86	1.437	5.176
205862_at	GREB1	growth regulation by estrogen in breast cancer 1	-3.292	5.045
205870_at	BDKRB2	bradykinin receptor B2	-1.695	5.379
205882_x_at	ADD3	adducin 3	-0.957	4.592
205884_at	ITGA4	integrin subunit alpha 4	4.101	7.303
205885_s_at	ITGA4	integrin subunit alpha 4	2.531	3.16
205890_s_at	UBD///GABBR1	ubiquitin D///gamma-aminobutyric acid type B receptor subunit 1	2.197	4.472
205892_s_at	FABP1	fatty acid binding protein 1	-7.316	7.538
205893_at	NLGN1	neuroligin 1	1.816	4.841
205898_at	CX3CR1	C-X3-C motif chemokine receptor 1	2.635	5.623
205902_at	KCNN3	potassium calcium-activated channel subfamily N member 3	2.666	2.284
205903_s_at	KCNN3	potassium calcium-activated channel subfamily N member 3	3.634	6.175
205910_s_at	CEL	carboxyl ester lipase	-4.236	8.228
205911_at	PTH1R	parathyroid hormone 1 receptor	-3.565	10.336
205931_s_at	LOC401317///CREB5	uncharacterized LOC401317///cAMP responsive element binding protein 5	1.647	3.301
205934_at	PLCL1	phospholipase C like 1	-2.323	5.773
205937_at	CGREF1	cell growth regulator with EF-hand domain 1	2.719	2.586
205939_at	CYP3A7-CYP3A51P///CYP3A7	CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7	-1.529	2.175
205940_at	MYH3	myosin, heavy chain 3, skeletal muscle, embryonic	-2.095	2.271
205942_s_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	-1.246	2.875
205948_at	PTPRT	protein tyrosine phosphatase, receptor type T	-1.879	2.728
205952_at	KCNK3	potassium two pore domain channel subfamily K member 3	2.298	2.422
205955_at	TAF6L	TATA-box binding protein associated factor 6 like	-0.793	2.326
205961_s_at	PSIP1	PC4 and SFRS1 interacting protein 1	1.542	3.534
205963_s_at	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	-0.73	2.202
205967_at	HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i	-0.893	3.197
205968_at	KCNS3	potassium voltage-gated channel modifier subfamily S member 3	1.28	2.179
205978_at	KL	klotho	-1.944	5.22
205980_s_at	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8	-2.895	4.455
205983_at	DPEP1	dipeptidase 1 (renal)	-4.199	8.904
205985_x_at	CLCNKB	chloride voltage-gated channel Kb	-6.309	8.43
205997_at	ADAM28	ADAM metallopeptidase domain 28	2.649	3.047
206001_at	NPY	neuropeptide Y	-1.192	3.615
206010_at	HABP2	hyaluronan binding protein 2	-1.78	4.039
206011_at	CASP1	caspase 1	1.377	4.598
206015_s_at	FOXJ3	forkhead box J3	2.001	4.778
206024_at	HPD	4-hydroxyphenylpyruvate dioxygenase	-7.143	7.507
206025_s_at	TNFAIP6	TNF alpha induced protein 6	6.261	4.784
206026_s_at	TNFAIP6	TNF alpha induced protein 6	4.164	4.932
206034_at	SERPINB8	serpin family B member 8	1.6	2.396
206044_s_at	KIAA1549///BRAF	KIAA1549///B-Raf proto-oncogene, serine/threonine kinase	-0.795	2.569
206045_s_at	NOL4	nucleolar protein 4	-1.986	2.301
206054_at	KNG1	kininogen 1	-5.701	11.851
206059_at	ZNF91	zinc finger protein 91	-1.13	4.443
206065_s_at	DPYS	dihydropyrimidinase	-2.767	6.33
206067_s_at	WT1	Wilms tumor 1	-5.038	4.464
206070_s_at	EPHA3	EPH receptor A3	2.393	2.149
206072_at	UCN	urocortin	1.533	2.598
206073_at	COLQ	collagen like tail subunit of asymmetric acetylcholinesterase	-1.827	3.03
206080_at	PLCH2	phospholipase C eta 2	-1.131	4.094
206082_at	HCP5	HLA complex P5 (non-protein coding)	1.792	3.718
206085_s_at	CTH	cystathionine gamma-lyase	-2.028	3.024
206087_x_at	HFE	hemochromatosis	0.505	2.247
206089_at	NELL1	neural EGFL like 1	-4.977	10.095
206090_s_at	TSNAX-DISC1///DISC1	TSNAX-DISC1 readthrough (NMD candidate)///disrupted in schizophrenia 1	0.831	1.988
206094_x_at	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10	-1.44	2.63
206099_at	PRKCH	protein kinase C eta	1.512	2.735
206100_at	CPM	carboxypeptidase M	-1.76	2.86
206116_s_at	TPM1	tropomyosin 1 (alpha)	2.474	7.134
206117_at	TPM1	tropomyosin 1 (alpha)	1.776	2.16
206119_at	BHMT	betaine--homocysteine S-methyltransferase	-1.81	5.985
206125_s_at	KLK8	kallikrein related peptidase 8	-1.1	2.8
206128_at	ADRA2C	adrenoceptor alpha 2C	-1.063	2.555
206133_at	XAF1	XIAP associated factor 1	1.612	5.85
206151_x_at	CELA3B	chymotrypsin like elastase family member 3B	-1.513	2.024
206178_at	PLA2G5	phospholipase A2 group V	-1.014	2.745
206179_s_at	TPPP	tubulin polymerization promoting protein	-1.166	2.087
206191_at	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	-1.049	2.263
206197_at	NME5	NME/NM23 family member 5	-0.736	2.188
206204_at	GRB14	growth factor receptor bound protein 14	-2.281	5.021
206208_at	CA4	carbonic anhydrase 4	-2.572	2.694
206209_s_at	CA4	carbonic anhydrase 4	-1.969	2.708
206213_at	WNT10B	Wnt family member 10B	-1.503	2.052
206215_at	OPCML	opioid binding protein/cell adhesion molecule like	-1.624	2.993
206219_s_at	VAV1	vav guanine nucleotide exchange factor 1	1.212	2.994
206226_at	HRG	histidine rich glycoprotein	-3.199	9.317
206228_at	PAX2	paired box 2	-0.55	2.012
206230_at	LHX1	LIM homeobox 1	-3.196	5.816
206236_at	GPR4	G protein-coupled receptor 4	1.495	2.042
206239_s_at	SPINK1	serine peptidase inhibitor, Kazal type 1	-2.807	3.374
206242_at	TM4SF5	transmembrane 4 L six family member 5	-1.419	5.178
206245_s_at	IVNS1ABP	influenza virus NS1A binding protein	1.215	6.541
206247_at	MICB	MHC class I polypeptide-related sequence B	1.301	2.512
206252_s_at	AVPR1A	arginine vasopressin receptor 1A	-1.895	2.286
206254_at	EGF	epidermal growth factor	-4.898	8.7
206256_at	CPN1	carboxypeptidase N subunit 1	-0.909	2.303
206259_at	PROC	protein C, inactivator of coagulation factors Va and VIIIa	-4.039	6.377
206262_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	-2.504	3.856
206263_at	FMO4	flavin containing monooxygenase 4	-1.691	5.194
206265_s_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	-1.873	2.146
206271_at	TLR3	toll like receptor 3	3.029	6.759
206272_at	SPHAR///RAB4A	S-phase response (cyclin related)///RAB4A, member RAS oncogene family	0.851	3.592
206278_at	PTAFR	platelet activating factor receptor	1.126	2.153
206295_at	IL18	interleukin 18	1.38	2.354
206298_at	ARHGAP22	Rho GTPase activating protein 22	1.782	3.28
206302_s_at	NUDT4P1///NUDT4P2///NUDT4	nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4	-1.434	5.451
206303_s_at	NUDT4P1///NUDT4P2///NUDT4	nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4	-2.248	4.159
206309_at	LECT1	leukocyte cell derived chemotaxin 1	-0.956	2.673
206320_s_at	SMAD9	SMAD family member 9	1.822	2.249
206323_x_at	OPHN1	oligophrenin 1	-0.748	4.558
206325_at	SERPINA6	serpin family A member 6	-1.544	4.585
206331_at	CALCRL	calcitonin receptor like receptor	2.248	3.964
206332_s_at	IFI16	interferon gamma inducible protein 16	2.07	7.105
206346_at	PRLR	prolactin receptor	-1.718	3.186
206353_at	COX6A2	cytochrome c oxidase subunit 6A2	-0.856	2.197
206355_at	GNAL	G protein subunit alpha L	-1.205	2.302
206356_s_at	GNAL	G protein subunit alpha L	-2.311	2.508
206363_at	MAF	MAF bZIP transcription factor	-1.102	3.401
206366_x_at	XCL1	X-C motif chemokine ligand 1	2.051	2.823
206374_at	LOC101927562///DUSP8	uncharacterized LOC101927562///dual specificity phosphatase 8	-1.059	2.838
206379_at	EYA3	EYA transcriptional coactivator and phosphatase 3	-1.901	2.347
206381_at	SCN2A	sodium voltage-gated channel alpha subunit 2	-2.15	4.046
206385_s_at	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	-1.283	4.349
206404_at	FGF9	fibroblast growth factor 9	-5.117	9.906
206410_at	NR0B2	nuclear receptor subfamily 0 group B member 2	-2.028	4.259
206414_s_at	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	-0.715	2.958
206417_at	CNGA1	cyclic nucleotide gated channel alpha 1	-1.588	2.9
206419_at	RORC	RAR related orphan receptor C	-0.646	2.074
206420_at	IGSF6	immunoglobulin superfamily member 6	2.091	4.273
206426_at	MLANA	melan-A	-1.358	2.287
206445_s_at	PRMT1	protein arginine methyltransferase 1	0.532	3.061
206449_s_at	MASP1	mannan binding lectin serine peptidase 1	1.129	2.025
206457_s_at	DIO1	deiodinase, iodothyronine type I	-4.381	7.884
206461_x_at	MT1H	metallothionein 1H	-3.164	6.602
206469_x_at	AKR7A3	aldo-keto reductase family 7 member A3	-1.653	5.468
206470_at	PLXNC1	plexin C1	4.108	5.524
206472_s_at	TLE3	transducin like enhancer of split 3	0.981	2.728
206474_at	CDK17	cyclin dependent kinase 17	1.804	3.152
206481_s_at	LDB2	LIM domain binding 2	1.793	2.498
206484_s_at	XPNPEP2	X-prolyl aminopeptidase 2	-4.738	7.895
206488_s_at	CD36	CD36 molecule	2.449	3.073
206500_s_at	MIS18BP1	MIS18 binding protein 1	2.144	3.704
206501_x_at	ETV1	ETS variant 1	-0.583	2.069
206503_x_at	PML	promyelocytic leukemia	2.061	3.728
206514_s_at	CYP4F2///CYP4F3	cytochrome P450 family 4 subfamily F member 2///cytochrome P450 family 4 subfamily F member 3	-3.697	2.531
206515_at	CYP4F3	cytochrome P450 family 4 subfamily F member 3	-3.662	4.301
206517_at	CDH16	cadherin 16	-2.412	5.252
206521_s_at	GTF2A1	general transcription factor IIA subunit 1	-2.299	4.091
206527_at	ABAT	4-aminobutyrate aminotransferase	-1.328	3.321
206529_x_at	SLC26A4	solute carrier family 26 member 4	-2.07	2.373
206530_at	RAB30	RAB30, member RAS oncogene family	-0.931	2.15
206532_at	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	-1.811	2.621
206539_s_at	CYP4F12	cytochrome P450 family 4 subfamily F member 12	-1.718	2.096
206541_at	KLKB1	kallikrein B1	-1.66	4.489
206550_s_at	NUP155	nucleoporin 155	1.851	3.046
206552_s_at	TAC1	tachykinin precursor 1	-3.053	3.784
206554_x_at	SETMAR	SET domain and mariner transposase fusion gene	-0.971	2.775
206558_at	SIM2	single-minded family bHLH transcription factor 2	-2.674	5.148
206571_s_at	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	1.154	3.992
206579_at	ZKSCAN8	zinc finger with KRAB and SCAN domains 8	-1.045	2.009
206584_at	LY96	lymphocyte antigen 96	2.016	4.679
206592_s_at	AP3D1	adaptor related protein complex 3 delta 1 subunit	-0.571	2.967
206600_s_at	SLC16A5	solute carrier family 16 member 5	-1.567	3.114
206610_s_at	F11	coagulation factor XI	-1.74	4.869
206617_s_at	RENBP	renin binding protein	-2.865	3.338
206631_at	PTGER2	prostaglandin E receptor 2	1.791	3.021
206646_at	GLI1	GLI family zinc finger 1	-1.496	2.184
206659_at			-1.351	1.981
206661_at	DBF4B	DBF4 zinc finger B	-1.576	2.59
206664_at	SI	sucrase-isomaltase	2.282	3.256
206666_at	GZMK	granzyme K	3.222	2.342
206667_s_at	SCAMP1	secretory carrier membrane protein 1	1.328	2.661
206671_at	SAG	S-antigen visual arrestin	-1.709	2.06
206672_at	AQP2	aquaporin 2	-2.501	7.526
206673_at	GPR176	G protein-coupled receptor 176	0.883	2.09
206681_x_at	GP2	glycoprotein 2	-1.828	2.782
206686_at	PDK1	pyruvate dehydrogenase kinase 1	3.34	7.671
206687_s_at	PTPN6	protein tyrosine phosphatase, non-receptor type 6	0.965	3.704
206690_at	ASIC2	acid sensing ion channel subunit 2	-1.447	2.081
206693_at	IL7	interleukin 7	1.613	3.202
206696_at	GPR143	G protein-coupled receptor 143	-1.284	1.996
206701_x_at	EDNRB	endothelin receptor type B	1.836	3.36
206704_at	CLCN5	chloride voltage-gated channel 5	-1.181	2.301
206709_x_at	GPT	glutamic--pyruvic transaminase	-1.13	2.733
