ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
36192_at	SCRN1	secernin 1	1.095	5.569
36194_at	LRPAP1	LDL receptor related protein associated protein 1	1.019	5.344
36196_at	PFKM	phosphofructokinase, muscle	0.867	5.859
36197_at	CHI3L1	chitinase 3 like 1	-0.616	2.161
36198_at	TOMM20	translocase of outer mitochondrial membrane 20	1.04	4.837
36208_at	BRD2	bromodomain containing 2	-0.735	5.355
36209_at	BRD2	bromodomain containing 2	0.849	2.154
36211_at	BCL2L2	BCL2 like 2	-0.273	1.847
36213_at	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	-0.283	1.843
36214_at	KLF4	Kruppel like factor 4	-0.658	2.437
36215_at	PRKACB	protein kinase cAMP-activated catalytic subunit beta	1.037	4.651
36220_at	DDAH1	dimethylarginine dimethylaminohydrolase 1	0.419	2.214
36222_at	LY6G6C	lymphocyte antigen 6 complex, locus G6C	-0.43	1.731
36226_r_at	SFPQ	splicing factor proline and glutamine rich	-1.155	5.875
36228_at	GLYAT	glycine-N-acyltransferase	0.898	3.623
36229_at	IL17RA	interleukin 17 receptor A	-0.716	4.282
36232_at	FGF13	fibroblast growth factor 13	-0.328	2.177
36233_at	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	-0.49	1.738
36235_at	CSNK2A1	casein kinase 2 alpha 1	0.91	9.445
36238_at	FOXO4	forkhead box O4	-0.383	3.146
36239_at	POU2AF1	POU class 2 associating factor 1	-0.516	1.935
36240_at	RAPGEF1	Rap guanine nucleotide exchange factor 1	-0.329	1.962
36241_r_at	G6PC	glucose-6-phosphatase catalytic subunit	1.943	3.36
36246_at	ADCY8	adenylate cyclase 8	-0.345	1.898
36249_at	ASPHD1	aspartate beta-hydroxylase domain containing 1	-0.571	2.141
36250_at	ASPHD1	aspartate beta-hydroxylase domain containing 1	-0.387	1.831
36251_at	SYT2	synaptotagmin 2	-0.358	1.958
36255_at	ADORA3	adenosine A3 receptor	-0.64	2.794
36257_at			-0.301	1.928
36261_at	SYT17	synaptotagmin 17	-0.426	2.05
36262_at	GNS	glucosamine (N-acetyl)-6-sulfatase	0.629	3.723
36263_g_at	GNS	glucosamine (N-acetyl)-6-sulfatase	0.67	5.066
36266_at	RAPGEF3	Rap guanine nucleotide exchange factor 3	-0.585	3.428
36267_at	NFKBIL1	NFKB inhibitor like 1	-0.412	3.451
36268_at	LPAR4	lysophosphatidic acid receptor 4	-0.754	2.377
36270_at	CD86	CD86 molecule	-0.426	1.952
36275_at	SEMA6A	semaphorin 6A	0.969	5.985
36276_at	CNTN2	contactin 2	-0.426	1.952
36278_at	MAP3K10	mitogen-activated protein kinase kinase kinase 10	-0.25	2.489
36281_at	NHLH1	nescient helix-loop-helix 1	-0.49	4.334
36282_at	RRN3P1	RRN3 homolog, RNA polymerase I transcription factor pseudogene 1	-0.204	1.728
36283_at	DDX6	DEAD-box helicase 6	-0.503	1.83
36284_at	LY6D	lymphocyte antigen 6 complex, locus D	-0.534	2.036
36286_at	RBFADN	RBFA downstream neighbor (non-protein coding)	-0.305	1.822
36288_at	KRT81	keratin 81	-0.553	2.687
36290_s_at	FUT6///FUT5///FUT3	fucosyltransferase 6///fucosyltransferase 5///fucosyltransferase 3 (Lewis blood group)	0.415	2.823
36292_at	P2RY2	purinergic receptor P2Y2	-0.584	3.015
36293_at	CXCR6	C-X-C motif chemokine receptor 6	-0.425	1.97
36296_at	LTA	lymphotoxin alpha	-0.567	4.346
36297_at	ATF1	activating transcription factor 1	-0.732	3.287
36298_at	PRPH	peripherin	-0.376	3.767
36299_at	CALCA	calcitonin related polypeptide alpha	-0.575	2.711
362_at	PRKCZ	protein kinase C zeta	-0.315	2.03
36300_at	CALCA	calcitonin related polypeptide alpha	-0.339	1.796
36301_at	INSL3	insulin like 3	-0.388	3.696
36304_at	C8B	complement component 8, beta polypeptide	-0.58	3.688
36305_at	SLC6A3	solute carrier family 6 member 3	-0.404	3.11
36306_at	KCNQ3	potassium voltage-gated channel subfamily Q member 3	-0.368	2.741
36307_at	ARC	activity regulated cytoskeleton associated protein	-0.62	4.809
36310_at	KRT31	keratin 31	-0.3	2.721
36311_at	PDE1A	phosphodiesterase 1A	0.573	1.791
36312_at	SERPINB8	serpin family B member 8	-0.345	2.438
36313_at	EVI2A	ecotropic viral integration site 2A	-0.472	1.961
36315_i_at	EXOC6B	exocyst complex component 6B	-0.552	1.889
36316_r_at	EXOC6B	exocyst complex component 6B	-0.517	1.712
36322_at	FUT7	fucosyltransferase 7	-0.316	3.333
36328_at	SHBG	sex hormone binding globulin	-0.418	2.787
36332_at	AANAT	aralkylamine N-acetyltransferase	-0.244	2.32
36334_at	LY9	lymphocyte antigen 9	-0.306	1.837
36336_s_at	SBNO2	strawberry notch homolog 2	-0.389	2.39
36340_at	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	-0.226	2.395
36346_at	RGR	retinal G protein coupled receptor	-0.495	2.262
36349_at	KCNJ2	potassium voltage-gated channel subfamily J member 2	-0.478	1.98
36352_at	HES2	hes family bHLH transcription factor 2	-0.579	3.905
36356_at	GDF5	growth differentiation factor 5	-0.249	1.757
36357_at	ERI2	ERI1 exoribonuclease family member 2	-0.552	2.114
36359_at	PRKACG	protein kinase cAMP-activated catalytic subunit gamma	-0.68	3.927
36362_at	SLC12A3	solute carrier family 12 member 3	0.842	2.022
36363_at	UGT8	UDP glycosyltransferase 8	1.29	6.741
36365_at	TRPC6	transient receptor potential cation channel subfamily C member 6	-0.442	1.902
36367_at	PCDH11Y///PCDH11X	protocadherin 11 Y-linked///protocadherin 11 X-linked	-0.386	2.506
36371_at	MFAP3	microfibrillar associated protein 3	-0.334	2.233
36373_at	ZXDB///ZXDA	zinc finger, X-linked, duplicated B///zinc finger, X-linked, duplicated A	-0.347	2.329
36375_at	ODF1	outer dense fiber of sperm tails 1	-0.469	1.789
36376_at	SLC26A4	solute carrier family 26 member 4	0.846	2.432
36393_at	DPF1	double PHD fingers 1	-0.306	2.277
36394_at	LY6H	lymphocyte antigen 6 complex, locus H	-0.483	2.92
36395_at			1.447	6.24
36396_at			0.368	2.161
36397_at	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	-0.652	3.501
363_at	PRKCG	protein kinase C gamma	-0.808	5.557
36400_at			-1.582	4.744
36402_at	ZNF101	zinc finger protein 101	-0.387	2.513
36403_s_at	ZNF101	zinc finger protein 101	-0.524	3.122
36404_at	GLP1R	glucagon like peptide 1 receptor	-0.413	3.126
36406_at	KLK13	kallikrein related peptidase 13	-0.463	2.717
36408_at	SLC22A14	solute carrier family 22 member 14	-0.481	4.075
36414_s_at	CASK	calcium/calmodulin dependent serine protein kinase	0.43	1.99
36417_s_at	ACAA1	acetyl-CoA acyltransferase 1	1.031	2.764
36423_at	NUPR1	nuclear protein 1, transcriptional regulator	-0.609	3.096
36424_at	NEBL	nebulette	-0.537	1.8
36426_g_at	NEBL	nebulette	-0.568	4.172
36429_at	GPR182	G protein-coupled receptor 182	-0.222	1.666
36430_at			-0.335	2.198
36432_at	MCCC2	methylcrotonoyl-CoA carboxylase 2	0.456	2.26
36435_at	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A	0.479	1.938
36436_at	LECT2	leukocyte cell derived chemotaxin 2	-0.561	4.878
36438_at	ADD3-AS1	ADD3 antisense RNA 1	-0.547	3.854
36440_at	PTCRA	pre T-cell antigen receptor alpha	-0.43	2.848
36446_s_at	HDGF	hepatoma-derived growth factor	1.112	7.609
36448_at	ABI2	abl-interactor 2	0.719	5.044
36449_s_at	PYY	peptide YY	-0.367	3.823
36450_at	PYY	peptide YY	-1.035	2.76
36451_at	ACVR1B	activin A receptor type 1B	0.928	7.896
36453_at	KBTBD11	kelch repeat and BTB domain containing 11	1.324	4.974
36456_at	ZZZ3	zinc finger ZZ-type containing 3	0.809	4.258
36457_at	GMPS	guanine monophosphate synthase	0.356	2.978
36458_at	FAN1	FANCD2/FANCI-associated nuclease 1	0.443	1.922
36463_at	BAG5	BCL2 associated athanogene 5	0.359	2.041
36468_at	DTNA	dystrobrevin alpha	-0.366	2.662
36472_at	NMI	N-myc and STAT interactor	0.889	2.052
36474_at	UFL1	UFM1 specific ligase 1	1.202	5.336
36475_at	GCAT	glycine C-acetyltransferase	-0.223	2.007
36483_at	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	-1.019	2.78
36484_at	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	0.758	2.655
36488_at	MEGF9	multiple EGF like domains 9	1.544	3.325
36489_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1	0.64	3.064
36491_at	TMSB15B///TMSB15A	thymosin beta 15B///thymosin beta 15a	0.338	1.793
36492_at	PSMD9	proteasome 26S subunit, non-ATPase 9	0.449	4.314
36495_at	FBP1	fructose-bisphosphatase 1	1.242	2.577
36496_at	IMPA2	inositol monophosphatase 2	0.882	2.895
36499_at	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	-0.318	2.235
36501_at	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A	0.936	3.521
36502_at	CDK14	cyclin dependent kinase 14	1.655	6.025
36506_at	AKAP9	A-kinase anchoring protein 9	0.758	2.814
36507_at	ZNF282	zinc finger protein 282	-0.221	1.736
36508_at	GPC4	glypican 4	0.623	2.396
36509_at	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	1.424	5.066
36511_at	SACM1L	SAC1 suppressor of actin mutations 1-like (yeast)	1.164	6.336
36513_at	MFAP5	microfibrillar associated protein 5	-0.396	1.743
36514_at	CGRRF1	cell growth regulator with ring finger domain 1	1.134	4.69
36515_at	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	0.964	5.222
36517_at	U2AF1	U2 small nuclear RNA auxiliary factor 1	0.863	4.581
36521_at	DZIP1	DAZ interacting zinc finger protein 1	1.243	8.218
36522_at	CRTC1	CREB regulated transcription coactivator 1	-0.512	2.662
36524_at	LOC101930241///ARHGEF4	rho guanine nucleotide exchange factor 4-like///Rho guanine nucleotide exchange factor 4	-0.23	1.97
36525_at	FBXL2	F-box and leucine rich repeat protein 2	-0.36	2.065
36526_at	EXTL2	exostosin like glycosyltransferase 2	0.905	3.455
36527_at	RBMX2	RNA binding motif protein, X-linked 2	-0.713	5.476
36532_at	SYNJ2	synaptojanin 2	0.484	3.433
36536_at	IQCJ-SCHIP1///SCHIP1	IQCJ-SCHIP1 readthrough///schwannomin interacting protein 1	0.907	6.661
36537_at	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	1.415	10.909
36539_at	GUSBP11	glucuronidase, beta pseudogene 11	-0.334	1.683
36540_at	RHOBTB2	Rho related BTB domain containing 2	-0.503	3.401
36541_at	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	-0.431	2.751
36542_at	SLC9A6	solute carrier family 9 member A6	0.527	3.384
36543_at	F3	coagulation factor III, tissue factor	0.944	4.334
36546_r_at	SFI1	SFI1 centrin binding protein	-0.413	1.656
36547_r_at	SFI1	SFI1 centrin binding protein	-0.905	6.924
36548_at	KIAA0895	KIAA0895	1.32	8.474
36549_at	SLC25A17	solute carrier family 25 member 17	-0.483	2.73
36550_at	RIN2	Ras and Rab interactor 2	0.974	3.595
36551_at	C12orf29	chromosome 12 open reading frame 29	0.792	3.681
36555_at	SNCG	synuclein gamma	-0.444	3.534
36556_at	ARHGAP44	Rho GTPase activating protein 44	-0.37	3.094
36558_at	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	-0.415	3.442
36559_g_at	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	-0.515	2.987
36561_at	PCCB	propionyl-CoA carboxylase beta subunit	0.422	2.109
36563_at	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)	-0.523	2.691
36564_at	RNF19B	ring finger protein 19B	-0.865	7.181
36568_at	SLC17A7	solute carrier family 17 member 7	-0.49	4.074
36571_at	TOP2B	topoisomerase (DNA) II beta	1.26	7.299
36572_r_at	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	0.705	3.042
36576_at	H2AFY	H2A histone family member Y	0.686	5.334
36577_at	FERMT2	fermitin family member 2	0.739	2.676
36578_at	BIRC2	baculoviral IAP repeat containing 2	0.944	4.502
36579_at	UBE4A	ubiquitination factor E4A	1.013	6.491
36580_at	RMND5A	required for meiotic nuclear division 5 homolog A	1.036	3.772
36581_at	GARS	glycyl-tRNA synthetase	0.416	2.569
36584_at	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2	-0.4	2.637
36585_at	ARF4	ADP ribosylation factor 4	1.462	3.648
36588_at	SUN1	Sad1 and UNC84 domain containing 1	0.842	2.983
36593_at	EXT2	exostosin glycosyltransferase 2	-0.329	1.682
36595_s_at	GATM	glycine amidinotransferase	1.684	2.035
36597_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	0.626	2.595
36598_s_at	INPPL1	inositol polyphosphate phosphatase like 1	0.332	2.292
36600_at	PSME1	proteasome activator subunit 1	0.574	2.452
36604_at	UBE2N	ubiquitin conjugating enzyme E2 N	0.867	3.518
36605_at	TCF4	transcription factor 4	0.642	2.118
36606_at	CPE	carboxypeptidase E	0.989	1.971
36609_at	SLC1A3	solute carrier family 1 member 3	-0.4	2.218
36613_at	IFRD2	interferon related developmental regulator 2	-0.303	1.817
36617_at	ID1	inhibitor of DNA binding 1, HLH protein	1.085	2.98
36619_r_at	ID1	inhibitor of DNA binding 1, HLH protein	-0.628	3.899
36622_at	FGG	fibrinogen gamma chain	-0.546	2.437
36625_at	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2	0.479	1.991
36626_at	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	0.955	5.007
36628_at	RALBP1	ralA binding protein 1	1.493	4.92
36633_at	AKAP10	A-kinase anchoring protein 10	0.79	3.496
36634_at	BTG2	BTG anti-proliferation factor 2	0.803	1.712
36636_at	OAT	ornithine aminotransferase	1.463	4.48
36637_at	ANXA11	annexin A11	0.968	4.488
36638_at	CTGF	connective tissue growth factor	1.78	3.885
36641_at	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2	0.631	2.283
36643_at	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1	0.422	3.82
36645_at	RELA	RELA proto-oncogene, NF-kB subunit	0.878	3.376
36647_at	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	0.47	2.794
36650_at	CCND2	cyclin D2	0.49	2.635
36651_at	ACP2	acid phosphatase 2, lysosomal	-0.55	1.822
36653_g_at	UROS	uroporphyrinogen III synthase	0.364	2.171
36654_s_at	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	1.236	3.448
36657_at	APOC4-APOC2///APOC4///APOC2	APOC4-APOC2 readthrough (NMD candidate)///apolipoprotein C4///apolipoprotein C2	-0.788	4.059
36659_at	COL4A2	collagen type IV alpha 2 chain	-0.55	1.705
36660_at	RAB11A	RAB11A, member RAS oncogene family	1.086	5.56
36662_at	MYL7	myosin light chain 7	-0.447	2.142
36663_at	NPPA	natriuretic peptide A	-0.637	4.008
36667_at	PYGB	phosphorylase, glycogen; brain	0.432	1.959
36668_at	CYB5R3	cytochrome b5 reductase 3	0.652	1.918
36670_at	EDC4	enhancer of mRNA decapping 4	-0.442	2.989
36675_r_at	PFN1	profilin 1	-0.383	1.757
36680_at	ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)	0.744	3.382
36684_at	AMD1	adenosylmethionine decarboxylase 1	0.812	3.096
36685_at	AMD1	adenosylmethionine decarboxylase 1	1.116	5.995
36688_at	SCP2	sterol carrier protein 2	1.388	2.869
36692_at	MTMR9	myotubularin related protein 9	0.497	2.442
36697_g_at	PIGCP1	phosphatidylinositol glycan anchor biosynthesis class C pseudogene 1	-0.315	1.676
36699_at	DSCAM	DS cell adhesion molecule	-0.57	2.007
36703_at	CCL25	C-C motif chemokine ligand 25	-0.402	1.706
36704_at	AP4S1	adaptor related protein complex 4 sigma 1 subunit	-0.282	2.145
36706_at	CDKL5	cyclin dependent kinase like 5	-0.482	5.595
36712_at			-0.52	1.845
36716_at	ADRA1A	adrenoceptor alpha 1A	-0.363	2.845
36717_at	LIAS	lipoic acid synthetase	0.374	1.693
36728_at	ADRA1D	adrenoceptor alpha 1D	-0.353	2.122
36730_at	ABCC10	ATP binding cassette subfamily C member 10	-0.338	2.078
36740_at	DOC2A	double C2 domain alpha	-0.432	2.603
36743_at	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	0.476	2.455
36746_s_at	CALCR	calcitonin receptor	-0.869	3.882
36747_at			-0.326	1.689
36751_at	RGS11	regulator of G-protein signaling 11	-0.425	4.102
36753_at	LILRB4	leukocyte immunoglobulin like receptor B4	-0.949	4.509
36756_at	IL5RA	interleukin 5 receptor subunit alpha	-0.502	2.56
36757_at	HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A	histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a	-0.391	2.008
36760_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.946	4.34
36762_at	GABRG2	gamma-aminobutyric acid type A receptor gamma2 subunit	-0.414	3.455
36765_at	SPEF1	sperm flagellar 1	-0.376	2.716
36768_at	NEUROD1	neuronal differentiation 1	-0.666	2.858
36769_at	RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit	0.609	4.108
36771_at	CNR2	cannabinoid receptor 2	-0.472	4.61
36773_f_at	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1	-0.67	4.57
36775_f_at	PRB1	proline rich protein BstNI subfamily 1	-0.617	3.663
36778_at	GPR143	G protein-coupled receptor 143	-0.386	2.832
36779_at	FABP6	fatty acid binding protein 6	-0.307	2.427
36782_s_at	INS-IGF2///IGF2	INS-IGF2 readthrough///insulin like growth factor 2	-0.559	3.213
36783_f_at	ZNF117	zinc finger protein 117	1.509	5.063
36788_at	GPC5	glypican 5	1.067	4.141
36789_f_at	LILRB5	leukocyte immunoglobulin like receptor B5	-0.443	1.775
36797_at			-0.587	2.046
36799_at	FZD2	frizzled class receptor 2	-0.24	2.093
36806_at	TRPV6	transient receptor potential cation channel subfamily V member 6	-0.566	3.939
36807_at	FAM155B	family with sequence similarity 155 member B	-0.384	2.042
36813_at	TRIP13	thyroid hormone receptor interactor 13	-0.224	1.672
36814_at	KIAA1109	KIAA1109	1.44	8.969
36819_at	ATXN3	ataxin 3	0.507	1.652
36821_at	FAM171A1	family with sequence similarity 171 member A1	1.371	7.74
36824_at	ASTN1	astrotactin 1	-0.606	1.71
36827_at	ACBD3	acyl-CoA binding domain containing 3	1.304	9.918
36830_at	MIPEP	mitochondrial intermediate peptidase	0.521	4.253
36834_at	MOXD1	monooxygenase DBH like 1	-0.516	3.823
36835_at	PKN2	protein kinase N2	1.357	6.605
36838_at	KLK10	kallikrein related peptidase 10	-0.394	2.459
36839_at	CDC6	cell division cycle 6	-0.84	8.051
36842_at	ERC2	ELKS/RAB6-interacting/CAST family member 2	-0.59	3.71
36843_at	SIPA1	signal-induced proliferation-associated 1	-0.404	3.329
36845_at	MORC3	MORC family CW-type zinc finger 3	1.157	3.319
36847_r_at	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	-0.335	1.922
36848_r_at	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	-0.823	6.566
36849_at	ARHGAP29	Rho GTPase activating protein 29	0.912	2.703
36851_g_at	TUSC3	tumor suppressor candidate 3	1.16	3.636
36852_at	TUSC3	tumor suppressor candidate 3	0.676	2.845
36853_at	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	-0.61	3.403
36854_s_at	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	-0.59	2.597
36856_at	PLEKHO2	pleckstrin homology domain containing O2	-0.439	2.851
36857_at	RAD1	RAD1 checkpoint DNA exonuclease	1.095	6.373
36860_at	ZC3H4	zinc finger CCCH-type containing 4	0.514	2.384
36864_at	PEX3	peroxisomal biogenesis factor 3	1.605	7.244
36870_at	VPS8	VPS8, CORVET complex subunit	0.385	2.427
36871_at	EPB42	erythrocyte membrane protein band 4.2	-0.731	3.262
36873_at	VLDLR	very low density lipoprotein receptor	0.556	2.597
36875_at	IBTK	inhibitor of Bruton tyrosine kinase	0.654	3.489
36876_at	FAH	fumarylacetoacetate hydrolase	0.475	2.252
36880_at	NQO2	NAD(P)H quinone dehydrogenase 2	0.509	1.95
36882_at	HOXD9	homeobox D9	-0.4	2.002
36884_at	CD163	CD163 molecule	-0.403	2.108
36886_f_at	KIR2DL5B///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	-0.49	4.87
36888_at	HAUS5	HAUS augmin like complex subunit 5	-0.334	1.803
36891_at	MCAT	malonyl-CoA-acyl carrier protein transacylase	-0.366	2.086
36895_at	ORC3	origin recognition complex subunit 3	0.495	1.979
36897_at	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1	-0.683	1.666
36899_at	SATB1	SATB homeobox 1	0.613	4.033
36901_at	TMF1	TATA element modulatory factor 1	0.421	2.193
36905_at	MAP3K7	mitogen-activated protein kinase kinase kinase 7	0.761	5.074
36906_at	CNR1	cannabinoid receptor 1	-0.629	2.842
36907_at	MVK	mevalonate kinase	-0.261	2.394
36909_at	WEE1	WEE1 G2 checkpoint kinase	1.895	10.38
36910_at	MAP2K4	mitogen-activated protein kinase kinase 4	1.156	5.231
36914_at	CTSO	cathepsin O	-0.319	2.546
36915_at	CTSO	cathepsin O	0.486	3.735
36916_at	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	-0.257	2.102
36917_at	LAMA2	laminin subunit alpha 2	-0.528	2.804
36920_at	MTM1	myotubularin 1	0.37	2.032
36921_at	DYNLT3	dynein light chain Tctex-type 3	1.216	4.759
36922_at	RRM2	ribonucleotide reductase regulatory subunit M2	-0.552	4.423
36923_at	FPGS	folylpolyglutamate synthase	-0.274	1.663
36924_r_at	SCG2	secretogranin II	-0.453	1.849
36925_at	HSPA2	heat shock protein family A (Hsp70) member 2	1.364	3.053
36926_at	MAPK6	mitogen-activated protein kinase 6	0.797	6.032
36928_at	ZNF146	zinc finger protein 146	1.025	5.515
36932_at	GTF3C2	general transcription factor IIIC subunit 2	0.83	4.254
36933_at	NDRG1	N-myc downstream regulated 1	0.84	3.15
36934_at	OSER1	oxidative stress responsive serine rich 1	-0.604	2.673
36936_at	TSTA3	tissue specific transplantation antigen P35B	-0.394	2.51
36941_at	MLLT11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11	-0.545	2.028
36942_at	IST1	IST1, ESCRT-III associated factor	0.514	3.551
36943_r_at	PLAGL1	PLAG1 like zinc finger 1	0.981	1.824
36946_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	1.328	6.737
36947_s_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	-0.481	2.227
36948_at	EID1	EP300 interacting inhibitor of differentiation 1	0.938	2.665
36954_at	TATDN2	TatD DNase domain containing 2	0.33	4.435
36957_at	ZMYND8	zinc finger MYND-type containing 8	1.017	3.679
36960_at	PHC2	polyhomeotic homolog 2	0.736	3.021
36961_at	LETMD1	LETM1 domain containing 1	0.574	5.032
36962_at	COPA	coatomer protein complex subunit alpha	1.198	8.25
36965_at	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	1.153	2.842
36971_at	TMEM131	transmembrane protein 131	0.925	7.041
36973_at	SF3B2	splicing factor 3b subunit 2	0.325	2.107
36974_at	PSMF1	proteasome inhibitor subunit 1	0.453	2.165
36975_at	SARAF	store-operated calcium entry associated regulatory factor	0.576	2.81
36976_at	CDH11	cadherin 11	1.326	3.334
36978_at	PSME4	proteasome activator subunit 4	0.506	2.829
36980_at	PNRC1	proline rich nuclear receptor coactivator 1	1.318	2.5
36982_at	USP14	ubiquitin specific peptidase 14	0.929	6.597
36983_f_at	HP	haptoglobin	-0.355	2.822
36986_at	LYPLA2	lysophospholipase II	-0.46	3.042
36989_at	DAG1	dystroglycan 1	0.297	2.436
36995_at	AMBP	alpha-1-microglobulin/bikunin precursor	-0.657	4.499
36997_at	AK1	adenylate kinase 1	-0.696	6.001
36998_s_at	ATXN2	ataxin 2	0.751	3.733
37000_at	MPC2	mitochondrial pyruvate carrier 2	0.913	2.772
37004_at	SFTPB	surfactant protein B	-0.593	1.78
37006_at	JCHAIN	joining chain of multimeric IgA and IgM	2.154	1.717
37007_at	SERINC3	serine incorporator 3	1.056	5.083
37008_r_at	SERPINA5	serpin family A member 5	0.703	2.08
37009_at	CAT	catalase	1.098	2.611
37010_at	GTF2A2	general transcription factor IIA subunit 2	0.668	3.144
37011_at	AIF1	allograft inflammatory factor 1	1.093	2.422
37012_at	CAPZB	capping actin protein of muscle Z-line beta subunit	0.848	5.496
37017_at	PLA2G2A	phospholipase A2 group IIA	-0.582	2.455
37020_at	CRP	C-reactive protein, pentraxin-related	-0.825	4.991
37022_at	PRELP	proline and arginine rich end leucine rich repeat protein	-0.776	6.695
37025_at	LITAF	lipopolysaccharide induced TNF factor	0.912	2.352
37031_at	FAM120A	family with sequence similarity 120A	0.879	5.261
37034_at	ANP32A	acidic nuclear phosphoprotein 32 family member A	1.042	5.111
37035_at	SERP1	stress-associated endoplasmic reticulum protein 1	1.506	6.244
37036_at	MDN1	midasin AAA ATPase 1	0.736	6.617
37037_at	P4HA1	prolyl 4-hydroxylase subunit alpha 1	0.783	4.925
37038_at	ABCD3	ATP binding cassette subfamily D member 3	1.44	5.015
37040_at	GANAB	glucosidase II alpha subunit	0.677	2.959
37042_at	HYAL2	hyaluronoglucosaminidase 2	-0.497	6.204
37043_at	ID3	inhibitor of DNA binding 3, HLH protein	0.311	1.702
37045_at	SNX19	sorting nexin 19	0.413	2.136
37046_at	PSMA5	proteasome subunit alpha 5	0.552	1.943
37047_at	NPC1	NPC intracellular cholesterol transporter 1	-0.497	2.977
37048_at	TOMM34	translocase of outer mitochondrial membrane 34	-0.287	2.21
37050_r_at	TOMM34	translocase of outer mitochondrial membrane 34	1.167	5.193
37051_at	KCNN3	potassium calcium-activated channel subfamily N member 3	-0.443	2.248
37059_at	GCKR	glucokinase (hexokinase 4) regulator	-0.299	2.106
