ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
1396_at	IGFBP5	insulin like growth factor binding protein 5	1.194	3.055
1398_g_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11	-0.591	4.937
1400_at	CSF2	colony stimulating factor 2	-0.4	3.277
1401_g_at	CSF2	colony stimulating factor 2	-0.448	2.676
1406_at	NR2C1	nuclear receptor subfamily 2 group C member 1	-0.621	4.76
1407_g_at	NR2C1	nuclear receptor subfamily 2 group C member 1	-0.485	2.779
140_s_at	TRA2B	transformer 2 beta homolog (Drosophila)	0.617	2.539
1411_at	CYP11B1	cytochrome P450 family 11 subfamily B member 1	-0.787	2.92
1412_g_at	CYP11B2///CYP11B1	cytochrome P450 family 11 subfamily B member 2///cytochrome P450 family 11 subfamily B member 1	-0.367	3.308
1413_at			-0.526	3.301
1415_at			-0.433	2.108
1416_g_at			-0.437	2.141
1418_at	NOS2	nitric oxide synthase 2	-0.485	1.658
1419_g_at	NOS2	nitric oxide synthase 2	-0.556	6.555
141_s_at	BRF1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	-0.439	4.206
1422_g_at	CAMK4	calcium/calmodulin dependent protein kinase IV	-0.697	2.994
1425_at	PCDHB11	protocadherin beta 11	-0.588	2.565
1428_at	THRB	thyroid hormone receptor beta	-0.298	1.818
1430_at	SST	somatostatin	-0.503	2.419
1431_at	CYP2E1	cytochrome P450 family 2 subfamily E member 1	-0.435	3.384
1432_s_at	LTK	leukocyte receptor tyrosine kinase	-0.497	5.082
1436_at	CYP2D6	cytochrome P450 family 2 subfamily D member 6	-0.695	4.277
1437_at	PRKCA	protein kinase C alpha	-0.668	6.117
143_s_at	TAF5	TATA-box binding protein associated factor 5	-0.415	2.666
1447_at	PSMB1	proteasome subunit beta 1	0.582	1.752
1448_at	PSMA3	proteasome subunit alpha 3	0.874	2.337
1449_at	PSMA4	proteasome subunit alpha 4	1.103	7.014
1450_g_at	PSMA4	proteasome subunit alpha 4	0.674	3.294
1452_at	LMO4	LIM domain only 4	0.919	4.305
1455_f_at	CYP2C9	cytochrome P450 family 2 subfamily C member 9	-0.607	3.363
1457_at	JAK1	Janus kinase 1	1.064	4.252
1458_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	-0.847	4.858
1459_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	0.231	2.091
145_s_at	TBX5	T-box 5	-0.415	2.894
1460_g_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	0.839	5.854
1462_s_at	POLD1	DAN polymerase delta 1, catalytic subunit	-0.352	1.961
1463_at	PTPN12	protein tyrosine phosphatase, non-receptor type 12	1.295	3.106
1464_at	MIR483	microRNA 483	-0.293	2.179
1467_at	EPS8	epidermal growth factor receptor pathway substrate 8	1.292	4.882
1468_at	TRAP1	TNF receptor associated protein 1	0.468	1.667
1469_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	-0.542	5.576
146_at	PI4KB	phosphatidylinositol 4-kinase beta	-0.311	2.691
1470_at	POLD2	DAN polymerase delta 2, accessory subunit	-0.664	2.874
1474_s_at	MYB	MYB proto-oncogene, transcription factor	-0.284	1.879
1475_s_at	MYB	MYB proto-oncogene, transcription factor	-0.613	3.384
1476_s_at	MYB	MYB proto-oncogene, transcription factor	-0.51	3.841
1477_s_at	CYP2C18	cytochrome P450 family 2 subfamily C member 18	-0.49	5.222
147_at	TSG101	tumor susceptibility 101	0.412	2.129
1480_at	HSPA4	heat shock protein family A (Hsp70) member 4	0.458	3.454
1483_at	CDH4	cadherin 4	-0.324	2.831
1484_at	CDH8	cadherin 8	-0.843	2.217
1485_at	EPHA7	EPH receptor A7	0.935	2.877
