ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
36095_at	CLIP3	CAP-Gly domain containing linker protein 3	-0.454	3.561
36097_at	IER2	immediate early response 2	0.949	2.145
36098_at	SRSF1	serine and arginine rich splicing factor 1	0.747	4.824
36101_s_at	VEGFA	vascular endothelial growth factor A	-0.251	2.032
36106_at	APOC3	apolipoprotein C3	-0.941	2.619
36107_at	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6	-0.719	1.856
36108_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	0.881	2.379
36109_at	PEPD	peptidase D	-1.516	4.743
36111_s_at	MIR636///SRSF2	microRNA 636///serine and arginine rich splicing factor 2	0.755	4.86
36120_at	KDSR	3-ketodihydrosphingosine reductase	-0.903	3.061
36122_at	KIAA0391///PSMA6	KIAA0391///proteasome subunit alpha 6	0.907	4.524
36123_at	TST	thiosulfate sulfurtransferase	-0.949	3.958
36130_f_at	MT1E	metallothionein 1E	-1.462	4.982
36131_at	CLIC1	chloride intracellular channel 1	0.965	6.07
36132_at	ALDH7A1	aldehyde dehydrogenase 7 family member A1	-1.381	6.339
36137_at	CHD4	chromodomain helicase DNA binding protein 4	0.326	3.402
36141_at	CTRB2	chymotrypsinogen B2	-0.359	2.72
36142_at	ATXN1	ataxin 1	0.656	3.503
36148_at	APLP1	amyloid beta precursor like protein 1	0.467	1.965
36154_at	IP6K1	inositol hexakisphosphate kinase 1	0.28	2.058
36156_at	AQP1	aquaporin 1 (Colton blood group)	-1.124	4.155
36162_at	BSG	basigin (Ok blood group)	-0.348	2.675
36169_at	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	-0.526	2.367
36171_at	SUB1	SUB1 homolog, transcriptional regulator	0.798	3.521
36176_at	TBCC	tubulin folding cofactor C	0.566	3.38
36177_at	TSN	translin	-0.446	2.439
36179_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	0.284	2.603
36180_s_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	0.304	2.693
36181_at	LASP1	LIM and SH3 protein 1	1.216	4.893
36186_at	RNPS1	RNA binding protein with serine rich domain 1	0.499	3.631
36188_at	GTF3A	general transcription factor IIIA	0.795	4.03
36202_at	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	0.39	2.551
36207_at	SEC14L1	SEC14 like lipid binding 1	0.595	2.704
36208_at	BRD2	bromodomain containing 2	-0.936	7.842
36209_at	BRD2	bromodomain containing 2	0.886	2.58
36210_g_at	BRD2	bromodomain containing 2	0.489	1.967
36211_at	BCL2L2	BCL2 like 2	-0.495	4.761
36213_at	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	-0.36	2.939
36218_g_at	STK38	serine/threonine kinase 38	0.609	4.444
36219_at	ERLIN1	ER lipid raft associated 1	-0.474	5.452
36224_g_at	SFPQ	splicing factor proline and glutamine rich	1.525	3.684
36225_s_at	SFPQ	splicing factor proline and glutamine rich	0.575	2.549
36226_r_at	SFPQ	splicing factor proline and glutamine rich	-1.078	5.904
36227_at	IL7R	interleukin 7 receptor	0.762	3.143
36228_at	GLYAT	glycine-N-acyltransferase	-1.127	5.32
36229_at	IL17RA	interleukin 17 receptor A	-0.399	1.975
36231_at	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	-0.238	2.176
36233_at	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	-0.496	1.992
36235_at	CSNK2A1	casein kinase 2 alpha 1	-0.28	2.201
36236_at	CBX5	chromobox 5	-0.49	2.409
36237_at	SLC22A6	solute carrier family 22 member 6	-0.553	3.33
36238_at	FOXO4	forkhead box O4	-0.324	2.69
36241_r_at	G6PC	glucose-6-phosphatase catalytic subunit	-2.822	5.506
36248_at	TMEM8B	transmembrane protein 8B	0.541	2.319
36250_at	ASPHD1	aspartate beta-hydroxylase domain containing 1	-0.745	5.396
36251_at	SYT2	synaptotagmin 2	-0.373	2.35
36252_at	CTF1	cardiotrophin 1	-0.577	2.613
36256_at	LSAMP	limbic system-associated membrane protein	-0.635	2.262
36257_at			-0.424	3.559
36261_at	SYT17	synaptotagmin 17	-0.381	1.973
36267_at	NFKBIL1	NFKB inhibitor like 1	-0.261	2.025
36275_at	SEMA6A	semaphorin 6A	0.444	2.229
36276_at	CNTN2	contactin 2	-0.384	1.885
36280_at	GZMK	granzyme K	0.887	3.317
36287_at	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	0.373	2.348
36288_at	KRT81	keratin 81	-0.406	1.938
36290_s_at	FUT6///FUT5///FUT3	fucosyltransferase 6///fucosyltransferase 5///fucosyltransferase 3 (Lewis blood group)	-0.405	2.963
36292_at	P2RY2	purinergic receptor P2Y2	-0.469	2.483
36295_at	ZNF134	zinc finger protein 134	0.395	2.492
36296_at	LTA	lymphotoxin alpha	-0.381	2.85
36297_at	ATF1	activating transcription factor 1	-0.508	2.234
36299_at	CALCA	calcitonin related polypeptide alpha	-0.456	2.227
36301_at	INSL3	insulin like 3	-0.324	3.214
36306_at	KCNQ3	potassium voltage-gated channel subfamily Q member 3	-0.44	3.858
36307_at	ARC	activity regulated cytoskeleton associated protein	-0.5	3.939
36313_at	EVI2A	ecotropic viral integration site 2A	0.612	3.363
36315_i_at	EXOC6B	exocyst complex component 6B	-0.651	2.729
36316_r_at	EXOC6B	exocyst complex component 6B	-0.556	2.17
36317_at	CORO2A	coronin 2A	-0.317	1.968
36328_at	SHBG	sex hormone binding globulin	-0.387	2.812
36339_at	KCNV2	potassium voltage-gated channel modifier subfamily V member 2	-0.517	3.754
36349_at	KCNJ2	potassium voltage-gated channel subfamily J member 2	-0.645	3.418
36357_at	ERI2	ERI1 exoribonuclease family member 2	-0.489	2.048
36362_at	SLC12A3	solute carrier family 12 member 3	-1.904	6.942
36364_at	ABAT	4-aminobutyrate aminotransferase	-0.344	2.149
36365_at	TRPC6	transient receptor potential cation channel subfamily C member 6	-0.423	2.09
36367_at	PCDH11Y///PCDH11X	protocadherin 11 Y-linked///protocadherin 11 X-linked	-0.398	2.978
36371_at	MFAP3	microfibrillar associated protein 3	-0.298	2.139
36373_at	ZXDB///ZXDA	zinc finger, X-linked, duplicated B///zinc finger, X-linked, duplicated A	-0.302	2.184
36382_at	RASSF9	Ras association domain family member 9	-0.633	4.506
36389_at	CRTAM	cytotoxic and regulatory T-cell molecule	0.446	1.93
36390_at	CMKLR1	chemerin chemokine-like receptor 1	0.443	2.498
36393_at	DPF1	double PHD fingers 1	-0.305	2.58
36396_at			0.314	1.886
36405_s_at	GLP1R	glucagon like peptide 1 receptor	-0.734	2.812
36407_at	KLK13	kallikrein related peptidase 13	-0.493	3.753
36408_at	SLC22A14	solute carrier family 22 member 14	-0.305	2.451
36412_s_at	IRF7	interferon regulatory factor 7	0.363	1.935
36417_s_at	ACAA1	acetyl-CoA acyltransferase 1	-1.032	3.507
36423_at	NUPR1	nuclear protein 1, transcriptional regulator	-0.73	4.702
36424_at	NEBL	nebulette	-0.72	3.089
36426_g_at	NEBL	nebulette	-0.419	3.091
36430_at			-0.386	3.093
36433_at	GLRA3	glycine receptor alpha 3	-0.373	1.876
36436_at	LECT2	leukocyte cell derived chemotaxin 2	-0.332	2.617
36438_at	ADD3-AS1	ADD3 antisense RNA 1	-0.355	2.324
36440_at	PTCRA	pre T-cell antigen receptor alpha	-0.394	2.768
36441_at	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	-0.36	2.507
36447_at	FCN1	ficolin 1	0.995	4.893
36454_at	CA12	carbonic anhydrase 12	-1.312	2.887
36468_at	DTNA	dystrobrevin alpha	-0.397	3.36
36469_at	DTNA	dystrobrevin alpha	0.377	2.948
36472_at	NMI	N-myc and STAT interactor	1.994	7.002
36481_at	ORC4	origin recognition complex subunit 4	-0.65	5.282
36493_at	LSP1	lymphocyte-specific protein 1	1.309	4.671
36495_at	FBP1	fructose-bisphosphatase 1	-1.908	6.133
36497_at	AHNAK2	AHNAK nucleoprotein 2	-0.414	2.331
36499_at	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	-0.447	4.087
36503_at	CCL21	C-C motif chemokine ligand 21	0.507	1.877
36504_at	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	-0.468	3.665
36506_at	AKAP9	A-kinase anchoring protein 9	0.595	2.257
36517_at	U2AF1	U2 small nuclear RNA auxiliary factor 1	0.7	3.946
36519_at	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	-0.41	2.093
36520_at	RRP12	ribosomal RNA processing 12 homolog	0.601	5.374
36524_at	LOC101930241///ARHGEF4	rho guanine nucleotide exchange factor 4-like///Rho guanine nucleotide exchange factor 4	-0.267	2.799
36527_at	RBMX2	RNA binding motif protein, X-linked 2	-0.344	2.272
36528_at	ASL	argininosuccinate lyase	-0.349	1.876
36529_at	TRAPPC6A	trafficking protein particle complex 6A	-0.419	2.204
36530_g_at	TRAPPC6A	trafficking protein particle complex 6A	-0.404	4.031
36537_at	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	0.579	4.223
36545_s_at	SFI1	SFI1 centrin binding protein	0.643	5.55
36547_r_at	SFI1	SFI1 centrin binding protein	-0.653	5.011
36556_at	ARHGAP44	Rho GTPase activating protein 44	-0.356	3.32
36563_at	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)	-0.438	2.45
36564_at	RNF19B	ring finger protein 19B	-0.442	3.328
36565_at	RNF113A	ring finger protein 113A	0.354	3.033
36568_at	SLC17A7	solute carrier family 17 member 7	-0.522	4.968
36570_at	CALB1	calbindin 1	-2.115	3.98
36571_at	TOP2B	topoisomerase (DNA) II beta	0.93	5.63
36572_r_at	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	0.603	2.708
36575_at	RGS1	regulator of G-protein signaling 1	1.044	4.031
36576_at	H2AFY	H2A histone family member Y	1.347	12.039
36578_at	BIRC2	baculoviral IAP repeat containing 2	0.666	3.103
36579_at	UBE4A	ubiquitination factor E4A	0.657	4.142
36581_at	GARS	glycyl-tRNA synthetase	0.73	6.036
36582_g_at	GARS	glycyl-tRNA synthetase	0.829	5.4
36585_at	ARF4	ADP ribosylation factor 4	0.873	2.03
36591_at	TUBA4A	tubulin alpha 4a	0.993	5.461
36592_at	PHB	prohibitin	-0.643	5.196
36593_at	EXT2	exostosin glycosyltransferase 2	-0.326	1.926
36595_s_at	GATM	glycine amidinotransferase	-2.43	3.704
36596_r_at	GATM	glycine amidinotransferase	-2.393	4.408
36597_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	0.548	2.429
36598_s_at	INPPL1	inositol polyphosphate phosphatase like 1	0.379	3.084
36600_at	PSME1	proteasome activator subunit 1	1.138	6.592
36611_at	ACP1	acid phosphatase 1, soluble	-0.368	2.106
36612_at	FAM168A	family with sequence similarity 168 member A	0.451	2.025
36615_at	MANF	mesencephalic astrocyte derived neurotrophic factor	0.313	2.379
36616_at	DAZAP2	DAZ associated protein 2	0.63	2.16
36623_at	ALPL	alkaline phosphatase, liver/bone/kidney	-0.464	2.527
36625_at	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2	-0.455	2.308
36629_at	TSC22D3	TSC22 domain family member 3	1.361	3.472
36631_at	PRDX3	peroxiredoxin 3	-0.777	1.944
36634_at	BTG2	BTG anti-proliferation factor 2	0.968	2.515
36635_at	ATP11B	ATPase phospholipid transporting 11B (putative)	0.397	2.664
36637_at	ANXA11	annexin A11	0.789	3.815
36642_at	PGA4///PGA3///PGA5	pepsinogen 4, group I (pepsinogen A)///pepsinogen 3, group I (pepsinogen A)///pepsinogen 5, group I (pepsinogen A)	-0.402	2.018
36644_at	CD151	CD151 molecule (Raph blood group)	0.498	1.998
36645_at	RELA	RELA proto-oncogene, NF-kB subunit	0.631	2.392
36646_at	PLG	plasminogen	-2.856	6.4
36650_at	CCND2	cyclin D2	0.526	3.242
36652_at	UROS	uroporphyrinogen III synthase	-0.349	3.177
36653_g_at	UROS	uroporphyrinogen III synthase	-0.472	3.421
36660_at	RAB11A	RAB11A, member RAS oncogene family	0.759	3.829
36661_s_at	CD14	CD14 molecule	0.887	5.766
36667_at	PYGB	phosphorylase, glycogen; brain	0.761	4.846
36670_at	EDC4	enhancer of mRNA decapping 4	-0.425	3.113
36671_at	ASNS	asparagine synthetase (glutamine-hydrolyzing)	0.44	3.768
36673_at	MPI	mannose phosphate isomerase	0.337	1.881
36674_at	CCL4	C-C motif chemokine ligand 4	1.057	2.033
36678_at	TAGLN2	transgelin 2	0.91	6.523
36685_at	AMD1	adenosylmethionine decarboxylase 1	0.494	2.163
36686_at	ALDH1A3	aldehyde dehydrogenase 1 family member A3	0.82	3.133
36689_at	OSBPL1A	oxysterol binding protein like 1A	-0.399	3.002
36691_at	KYAT1	kynurenine aminotransferase 1	-0.56	2.751
36693_at	EYA3	EYA transcriptional coactivator and phosphatase 3	-0.639	3.424
36704_at	AP4S1	adaptor related protein complex 4 sigma 1 subunit	-0.272	2.312
36709_at	ITGAX	integrin subunit alpha X	0.873	3.17
36712_at			-0.798	3.811
36715_at	ADRA1A	adrenoceptor alpha 1A	-0.488	2.858
36716_at	ADRA1A	adrenoceptor alpha 1A	-0.308	2.6
36721_s_at	HNF4A	hepatocyte nuclear factor 4 alpha	-0.56	2.422
36723_at	HNF4A	hepatocyte nuclear factor 4 alpha	-0.305	1.858
36724_s_at	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	0.522	4.173
36734_at	SPRR2D	small proline rich protein 2D	0.297	1.941
36740_at	DOC2A	double C2 domain alpha	-0.555	4.167
36746_s_at	CALCR	calcitonin receptor	-0.652	3.054
36749_at	CPA3	carboxypeptidase A3	0.931	3.142
36751_at	RGS11	regulator of G-protein signaling 11	-0.276	2.563
36758_at	SLC38A6	solute carrier family 38 member 6	-0.33	2.345
36760_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.751	3.475
36764_at	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	-0.638	6.175
36775_f_at	PRB1	proline rich protein BstNI subfamily 1	-0.397	2.227
36778_at	GPR143	G protein-coupled receptor 143	-0.524	4.868
36779_at	FABP6	fatty acid binding protein 6	-0.619	6.947
36788_at	GPC5	glypican 5	-0.834	2.927
36789_f_at	LILRB5	leukocyte immunoglobulin like receptor B5	0.652	3.589
36790_at	TPM1	tropomyosin 1 (alpha)	1.042	4.936
367_at	NEK3	NIMA related kinase 3	-0.44	4.719
36804_at	IDO1	indoleamine 2,3-dioxygenase 1	0.541	3.278
36805_s_at	NTRK1	neurotrophic receptor tyrosine kinase 1	-0.338	2.51
36806_at	TRPV6	transient receptor potential cation channel subfamily V member 6	-0.335	2.111
36808_at	PTPN22	protein tyrosine phosphatase, non-receptor type 22	0.609	3.74
36811_at	LOXL1	lysyl oxidase like 1	-0.391	3.519
36815_at	ADD2	adducin 2	0.271	2.126
36825_at	TRIM22	tripartite motif containing 22	1.057	3.853
36827_at	ACBD3	acyl-CoA binding domain containing 3	0.477	3.091
36831_at	DSTYK	dual serine/threonine and tyrosine protein kinase	-0.493	2.914
36845_at	MORC3	MORC family CW-type zinc finger 3	1.2	3.957
36846_s_at	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	0.473	2.361
36848_r_at	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	-0.342	2.059
36853_at	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	-0.763	5.224
36854_s_at	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	-0.535	2.563
36870_at	VPS8	VPS8, CORVET complex subunit	0.348	2.362
36871_at	EPB42	erythrocyte membrane protein band 4.2	-0.538	2.37
36876_at	FAH	fumarylacetoacetate hydrolase	-0.529	2.906
36878_f_at	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1	1.251	7.731
36879_at	TYMP	thymidine phosphorylase	1.527	8.56
36880_at	NQO2	NAD(P)H quinone dehydrogenase 2	-0.823	4.665
36881_at	ETFB	electron transfer flavoprotein beta subunit	-0.609	3.403
36884_at	CD163	CD163 molecule	0.552	3.885
36889_at	FCER1G	Fc fragment of IgE receptor Ig	2.003	6.298
36892_at	ITGA7	integrin subunit alpha 7	-0.245	1.882
36893_at	FDX1	ferredoxin 1	-0.816	3.404
36894_at	CBX7	chromobox 7	-0.258	2.888
36896_s_at	ARNTL	aryl hydrocarbon receptor nuclear translocator like	0.473	2.035
36899_at	SATB1	SATB homeobox 1	0.388	2.388
36902_at	RHOG	ras homolog family member G	0.428	2.14
36904_at	KIF1A	kinesin family member 1A	-0.361	2.009
36905_at	MAP3K7	mitogen-activated protein kinase kinase kinase 7	0.561	3.695
36908_at	MRC1	mannose receptor, C type 1	1.466	3.55
36909_at	WEE1	WEE1 G2 checkpoint kinase	0.519	2.221
36916_at	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	-0.232	2.006
36919_r_at	FPR1	formyl peptide receptor 1	0.409	2.007
36922_at	RRM2	ribonucleotide reductase regulatory subunit M2	-0.374	2.904
36927_at	IFI44L	interferon induced protein 44 like	0.786	3.7
36928_at	ZNF146	zinc finger protein 146	0.464	2.1
36933_at	NDRG1	N-myc downstream regulated 1	-0.809	3.796
36935_at	RASA1	RAS p21 protein activator 1	0.427	4.621
36936_at	TSTA3	tissue specific transplantation antigen P35B	-0.332	2.253
36941_at	MLLT11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11	-0.53	2.261
36942_at	IST1	IST1, ESCRT-III associated factor	0.592	4.802
36945_at	ERP29	endoplasmic reticulum protein 29	0.619	3.045
36946_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	0.707	3.236
36951_at	MRPL49	mitochondrial ribosomal protein L49	-0.302	2.078
36954_at	TATDN2	TatD DNase domain containing 2	0.267	3.71
36955_at	LMAN2	lectin, mannose binding 2	0.41	3.074
36960_at	PHC2	polyhomeotic homolog 2	0.811	3.908
36963_at	PGD	phosphogluconate dehydrogenase	1.077	5.423
36965_at	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	-0.902	2.193
36967_g_at	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	-0.433	3.365
36972_at	TMED2	transmembrane p24 trafficking protein 2	0.63	2.514
36975_at	SARAF	store-operated calcium entry associated regulatory factor	0.733	4.412
36976_at	CDH11	cadherin 11	1.026	2.626
36978_at	PSME4	proteasome activator subunit 4	0.9	6.757
36980_at	PNRC1	proline rich nuclear receptor coactivator 1	1.128	2.373
36983_f_at	HP	haptoglobin	-0.278	2.273
36986_at	LYPLA2	lysophospholipase II	-0.392	2.729
36988_at	TNFAIP1	TNF alpha induced protein 1	-0.393	2.489
36991_at	SRSF4	serine and arginine rich splicing factor 4	1.199	7.856
369_s_at	UBE2H	ubiquitin conjugating enzyme E2 H	-0.864	6.077
37004_at	SFTPB	surfactant protein B	-0.8	3.08
37006_at	JCHAIN	joining chain of multimeric IgA and IgM	2.456	2.355
37007_at	SERINC3	serine incorporator 3	0.713	3.273
37008_r_at	SERPINA5	serpin family A member 5	-1.045	3.629
37009_at	CAT	catalase	-0.732	1.941
37011_at	AIF1	allograft inflammatory factor 1	1.777	5.775
37012_at	CAPZB	capping actin protein of muscle Z-line beta subunit	0.852	6.104
37014_at	MX1	MX dynamin like GTPase 1	0.642	2.185
37016_at	ECHS1	enoyl-CoA hydratase, short chain 1	-0.855	4.343
37020_at	CRP	C-reactive protein, pentraxin-related	-0.449	2.398
37023_at	LCP1	lymphocyte cytosolic protein 1	2.673	7.626
37024_at	LITAF	lipopolysaccharide induced TNF factor	0.879	2.163
37025_at	LITAF	lipopolysaccharide induced TNF factor	1.398	4.466
37026_at	KLF6	Kruppel like factor 6	0.535	4.314
37028_at	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	0.585	2.46
37031_at	FAM120A	family with sequence similarity 120A	0.409	2.029
37032_at	LOC101928916///NNMT	uncharacterized LOC101928916///nicotinamide N-methyltransferase	1.76	4.639
37033_s_at	GPX1	glutathione peroxidase 1	1.094	4.968
37034_at	ANP32A	acidic nuclear phosphoprotein 32 family member A	0.695	3.346
37035_at	SERP1	stress-associated endoplasmic reticulum protein 1	0.718	2.58
37036_at	MDN1	midasin AAA ATPase 1	0.425	3.511
37039_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	2.204	8.404
37042_at	HYAL2	hyaluronoglucosaminidase 2	-0.21	2.059
37043_at	ID3	inhibitor of DNA binding 3, HLH protein	0.363	2.41
37045_at	SNX19	sorting nexin 19	0.385	2.121
37046_at	PSMA5	proteasome subunit alpha 5	0.522	1.973
37051_at	KCNN3	potassium calcium-activated channel subfamily N member 3	-0.667	4.549
37054_at	LOC149684///BPI	uncharacterized LOC149684///bactericidal/permeability-increasing protein	-0.504	3.396
37061_at	CHIT1	chitinase 1	0.5	3.979
37066_at	PRTN3	proteinase 3	-0.578	4.43
37068_at	PLA2G7	phospholipase A2 group VII	0.69	3.818
37069_at	DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding)	-0.73	7.111
37070_at	MPZ	myelin protein zero	-0.388	3.925
37072_at	CNGB1	cyclic nucleotide gated channel beta 1	-0.942	2.196
37075_at	SNTB1	syntrophin beta 1	-0.559	2.184
37076_at	SLC2A4	solute carrier family 2 member 4	-0.478	2.971
37078_at	CD247	CD247 molecule	0.925	4.722
37079_at	NUS1P3	NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 3	0.389	1.971
37080_at	LOC102724528///PIGC	uncharacterized LOC102724528///phosphatidylinositol glycan anchor biosynthesis class C	-1.034	2.985
37085_g_at	LYZL6	lysozyme like 6	-0.96	3.907
37088_at	AURKC	aurora kinase C	-0.229	1.858
37091_g_at	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	-0.702	2.954
37092_at	PCDHA9	protocadherin alpha 9	0.496	2.034
37094_at	XRCC3	X-ray repair cross complementing 3	-0.425	4.786
37095_r_at	FPR2	formyl peptide receptor 2	-0.455	2.013
37099_at	ALOX5AP	arachidonate 5-lipoxygenase activating protein	1.324	3.659
37100_at	FMNL1	formin like 1	0.72	2.556
37105_at	CTSG	cathepsin G	-0.31	2.391
37106_at	ZNF354A	zinc finger protein 354A	0.451	3.646
37108_at	CSNK1A1	casein kinase 1 alpha 1	-0.322	1.944
37109_at	PROZ	protein Z, vitamin K dependent plasma glycoprotein	-0.705	4.891
37110_at	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	0.31	1.921
37112_at	FAM65B	family with sequence similarity 65 member B	1.76	2.735
37118_at	RFPL1S	RFPL1 antisense RNA 1	-0.393	1.984
37120_at	TKTL1	transketolase like 1	-0.693	2.881
37121_at	NKG7	natural killer cell granule protein 7	0.737	7.167
37123_at	VILL	villin like	-0.398	3.577
37124_i_at	CYP3A43///CYP3A5	cytochrome P450 family 3 subfamily A member 43///cytochrome P450 family 3 subfamily A member 5	-0.473	2.07
37139_at	EDA	ectodysplasin A	-0.456	3.924
37144_at	PIAS4	protein inhibitor of activated STAT 4	-0.543	2.61
37149_s_at	LTF	lactotransferrin	1.672	5.841
37160_at	SPRR1B	small proline rich protein 1B	-0.324	2.716
37166_at	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	-0.338	2.684
37167_at	ATXN7	ataxin 7	-0.533	4.771
37168_at	LAMP3	lysosomal associated membrane protein 3	0.521	3.257
37169_at	ZNF536	zinc finger protein 536	-0.331	2.008
37176_at	HYAL1	hyaluronoglucosaminidase 1	-0.429	2.199
37177_at	CD58	CD58 molecule	0.762	3.505
37184_at	STX1A	syntaxin 1A	-0.596	3.721
37186_s_at	AOC1	amine oxidase, copper containing 1	-1.206	2.201
37188_at	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	-2.225	8.146
37189_at	PMM1	phosphomannomutase 1	-0.576	2.88
37191_at	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	0.366	2.729
37192_at	DMTN	dematin actin binding protein	-0.502	6.413
37193_at	MIR3658///UCK2	microRNA 3658///uridine-cytidine kinase 2	-0.317	2.039
371_at	IRF3	interferon regulatory factor 3	0.237	2.355
37200_at	FCGR3A	Fc fragment of IgG receptor IIIa	2.571	6.561
37202_at	F2	coagulation factor II, thrombin	-0.538	1.95
37204_at	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	-0.534	3.642
37207_at	SERPINA7	serpin family A member 7	-0.804	5.556
37218_at	BTG3	BTG anti-proliferation factor 3	0.542	3.301
37219_at	CXCL9	C-X-C motif chemokine ligand 9	2.91	5.682
37220_at	FCGR1CP///FCGR1B///FCGR1A	Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia	1.107	3.749
37229_at	ATR	ATR serine/threonine kinase	0.735	6.813
37234_at	KNG1	kininogen 1	-1.859	2.651
37235_g_at	KNG1	kininogen 1	-1.959	3.06
37236_at	KNG1	kininogen 1	-1.017	2.898
37237_at	AP3M2	adaptor related protein complex 3 mu 2 subunit	0.758	6.325
37238_s_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-0.503	3.548
37239_r_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-0.661	5.919
37245_at	GABPA	GA binding protein transcription factor alpha subunit	0.486	2.822
37249_at	PDE8B	phosphodiesterase 8B	-0.584	3.485
37250_at	GJA9-MYCBP///MYCBP	GJA9-MYCBP readthrough///MYC binding protein	0.362	2.456
37251_s_at	GPM6B	glycoprotein M6B	0.469	1.945
37263_at	GGH	gamma-glutamyl hydrolase	-0.587	2.433
37264_at	LOC100506639///ZNF131	uncharacterized LOC100506639///zinc finger protein 131	0.447	2.38
37268_at	VEGFB	vascular endothelial growth factor B	-0.535	4.853
37269_at	LZTR1	leucine zipper like transcription regulator 1	-0.449	1.928
37282_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	0.606	2.734
37283_at	MN1	MN1 proto-oncogene, transcriptional regulator	-0.459	3.28
37293_at	CKAP5	cytoskeleton associated protein 5	0.418	3.239
37294_at	BTG1	BTG anti-proliferation factor 1	1.081	5.002
37295_at	GTF2E2	general transcription factor IIE subunit 2	0.421	3.682
37307_at	GNAI2	G protein subunit alpha i2	1.075	5.632
37309_at	RHOA	ras homolog family member A	0.866	5.76
37311_at	TALDO1	transaldolase 1	0.712	3.573
37312_at	SERTAD2	SERTA domain containing 2	0.649	4.381
37317_at	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	-0.323	2.381
37320_at	PTDSS1	phosphatidylserine synthase 1	0.348	2.582
37323_r_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	-0.46	4.534
37326_at	PLP2	proteolipid protein 2	0.86	4.24
37328_at	PLEK	pleckstrin	1.445	3.263
37329_at	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	-0.403	2.44
37330_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-0.789	6.207
37331_g_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-1.647	5.122
37332_r_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-0.699	6.296
37335_at	DGUOK	deoxyguanosine kinase	0.403	2.426
37337_at	SNRPG	small nuclear ribonucleoprotein polypeptide G	0.626	4.038
37340_at	GGCX	gamma-glutamyl carboxylase	-0.454	3.384
37341_at	GLUD1	glutamate dehydrogenase 1	-0.572	4.285
37343_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	0.497	2.373
37344_at	HLA-DMA	major histocompatibility complex, class II, DM alpha	1.91	7.642
