ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
33976_at	ONECUT1	one cut homeobox 1	-0.664	2.608
33980_at	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	-1.01	3.666
33981_at	IL4	interleukin 4	-0.346	2.346
33988_at	TMBIM6	transmembrane BAX inhibitor motif containing 6	-0.497	2.456
33991_g_at	ALB	albumin	-3.613	9.505
33992_at	ALB	albumin	-2.374	5.028
33994_g_at	MYL6	myosin light chain 6	0.25	1.965
33998_at	NTS	neurotensin	-0.499	3.052
33999_f_at	IGHV5-78	immunoglobulin heavy variable 5-78 (pseudogene)	-0.541	2.52
34005_at	PIGR	polymeric immunoglobulin receptor	-0.325	2.701
34006_s_at	MAPK8	mitogen-activated protein kinase 8	0.583	3.467
34007_at	GRM8	glutamate metabotropic receptor 8	-0.608	2.728
34010_at	ARHGAP22	Rho GTPase activating protein 22	-0.732	6.22
34011_at	HRK	harakiri, BCL2 interacting protein	-0.334	2.8
34016_s_at	ABCC1	ATP binding cassette subfamily C member 1	-0.34	2.795
34024_at	CLCN5	chloride voltage-gated channel 5	-0.317	2.32
34026_at	LINC00563	long intergenic non-protein coding RNA 563	-0.604	3.901
34030_at	TULP1	tubby like protein 1	-0.265	2.484
34032_at			0.491	3.43
34033_s_at	LILRA2	leukocyte immunoglobulin like receptor A2	1.014	2.471
34034_at	STARD8	StAR related lipid transfer domain containing 8	-0.451	2.089
34036_at	UHRF2	ubiquitin like with PHD and ring finger domains 2	-0.502	4.343
34040_s_at	NCR1	natural cytotoxicity triggering receptor 1	0.391	2.123
34048_at	GK2	glycerol kinase 2	-0.293	2.275
34049_at			-0.317	1.89
34051_at	LRCH1	leucine rich repeats and calponin homology domain containing 1	-0.539	3.208
34061_at	MIR1204///PVT1	microRNA 1204///Pvt1 oncogene (non-protein coding)	-0.37	3.146
34062_at	ETV2	ETS variant 2	-0.411	3.14
34064_s_at	NCR2	natural cytotoxicity triggering receptor 2	0.333	2.002
34065_at	ONECUT2	one cut homeobox 2	-0.318	2.097
34067_at	TMPRSS6	transmembrane protease, serine 6	0.31	2.024
34068_f_at	SSX1	SSX family member 1	-0.671	2.561
34070_s_at	PDIA2	protein disulfide isomerase family A member 2	-0.607	5.97
34072_s_at			-0.493	2.402
34083_at	GATC	glutamyl-tRNA amidotransferase subunit C	-0.341	1.893
34091_s_at	VIM	vimentin	1.506	5.78
34092_at			-0.484	2.563
34099_f_at	YARS2	tyrosyl-tRNA synthetase 2	1.112	2.603
34101_at			-0.682	3.202
34102_at	LCN1	lipocalin 1	-0.591	5.813
34104_i_at			0.309	2.124
34105_f_at	LOC100293211///IGHM	uncharacterized LOC100293211///immunoglobulin heavy constant mu	1.496	2.602
34106_at	GNA12	G protein subunit alpha 12	-0.258	2.209
34107_at	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	-0.809	3.357
34110_g_at	LOC102724788///PRODH	proline dehydrogenase 1, mitochondrial///proline dehydrogenase 1	-0.517	3.037
34119_at	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22	-0.652	1.929
34124_at			-0.356	2.07
34127_at	SLC22A13	solute carrier family 22 member 13	-0.343	3.135
34129_at	STXBP5L	syntaxin binding protein 5 like	-0.607	5.037
34131_at	SLC7A11	solute carrier family 7 member 11	-0.356	2.333
34134_at			-0.612	3.539
34135_at			-0.544	2.402
34137_at	OR2H1	olfactory receptor family 2 subfamily H member 1	-0.844	3.708
34144_at	TLR6	toll like receptor 6	-0.458	1.917
34147_g_at	OGG1	8-oxoguanine DNA glycosylase	-0.326	2.443
34154_at	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	-0.237	2.011
34160_at	ACTG1///ACTB	actin gamma 1///actin beta	1.234	4.533
34161_at	LPO	lactoperoxidase	-0.298	2.127
34164_at			-0.737	4.04
34167_s_at	SLC6A7	solute carrier family 6 member 7	0.495	6.177
34173_s_at	CNTN5	contactin 5	-0.458	3.568
34177_at	B4GALT2	beta-1,4-galactosyltransferase 2	0.441	3.368
34178_at	ZBTB22	zinc finger and BTB domain containing 22	0.433	1.961
34180_at	ARHGEF10	Rho guanine nucleotide exchange factor 10	0.422	2.933
34181_at	AGA	aspartylglucosaminidase	0.601	2.474
34183_at	CCDC69	coiled-coil domain containing 69	-0.566	3.088
34186_at	PCBP4	poly(rC) binding protein 4	-0.931	4
34188_at	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	0.667	2.972
34190_at	COCH	cochlin	-0.641	2.84
34191_at	DCP2	decapping mRNA 2	0.815	6.222
34194_at	CLIC5	chloride intracellular channel 5	-1.518	3.913
34195_at	GATAD1	GATA zinc finger domain containing 1	-0.278	2.123
34196_at	GATAD1	GATA zinc finger domain containing 1	0.245	2.114
34210_at	CD52	CD52 molecule	1.459	4.86
34212_at	AGTPBP1	ATP/GTP binding protein 1	0.461	2.221
34215_at	AKAP17A	A-kinase anchoring protein 17A	0.692	3.043
34221_at	HMGXB3	HMG-box containing 3	0.279	1.975
34224_at	FADS3	fatty acid desaturase 3	0.459	2.743
34225_at	MIR943///NELFA	microRNA 943///negative elongation factor complex member A	-0.49	3.226
34232_at	NKTR	natural killer cell triggering receptor	0.62	2.727
34235_at	ADGRF5	adhesion G protein-coupled receptor F5	-1.1	4.986
34239_at	N4BP2L1	NEDD4 binding protein 2 like 1	0.397	2.863
34240_s_at	N4BP2L1	NEDD4 binding protein 2 like 1	-0.678	5.15
34244_r_at	L3MBTL1	l(3)mbt-like 1 (Drosophila)	-0.797	1.925
34246_at	PXDC1	PX domain containing 1	0.249	2.028
34254_at	RALGDS	ral guanine nucleotide dissociation stimulator	-0.358	2.292
34256_at	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	0.793	9.945
34258_at	MKLN1	muskelin 1	-0.487	2.532
34276_at	NINL	ninein like	-0.449	2.351
34277_at	CA11	carbonic anhydrase 11	-0.385	3.451
34279_at	LOC102724250///NBPF25P///NBPF26///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF1///NBPF14	neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14	1.138	2.212
34282_at	NFE2L3	nuclear factor, erythroid 2 like 3	0.615	2.794
34283_at	XYLT1	xylosyltransferase 1	0.785	3.505
34290_f_at	MED24	mediator complex subunit 24	-0.391	2.227
34291_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	0.347	2.317
34292_at	TMEM187	transmembrane protein 187	-0.388	2.57
34293_at	KIFC3	kinesin family member C3	-0.273	2.504
34295_at	MIR6125///USP15	microRNA 6125///ubiquitin specific peptidase 15	-0.485	2.031
34301_r_at	KRT17///JUP	keratin 17///junction plakoglobin	-0.521	3.112
34303_at	ZCCHC24	zinc finger CCHC-type containing 24	0.416	3.42
34304_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	1.562	6.038
34306_at	MBNL1	muscleblind like splicing regulator 1	1.014	3.961
34314_at	RRM1	ribonucleotide reductase catalytic subunit M1	0.647	3.477
34320_at	PTRF	polymerase I and transcript release factor	0.743	2.188
34325_at	PQBP1	polyglutamine binding protein 1	-0.327	3.44
34326_at	COPB1	coatomer protein complex subunit beta 1	0.588	2.15
34329_at	PAK2	p21 (RAC1) activated kinase 2	1.158	5.109
34333_at	JOSD1	Josephin domain containing 1	0.833	3.132
34336_at	KARS	lysyl-tRNA synthetase	0.925	4.92
34337_s_at	MTF2	metal response element binding transcription factor 2	0.677	4.3
34338_at	TBCB	tubulin folding cofactor B	0.818	4.211
34341_at	PPAT	phosphoribosyl pyrophosphate amidotransferase	-0.445	2.268
34345_at	PRPF6	pre-mRNA processing factor 6	0.3	2.799
34346_at	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1	0.285	2.098
34352_at	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	-0.584	3.976
34353_at	PDS5A	PDS5 cohesin associated factor A	0.538	2.793
34354_at	FGFR2	fibroblast growth factor receptor 2	-0.454	3.287
34357_g_at	LOC101928625///MED21	uncharacterized LOC101928625///mediator complex subunit 21	-0.558	2.61
34361_at	PCSK7	proprotein convertase subtilisin/kexin type 7	0.512	3.936
34370_at	ARCN1	archain 1	0.545	2.332
34371_at	PPP4R1	protein phosphatase 4 regulatory subunit 1	0.958	3.365
34383_at	USP1	ubiquitin specific peptidase 1	0.491	2.409
34386_at	MBD4	methyl-CpG binding domain 4, DNA glycosylase	1.04	5.655
34387_at	LPGAT1	lysophosphatidylglycerol acyltransferase 1	1.066	3.754
34394_at	ADNP	activity dependent neuroprotector homeobox	0.41	2.119
34397_at	LUC7L3	LUC7 like 3 pre-mRNA splicing factor	1.004	6.185
34403_at	MFGE8	milk fat globule-EGF factor 8 protein	0.313	2.196
34405_at	USP5	ubiquitin specific peptidase 5	0.324	2.832
34411_at	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	0.566	2.55
34423_at	FAM149A	family with sequence similarity 149 member A	-0.382	2.08
34425_at	MR1	major histocompatibility complex, class I-related	0.4	2.114
34426_at	MR1	major histocompatibility complex, class I-related	-0.445	2.677
34429_at	MADCAM1	mucosal vascular addressin cell adhesion molecule 1	-0.699	5.092
34433_at	DOK1	docking protein 1	0.447	4.403
34434_at	CCL16	C-C motif chemokine ligand 16	-0.56	2.506
34445_at	RABGAP1L	RAB GTPase activating protein 1 like	0.53	4.624
34446_at	RABGAP1L	RAB GTPase activating protein 1 like	0.765	3.406
34450_at	GUCY2C	guanylate cyclase 2C	-0.532	2.984
34460_at	TSPOAP1	TSPO associated protein 1	-0.37	2.289
34462_at	SCNN1D	sodium channel epithelial 1 delta subunit	-0.455	2.985
34463_at	DNASE1	deoxyribonuclease 1	-0.474	4.176
34464_at	DAO	D-amino acid oxidase	-0.709	6.189
34481_at	VAV1	vav guanine nucleotide exchange factor 1	0.429	1.912
34486_at			-0.398	2.032
34492_at	SFT2D2	SFT2 domain containing 2	0.247	1.896
34494_at	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	-0.696	3.135
34496_at	PIGL	phosphatidylinositol glycan anchor biosynthesis class L	-0.44	3.495
34499_at	ACTN3	actinin alpha 3 (gene/pseudogene)	0.285	2.051
34501_at	RUNX2	runt related transcription factor 2	-0.936	6.179
34506_at	ALAD	aminolevulinate dehydratase	-0.381	2.729
34508_r_at	LMTK2	lemur tyrosine kinase 2	-0.516	2.343
34510_at	CDT1	chromatin licensing and DNA replication factor 1	-0.281	2.153
34512_at	ADRA2C	adrenoceptor alpha 2C	-0.318	3.375
34513_at	TSHR	thyroid stimulating hormone receptor	-0.482	4.707
34519_at	NPR3	natriuretic peptide receptor 3	-0.458	1.862
34521_at	MAP3K13	mitogen-activated protein kinase kinase kinase 13	-0.653	5.623
34522_at			-0.357	4.423
34524_at	AJAP1	adherens junctions associated protein 1	-0.402	2.427
34528_at	MIR124-1///LINC00599	microRNA 124-1///long intergenic non-protein coding RNA 599	-0.408	2.626
34534_at	OPRM1	opioid receptor mu 1	-0.496	3.173
34547_at	CELF3	CUGBP, Elav-like family member 3	-0.475	6.982
34554_at	GLRA2	glycine receptor alpha 2	-0.862	4.587
34556_at	KRT9	keratin 9	-0.344	1.926
34558_at	OPRL1	opioid related nociceptin receptor 1	-0.461	4.159
34564_at	EPHA5	EPH receptor A5	-0.477	3.166
34570_at	RPS27A	ribosomal protein S27a	0.802	2.558
34572_at	CA7	carbonic anhydrase 7	-0.319	2.598
34573_at	EFNA3	ephrin A3	-0.459	1.966
34578_at	SGCG	sarcoglycan gamma	-0.685	4.325
34580_at	OPRD1	opioid receptor delta 1	-0.365	3.288
34583_at	FLT3	fms related tyrosine kinase 3	-0.312	2.771
34584_at	ZNF45	zinc finger protein 45	-0.529	4.537
34586_s_at	DLX2	distal-less homeobox 2	-0.651	5.009
34587_at	EPX	eosinophil peroxidase	-0.744	3.81
34590_at	CNTF	ciliary neurotrophic factor	-0.231	2.26
34597_at	CH17-360D5.1///NPY4R	neuropeptide Y receptor type 4-like///neuropeptide Y receptor Y4	-0.307	3.021
34600_s_at	TUB	tubby bipartite transcription factor	-0.341	2.104
34602_at	FCN2	ficolin 2	-0.676	5.571
34603_at	PDC	phosducin	-0.633	3.146
34605_at	ATF7	activating transcription factor 7	-0.559	2.655
34607_at	ICOS	inducible T-cell costimulator	0.305	3.084
34616_at	F13B	coagulation factor XIII B chain	-0.421	2.28
34618_at	IHH	indian hedgehog	-0.293	2.257
34626_at	HIC1	hypermethylated in cancer 1	-0.636	6.018
34637_f_at	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	0.695	2.092
34641_at	PZP	PZP, alpha-2-macroglobulin like	0.335	1.94
34644_at	B2M	beta-2-microglobulin	0.993	4.409
34645_at	RPS3	ribosomal protein S3	0.75	2.356
34647_at	MIR5047///MIR3064///DDX5	microRNA 5047///microRNA 3064///DEAD-box helicase 5	1.353	7.774
34654_at	MTMR1	myotubularin related protein 1	0.647	3.051
34655_at	MPP2	membrane palmitoylated protein 2	-0.42	3.718
34656_at	MPP2	membrane palmitoylated protein 2	-0.492	4.944
34660_at	RNASE6	ribonuclease A family member k6	0.718	4.66
34663_at	FCGR2B	Fc fragment of IgG receptor IIb	0.659	5.914
34664_at	FCGR2B	Fc fragment of IgG receptor IIb	-0.623	2.643
34669_at	TFE3	transcription factor binding to IGHM enhancer 3	-0.436	3.715
34672_at	TBC1D4	TBC1 domain family member 4	-0.447	2.82
34674_at	S100A1	S100 calcium binding protein A1	0.413	3.643
34677_f_at	CCDC144B///USP32P2///USP32P1///USP32///USP6	coiled-coil domain containing 144B (pseudogene)///ubiquitin specific peptidase 32 pseudogene 2///ubiquitin specific peptidase 32 pseudogene 1///ubiquitin specific peptidase 32///ubiquitin specific peptidase 6	0.851	2.36
34678_at	MYOF	myoferlin	1.353	4.91
34684_at	RECQL	RecQ like helicase	0.972	4.696
34687_at	MRS2	MRS2, magnesium transporter	-0.585	3.611
34691_f_at	ARPC4	actin related protein 2/3 complex subunit 4	0.419	3.818
34695_at	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	-0.35	2.47
34696_at	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	-1.504	3.362
34697_at	LRP6	LDL receptor related protein 6	-0.736	5.134
34702_f_at	TPTEP1	transmembrane phosphatase with tensin homology pseudogene 1	-0.393	3.116
34703_f_at	HHLA1	HERV-H LTR-associating 1	-0.344	2.356
34706_at	MGA	MGA, MAX dimerization protein	-0.587	2.054
34709_r_at	STAG2	stromal antigen 2	-0.705	4.871
34712_at	DNMBP	dynamin binding protein	-0.401	5.285
34719_at	GLS	glutaminase	-0.859	2.793
34737_at	COG5	component of oligomeric golgi complex 5	-0.458	2.405
34738_at	MIR6778///SHMT1	microRNA 6778///serine hydroxymethyltransferase 1	-0.978	5.538
34740_at	FOXO3	forkhead box O3	0.531	2.949
34741_at	TFDP2	transcription factor Dp-2	-0.24	2.2
34748_at	RASGRP3	RAS guanyl releasing protein 3	-0.249	1.886
34752_at	NEK7	NIMA related kinase 7	0.87	2.459
34760_at	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75	0.979	6.186
34768_at	TMX1	thioredoxin related transmembrane protein 1	0.807	4.143
34769_at	FAAH	fatty acid amide hydrolase	-0.273	2.452
34770_at	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1.037	3.018
34772_at	CORO2B	coronin 2B	-0.35	1.857
34774_at	PPT1	palmitoyl-protein thioesterase 1	0.66	1.929
34776_at	CDC42EP4	CDC42 effector protein 4	0.492	2.417
34782_at	JARID2	jumonji and AT-rich interaction domain containing 2	0.394	3.259
34785_at	MED13L	mediator complex subunit 13 like	0.545	2.215
34786_at	KDM3A	lysine demethylase 3A	0.825	2.644
34787_at	NRDC	nardilysin convertase	0.686	3.478
34799_at	IFT20	intraflagellar transport 20	0.783	2.909
