ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
1183_at	CCL17	C-C motif chemokine ligand 17	-0.604	4.925
1184_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	1.093	6.082
1185_at	IL3RA	interleukin 3 receptor subunit alpha	-0.655	7.656
1186_at	GDF10	growth differentiation factor 10	-0.552	2.849
1189_at	CDK8	cyclin dependent kinase 8	-0.678	4.867
118_at	ITPKA	inositol-trisphosphate 3-kinase A	-0.679	3.78
1191_s_at	PSMD11	proteasome 26S subunit, non-ATPase 11	1.312	9.347
1192_at	PSMD12	proteasome 26S subunit, non-ATPase 12	0.881	5.145
1193_at	UBE3A	ubiquitin protein ligase E3A	-0.777	3.353
1194_g_at	UBE3A	ubiquitin protein ligase E3A	-0.7	8.43
1196_at	RCC1	regulator of chromosome condensation 1	-0.765	9.974
1199_at	LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1	uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1	0.505	3.788
1200_at	GLI2	GLI family zinc finger 2	-0.776	8.655
1201_at	RAB33A	RAB33A, member RAS oncogene family	-0.592	5.352
1203_at	INHBA	inhibin beta A subunit	-0.713	6.347
1205_at			-0.474	3.617
1207_at	CDK6	cyclin dependent kinase 6	-0.295	3.159
1208_at	PTK6	protein tyrosine kinase 6	-0.6	8.83
120_at	ITGA1	integrin subunit alpha 1	0.973	9.46
1210_s_at	TNFRSF25	TNF receptor superfamily member 25	-0.443	4.446
1211_s_at	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	0.539	3.365
1212_at	GSTZ1	glutathione S-transferase zeta 1	-0.309	2.503
1213_at	SRPK2	SRSF protein kinase 2	0.565	2.733
1214_s_at	IFNB1	interferon beta 1	-0.398	3.288
1217_g_at	PRKCB	protein kinase C beta	-0.661	3.42
1220_g_at	IRF2	interferon regulatory factor 2	-0.398	2.505
1221_at	RAB5B	RAB5B, member RAS oncogene family	-0.71	5.933
1223_at	CDK18	cyclin dependent kinase 18	-0.241	2.068
1225_g_at	CDK16	cyclin dependent kinase 16	0.529	6.479
1228_s_at	CTAGE5	CTAGE family member 5, ER export factor	0.756	6.513
1229_at	MTMR11	myotubularin related protein 11	0.571	4.682
122_at	PRIM2	primase (DNA) subunit 2	-0.681	4.793
1231_at	UBE2B	ubiquitin conjugating enzyme E2 B	0.817	2.789
1232_s_at	IGFBP1	insulin like growth factor binding protein 1	-0.467	2.725
1233_s_at	AXL	AXL receptor tyrosine kinase	-0.821	9.205
1234_at	EPHA3	EPH receptor A3	-0.308	2.332
1235_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	0.746	4.359
1236_s_at	NF1P9///NF1	neurofibromin 1 pseudogene 9///neurofibromin 1	-0.345	2.686
1239_s_at	CASP2	caspase 2	-0.663	3.904
123_at	PRKD1	protein kinase D1	-0.613	3.648
1240_at	CASP2	caspase 2	-0.299	1.862
1241_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	1.236	7.548
1242_at	ERF	ETS2 repressor factor	-0.744	8.588
1244_at	STAT2	signal transducer and activator of transcription 2	-0.203	2.549
1246_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.871	8.02
1247_g_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.501	3.625
1248_at	POLR2H	RNA polymerase II subunit H	0.385	4.622
1249_at	GAB1	GRB2 associated binding protein 1	-0.562	4.155
1250_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	1.04	4.806
1254_at	GUCA1A	guanylate cyclase activator 1A	-0.793	4.38
1255_g_at	GUCA1A	guanylate cyclase activator 1A	-0.657	5.191
1257_s_at	QSOX1	quiescin sulfhydryl oxidase 1	-0.359	1.873
1258_s_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	0.294	2.296
1259_at	ZNF23	zinc finger protein 23	-0.698	6.535
1266_s_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	-0.38	2.474
1267_at	PRKCH	protein kinase C eta	-0.378	5.091
1268_at	UBA1	ubiquitin like modifier activating enzyme 1	0.917	6.259
1269_at	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	1.402	7.627
1270_at	RAP1GAP	RAP1 GTPase activating protein	-0.715	8.527
1271_g_at	RELA	RELA proto-oncogene, NF-kB subunit	-0.374	4.115
1272_at	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	0.675	4.772
1273_r_at	CDC34	cell division cycle 34	-1.085	7.827
1277_at	ARHGEF16	Rho guanine nucleotide exchange factor 16	-0.744	11.264
1278_at	AXL	AXL receptor tyrosine kinase	0.449	2.367
1279_s_at	TEN1-CDK3///CDK3	TEN1-CDK3 readthrough (NMD candidate)///cyclin dependent kinase 3	-0.64	6.986
1281_f_at	MKNK2	MAP kinase interacting serine/threonine kinase 2	-0.348	2.009
1283_at	MAP3K13	mitogen-activated protein kinase kinase kinase 13	-0.358	2.063
1284_at	PRKD3	protein kinase D3	-0.383	4.013
1285_at	NEK1	NIMA related kinase 1	-0.252	1.979
1286_s_at			-0.311	1.996
1287_at	PARP1	poly(ADP-ribose) polymerase 1	0.493	3.348
1289_at	GSTM5	glutathione S-transferase mu 5	-0.52	5.384
1290_g_at	GSTM5	glutathione S-transferase mu 5	-0.727	5.15
1293_s_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	-0.629	6.111
1295_at	RELA	RELA proto-oncogene, NF-kB subunit	1.138	4.936
1296_at	CDH15	cadherin 15	-0.358	3.108
1297_at	RBPMS	RNA binding protein with multiple splicing	-0.419	4.447
1298_at	ESR1	estrogen receptor 1	-0.514	1.821
1299_at	TERF2	telomeric repeat binding factor 2	-0.517	2.8
129_g_at	CTSK	cathepsin K	-0.503	1.549
1300_at	XRCC2	X-ray repair cross complementing 2	-0.977	3.332
1304_at			-0.443	5.258
1306_at	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	-0.216	2.496
1307_at	XPA	XPA, DNA damage recognition and repair factor	0.905	6.703
1309_at	PSMB3	proteasome subunit beta 3	0.479	2.916
130_s_at	NKX2-1	NK2 homeobox 1	-0.727	8.395
1310_at	PSMB2	proteasome subunit beta 2	0.744	3.075
1312_at	PSMD8	proteasome 26S subunit, non-ATPase 8	0.488	3.153
1313_at	PSMB7	proteasome subunit beta 7	0.568	2.469
1314_at	PSMD1	proteasome 26S subunit, non-ATPase 1	1.052	6.931
1315_at	OAZ1	ornithine decarboxylase antizyme 1	0.402	1.954
1317_at	MST1R	macrophage stimulating 1 receptor	-0.585	4.61
1318_at	RBBP4	RB binding protein 4, chromatin remodeling factor	1.103	8.776
1320_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	-0.657	4.346
1321_s_at	EMP1	epithelial membrane protein 1	-0.298	3.267
1322_at	E2F1	E2F transcription factor 1	-0.937	8.722
1324_at	RAD9A	RAD9 checkpoint clamp component A	-0.57	2.892
1325_at	SMAD1	SMAD family member 1	0.602	2.754
1326_at	CASP10	caspase 10	-0.36	2.002
1327_s_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5	0.602	1.533
1329_s_at	TERF1	telomeric repeat binding factor 1	0.605	4.181
1330_at	MAP3K3	mitogen-activated protein kinase kinase kinase 3	-0.588	6.009
1331_s_at	TNFRSF25	TNF receptor superfamily member 25	-0.724	2.138
1332_f_at	GH1	growth hormone 1	-0.21	1.864
1334_s_at	CSF3	colony stimulating factor 3	-0.429	5.903
1335_at	IGF1R	insulin like growth factor 1 receptor	-0.562	4.548
1336_s_at	PRKCB	protein kinase C beta	-0.81	5.335
1338_s_at	CYP2A13///CYP2A7///CYP2A6	cytochrome P450 family 2 subfamily A member 13///cytochrome P450 family 2 subfamily A member 7///cytochrome P450 family 2 subfamily A member 6	-0.798	3.879
1339_s_at	BCR	BCR, RhoGEF and GTPase activating protein	-0.408	2.988
1341_at	SPI1	Spi-1 proto-oncogene	-0.582	4.777
1342_g_at	TERF1	telomeric repeat binding factor 1	0.67	2.766
1343_s_at	SERPINB3	serpin family B member 3	-0.392	1.67
1344_at	PAX3	paired box 3	-0.487	5.57
1346_at	MT3	metallothionein 3	-0.42	5.268
