ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
37107_at	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	0.601	3.607
37108_at	CSNK1A1	casein kinase 1 alpha 1	-0.658	5.815
37114_at	ZFHX3	zinc finger homeobox 3	-0.406	2.517
37115_at	ZMYND8	zinc finger MYND-type containing 8	-0.523	2.078
37117_at	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8	0.436	4.553
37118_at	RFPL1S	RFPL1 antisense RNA 1	-0.438	2.666
37120_at	TKTL1	transketolase like 1	-0.656	3.1
37121_at	NKG7	natural killer cell granule protein 7	0.288	2.392
37123_at	VILL	villin like	-0.65	7.512
37125_f_at	CYP3A43///CYP3A5	cytochrome P450 family 3 subfamily A member 43///cytochrome P450 family 3 subfamily A member 5	0.563	1.8
37134_f_at	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	-0.584	2.965
37135_f_at	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	-0.675	4.68
37136_at	SH2B2	SH2B adaptor protein 2	-0.366	3.226
37137_at	GZMB	granzyme B	-0.474	2.828
37138_at	RAD54L2	RAD54-like 2 (S. cerevisiae)	-0.329	1.938
37140_s_at	EDA	ectodysplasin A	-1.003	4.115
37141_at	FOXA1	forkhead box A1	-0.735	3.569
37143_s_at	PFAS	phosphoribosylformylglycinamidine synthase	-0.523	3.222
37144_at	PIAS4	protein inhibitor of activated STAT 4	-1.043	6.873
37146_at	ATG2A	autophagy related 2A	-0.501	4
37147_at	CLEC11A	C-type lectin domain family 11 member A	-0.452	3.982
37150_at	KLHL20	kelch like family member 20	0.473	2.486
37151_at	KAZN	kazrin, periplakin interacting protein	0.601	4.092
37156_at	ETV1	ETS variant 1	1.05	5.029
37157_at	CALB2	calbindin 2	-0.576	3.557
37158_at	SAMD14	sterile alpha motif domain containing 14	-0.62	3.708
37160_at	SPRR1B	small proline rich protein 1B	-0.638	7.411
37161_at	RSL1D1	ribosomal L1 domain containing 1	1.093	8.882
37162_at	CCDC6	coiled-coil domain containing 6	0.77	6.054
37163_at	ABTB2	ankyrin repeat and BTB domain containing 2	-0.251	2.68
37164_at	RHD	Rh blood group D antigen	-0.857	4.738
37165_f_at	RHD///RHCE	Rh blood group D antigen///Rh blood group CcEe antigens	-0.507	8.344
37166_at	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	-0.318	2.778
37167_at	ATXN7	ataxin 7	-0.46	4.475
37170_at	BMP2K	BMP2 inducible kinase	1.351	5.621
37174_at	MRPL19	mitochondrial ribosomal protein L19	0.58	2.243
37177_at	CD58	CD58 molecule	0.989	5.645
37178_at	SLC25A46	solute carrier family 25 member 46	1.404	7.669
37181_at	MPV17	MPV17, mitochondrial inner membrane protein	0.894	10.341
37184_at	STX1A	syntaxin 1A	-0.476	3
37186_s_at	AOC1	amine oxidase, copper containing 1	1.153	1.773
37190_at	WASF1	WAS protein family member 1	0.635	5.94
37192_at	DMTN	dematin actin binding protein	-0.559	8.08
37193_at	MIR3658///UCK2	microRNA 3658///uridine-cytidine kinase 2	-0.414	3.418
37195_at	CYP11A1	cytochrome P450 family 11 subfamily A member 1	-0.322	4.238
37196_at	CDH5	cadherin 5	0.515	3.093
37197_s_at	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	0.573	3.899
37199_at	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	0.351	2.103
371_at	IRF3	interferon regulatory factor 3	-0.222	2.48
37201_at	ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4	-0.309	2.106
37202_at	F2	coagulation factor II, thrombin	-0.653	2.945
37203_at	LOC100653086///LOC100653057///CES1P1///CES1	uncharacterized LOC100653086///liver carboxylesterase 1-like///carboxylesterase 1 pseudogene 1///carboxylesterase 1	-0.45	3.495
37204_at	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	-1.005	8.856
37205_at	FBXL7	F-box and leucine rich repeat protein 7	-0.263	2.111
37206_at	ADH6	alcohol dehydrogenase 6 (class V)	0.449	1.955
37207_at	SERPINA7	serpin family A member 7	-0.988	7.944
37211_at	BDH1	3-hydroxybutyrate dehydrogenase, type 1	0.483	4.542
37218_at	BTG3	BTG anti-proliferation factor 3	0.366	2.104
37219_at	CXCL9	C-X-C motif chemokine ligand 9	1.153	2.277
37220_at	FCGR1CP///FCGR1B///FCGR1A	Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia	-0.599	1.673
37221_at	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	0.464	2.453
37223_at	SGCB	sarcoglycan beta	0.498	3.88
37225_at	KANK1	KN motif and ankyrin repeat domains 1	0.961	4.449
37228_at	PLK1	polo like kinase 1	-0.861	4.159
37229_at	ATR	ATR serine/threonine kinase	0.878	9.228
37231_at	DLGAP5	DLG associated protein 5	-0.468	3.571
37233_at	OLR1	oxidized low density lipoprotein receptor 1	0.598	2.218
37236_at	KNG1	kininogen 1	1.238	5.029
37237_at	AP3M2	adaptor related protein complex 3 mu 2 subunit	0.367	2.594
37238_s_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-0.997	9.557
37239_r_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-1.025	10.81
37240_at	HARS2	histidyl-tRNA synthetase 2, mitochondrial	0.335	1.686
37241_at	PNMA2	paraneoplastic Ma antigen 2	-0.344	2.152
37242_at	FTO	fat mass and obesity associated	0.435	4.595
37244_at	UCHL3	ubiquitin C-terminal hydrolase L3	0.88	4.822
37245_at	GABPA	GA binding protein transcription factor alpha subunit	0.469	3.042
37246_at	ACD	adrenocortical dysplasia homolog	-0.506	5.924
37247_at	TCF21	transcription factor 21	0.641	3.256
37249_at	PDE8B	phosphodiesterase 8B	-0.599	4.124
37250_at	GJA9-MYCBP///MYCBP	GJA9-MYCBP readthrough///MYC binding protein	0.768	7.662
37251_s_at	GPM6B	glycoprotein M6B	0.411	1.802
37252_at	SNAPC2	small nuclear RNA activating complex polypeptide 2	-0.347	3.026
37253_at	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	0.655	4.62
37255_at	NDST2	N-deacetylase and N-sulfotransferase 2	-0.306	3.089
37257_at	PRUNE1	prune exopolyphosphatase	-0.361	2.641
37259_at	SERPINI1	serpin family I member 1	1.114	6.624
37261_g_at	ABCC9	ATP binding cassette subfamily C member 9	-0.689	4.028
37263_at	GGH	gamma-glutamyl hydrolase	0.942	5.736
37265_at	RIMS3	regulating synaptic membrane exocytosis 3	-0.39	4.988
37266_at	ZNF32	zinc finger protein 32	0.406	4.406
37267_at	THOP1	thimet oligopeptidase 1	-0.298	1.794
37269_at	LZTR1	leucine zipper like transcription regulator 1	-1.188	7.983
37272_at	ITPKB	inositol-trisphosphate 3-kinase B	0.399	3.683
37273_at	ERBB4	erb-b2 receptor tyrosine kinase 4	0.952	6.329
37276_at	IQGAP2	IQ motif containing GTPase activating protein 2	0.665	3.014
37277_at	NAIP	NLR family apoptosis inhibitory protein	-0.635	4.396
37279_at	GEM	GTP binding protein overexpressed in skeletal muscle	0.601	2.884
37280_at	SMAD1	SMAD family member 1	0.425	2.553
37283_at	MN1	MN1 proto-oncogene, transcriptional regulator	-0.691	6.301
37285_at	ALAS2	5'-aminolevulinate synthase 2	-0.368	4.195
37286_at	NRCAM	neuronal cell adhesion molecule	0.469	3.668
37287_at	NRCAM	neuronal cell adhesion molecule	-0.623	1.974
37288_g_at	NRCAM	neuronal cell adhesion molecule	-0.64	2.345
37289_at	CDH8	cadherin 8	-0.82	1.96
37290_at	CDH8	cadherin 8	-0.488	1.946
37293_at	CKAP5	cytoskeleton associated protein 5	0.249	1.735
37294_at	BTG1	BTG anti-proliferation factor 1	0.535	2.344
37295_at	GTF2E2	general transcription factor IIE subunit 2	0.355	3.288
37296_at	ARL1	ADP ribosylation factor like GTPase 1	0.563	5.105
372_f_at	LOC391322	D-dopachrome tautomerase-like	-0.245	2.17
37300_at	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	0.621	3.945
37301_at	PRKCB	protein kinase C beta	-0.818	6.842
37304_at	CBX1	chromobox 1	0.801	4.145
37306_at	CYFIP1	cytoplasmic FMR1 interacting protein 1	0.326	2.22
37307_at	GNAI2	G protein subunit alpha i2	0.443	2.095
37308_at	GPR107	G protein-coupled receptor 107	0.308	2.013
37309_at	RHOA	ras homolog family member A	0.965	7.394
37311_at	TALDO1	transaldolase 1	0.937	5.737
37312_at	SERTAD2	SERTA domain containing 2	0.462	3.055
37313_at	SMN2///SMN1	survival of motor neuron 2, centromeric///survival of motor neuron 1, telomeric	0.434	2.008
37314_at	EAPP	E2F associated phosphoprotein	-0.175	1.825
37315_f_at	EAPP	E2F associated phosphoprotein	0.664	4.363
37317_at	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	-0.506	5.012
37318_at	ETF1	eukaryotic translation termination factor 1	1.399	5.229
37320_at	PTDSS1	phosphatidylserine synthase 1	0.624	6.385
37321_at	TTC1	tetratricopeptide repeat domain 1	-0.195	2.063
37323_r_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	-0.873	10.747
37324_at	TFRC	transferrin receptor	0.718	2.063
37325_at	FDPS	farnesyl diphosphate synthase	1.047	7.139
37326_at	PLP2	proteolipid protein 2	0.424	1.725
37327_at	EGFR	epidermal growth factor receptor	0.273	1.884
37329_at	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	0.507	3.509
37332_r_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-0.789	8.055
37334_at	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	0.444	2.172
37336_at	UBXN4	UBX domain protein 4	1.412	7.738
37337_at	SNRPG	small nuclear ribonucleoprotein polypeptide G	0.513	3.511
37338_at	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1	0.52	3.417
37340_at	GGCX	gamma-glutamyl carboxylase	-0.633	5.939
37344_at	HLA-DMA	major histocompatibility complex, class II, DM alpha	0.986	4.283
37345_at	CALU	calumenin	1.236	5.303
37347_at	CKS1B	CDC28 protein kinase regulatory subunit 1B	0.491	4.314
37348_s_at	HMGN3	high mobility group nucleosomal binding domain 3	1.287	4.288
37350_at	PSMD10	proteasome 26S subunit, non-ATPase 10	1.109	8.383
37352_at	SP100	SP100 nuclear antigen	1.055	6.226
37353_g_at	SP100	SP100 nuclear antigen	0.319	3.261
37356_r_at	USO1	USO1 vesicle transport factor	0.762	3.374
37357_at	LOC101060817///LOC729080///GCSH	glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H (aminomethyl carrier) pseudogene///glycine cleavage system protein H	1.492	4.575
37358_at	UBE2E1	ubiquitin conjugating enzyme E2 E1	0.927	4.263
37359_at	SPCS2	signal peptidase complex subunit 2	1.394	6.598
37363_at	MTSS1	metastasis suppressor 1	0.902	6.176
37364_at	PHB2	prohibitin 2	0.483	3.03
37365_at	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	0.289	2.467
37366_at	PDLIM5	PDZ and LIM domain 5	0.401	2.149
37367_at	ATP6V1E1	ATPase H+ transporting V1 subunit E1	0.546	3.296
37368_at	NFATC4	nuclear factor of activated T-cells 4	-0.644	2.091
37369_s_at	NFATC4	nuclear factor of activated T-cells 4	-0.455	4.694
37370_i_at	NFATC4	nuclear factor of activated T-cells 4	-0.538	3.446
37371_at	SMPD1	sphingomyelin phosphodiesterase 1	-0.59	6.177
37372_at	SMPD1	sphingomyelin phosphodiesterase 1	-0.456	4.65
37373_at	UGP2	UDP-glucose pyrophosphorylase 2	0.84	3.568
37374_at	ANXA4	annexin A4	1.283	3.922
37375_at	MIR6716///PHLDB1	microRNA 6716///pleckstrin homology like domain family B member 1	-0.262	1.827
37376_at	UBXN1	UBX domain protein 1	0.498	4.248
37377_i_at	LMNA	lamin A/C	-0.27	1.515
37378_r_at	LMNA	lamin A/C	-1.023	7.838
37380_at	GTF2B	general transcription factor IIB	0.901	2.028
37382_at	LOC101929876///LOC100996747///RPS26	40S ribosomal protein S26///40S ribosomal protein S26///ribosomal protein S26	-0.947	4.034
37383_f_at	HLA-C///HLA-B	major histocompatibility complex, class I, C///major histocompatibility complex, class I, B	1.175	5.589
37385_at	PPIG	peptidylprolyl isomerase G	0.611	3.935
37386_i_at	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1	0.417	1.594
37388_at	TFPI2	tissue factor pathway inhibitor 2	-0.464	1.595
37389_at	C11orf58	chromosome 11 open reading frame 58	1.581	5.929
37391_at	CTSL	cathepsin L	0.863	3.928
37392_at	PHKB	phosphorylase kinase regulatory subunit beta	2.084	9.919
37394_at	C7	complement component 7	1.238	2.043
37396_at	RFXANK	regulatory factor X associated ankyrin containing protein	-0.89	5.071
37397_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.387	1.669
37398_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.809	3.018
37399_at	AKR1C3	aldo-keto reductase family 1, member C3	1.072	2.415
373_at			-0.634	3.793
37401_g_at	TRAK1	trafficking kinesin protein 1	-0.269	1.667
37402_at	RNASE1	ribonuclease A family member 1, pancreatic	1.021	2.693
37403_at	ANXA1	annexin A1	1.055	4.16
37404_at	RGS12	regulator of G-protein signaling 12	-0.454	6.108
37405_at	SELENBP1	selenium binding protein 1	0.952	3.787
37406_at	MAPRE2	microtubule associated protein RP/EB family member 2	0.402	2.598
37407_s_at	MYH11	myosin heavy chain 11	1.235	4.414
37408_at	MRC2	mannose receptor C type 2	-0.248	1.661
37409_at	SRPK2	SRSF protein kinase 2	1.117	4.7
37412_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	-1.115	6.478
37415_at	ATP10B	ATPase phospholipid transporting 10B (putative)	-0.493	4.246
37417_at	POU2F2	POU class 2 homeobox 2	-0.745	7.253
37419_g_at	POU2F2	POU class 2 homeobox 2	-0.753	9.816
37420_i_at	HLA-F	major histocompatibility complex, class I, F	1.623	5.81
37421_f_at	HLA-F	major histocompatibility complex, class I, F	1.277	4.595
37422_at	PPIC	peptidylprolyl isomerase C	0.889	5.575
37423_at	SLC12A2	solute carrier family 12 member 2	-0.71	4.877
37426_at	TOX3	TOX high mobility group box family member 3	1.026	4.51
37427_at	NTNG1	netrin G1	-0.65	6.724
37428_at	NTNG1	netrin G1	-0.346	2.065
37429_g_at	NTNG1	netrin G1	-0.577	3.526
37430_at	ALOX15B	arachidonate 15-lipoxygenase, type B	-0.559	5.547
37432_g_at	PIAS2	protein inhibitor of activated STAT 2	-0.503	5.023
37433_at	PIAS2	protein inhibitor of activated STAT 2	0.319	2.786
37434_at	DCTN5	dynactin subunit 5	0.202	1.671
37437_at	IFT140	intraflagellar transport 140	-0.553	3.35
37442_at	DKFZP586I1420	uncharacterized protein DKFZp586I1420	0.751	4.423
37444_at	PARD6A	par-6 family cell polarity regulator alpha	-0.261	1.588
37445_at	TMEM5	transmembrane protein 5	0.535	2.806
37448_s_at	GNAS	GNAS complex locus	0.833	3.384
37449_i_at	GNAS	GNAS complex locus	0.805	3.093
37450_r_at	GNAS	GNAS complex locus	0.521	2.022
37453_at	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	0.933	4.729
37454_at	CCL13	C-C motif chemokine ligand 13	-0.682	2.791
37455_at	CXCR5	C-X-C motif chemokine receptor 5	-0.534	6.404
37456_at	LGALS2	galectin 2	0.655	1.608
37457_at	LRRTM2	leucine rich repeat transmembrane neuronal 2	-0.927	4.714
37458_at	CDC45	cell division cycle 45	-0.501	7.316
37460_at	TIAM1	T-cell lymphoma invasion and metastasis 1	-0.731	8.24
37461_at	ANGPT2	angiopoietin 2	-0.445	3.491
37463_r_at	SF3A2	splicing factor 3a subunit 2	-1.221	8.704
37464_at	PEX13	peroxisomal biogenesis factor 13	1.111	9.489
37465_at	TPPP	tubulin polymerization promoting protein	-0.286	2.122
37466_at	RAB29	RAB29, member RAS oncogene family	1.997	6.053
37470_at	LAIR1	leukocyte associated immunoglobulin like receptor 1	-0.317	3.177
37475_at	WDR62	WD repeat domain 62	-0.295	2.681
37476_at	RNF216P1///RNF216	ring finger protein 216 pseudogene 1///ring finger protein 216	-0.217	2.47
37478_at	SCGN	secretagogin, EF-hand calcium binding protein	-0.779	10.92
37484_at	ITGA1	integrin subunit alpha 1	1.094	10.731
37486_f_at	MEIS3P1	Meis homeobox 3 pseudogene 1	-0.757	4.363
37487_at	TNRC6B	trinucleotide repeat containing 6B	0.547	6.247
37488_at	CHURC1-FNTB///FNTB	CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta	-0.511	4.712
37489_s_at	SLC4A3	solute carrier family 4 member 3	-0.684	6.475
37490_at	SLC4A3	solute carrier family 4 member 3	-0.472	5.698
37491_at	TAF1	TATA-box binding protein associated factor 1	0.434	4.553
37492_at	CLMN	calmin	0.379	3.07
37494_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	-0.69	9.65
37495_at	PRR3	proline rich 3	-0.265	2.963
37496_at	ABCB8	ATP binding cassette subfamily B member 8	-0.512	4.386
37498_at	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	-0.226	2.065
37499_at	SOGA3///KIAA0408	SOGA family member 3///KIAA0408	-0.628	3.633
37502_at	SMC2	structural maintenance of chromosomes 2	-0.937	7.631
37503_at	TBC1D30	TBC1 domain family member 30	-0.824	7.504
37506_at	PRPF40A	pre-mRNA processing factor 40 homolog A	2.099	15.079
37507_i_at	PRPF40A	pre-mRNA processing factor 40 homolog A	0.931	6.92
37508_f_at	PRPF40A	pre-mRNA processing factor 40 homolog A	2.176	13.659
37509_at	CRLF3	cytokine receptor like factor 3	1.137	4.316
37511_at	B9D1	B9 domain containing 1	-0.792	5.221
37512_at	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	0.419	2.197
37514_s_at	MASP2	mannan binding lectin serine peptidase 2	-0.489	3.554
37515_at	MASP2	mannan binding lectin serine peptidase 2	-0.426	2.684
37517_at	RAP1GAP2	RAP1 GTPase activating protein 2	-0.256	2.603
37519_at	ASGR1	asialoglycoprotein receptor 1	-0.945	6.5
37520_at	ZNF330	zinc finger protein 330	0.965	4.597
37521_s_at	ZNF330	zinc finger protein 330	-0.495	2.998
37523_at	ACADL	acyl-CoA dehydrogenase, long chain	-0.36	3.254
37525_at	EPPIN-WFDC6///EPPIN	EPPIN-WFDC6 readthrough///epididymal peptidase inhibitor	-0.454	3.446
37526_at	VNN1	vanin 1	-0.307	2.125
37528_at	ASPH	aspartate beta-hydroxylase	-0.234	2.728
37530_s_at	RELN	reelin	-0.719	3.483
37534_at	CXADR	coxsackie virus and adenovirus receptor	0.866	4.738
37535_at	CREB1	cAMP responsive element binding protein 1	1.522	5.452
37538_at	LOC730101	uncharacterized LOC730101	-0.612	5.249
37539_at	RGL1	ral guanine nucleotide dissociation stimulator like 1	0.968	7.931
37540_at	MYOM2	myomesin 2	-0.707	5.906
37541_at	SELPLG	selectin P ligand	-0.429	2.897
37543_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6	0.62	3.788
37544_at	NFIL3	nuclear factor, interleukin 3 regulated	0.687	1.555
37545_at	SCAMP5	secretory carrier membrane protein 5	-0.148	1.718
37546_r_at	SCAMP5	secretory carrier membrane protein 5	-1.354	5.746
37547_at	BBS9	Bardet-Biedl syndrome 9	0.355	1.898
37549_g_at	BBS9	Bardet-Biedl syndrome 9	0.484	5.659
37554_at	KLK6	kallikrein related peptidase 6	-0.696	4.497
37555_at	PWP2	PWP2 periodic tryptophan protein homolog (yeast)	0.313	4.61
37558_at	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	-0.268	1.516
37560_at	SNED1	sushi, nidogen and EGF like domains 1	-0.458	4.015
37564_at	HINFP	histone H4 transcription factor	-0.474	4.508
37566_at	PHF24	PHD finger protein 24	-1.312	5.826
37567_at	SALL2	spalt like transcription factor 2	-0.216	1.544
37569_at	PDCD6	programmed cell death 6	1.09	8.382
37570_at	ARL2-SNX15///SNX15	ARL2-SNX15 readthrough (NMD candidate)///sorting nexin 15	-0.784	5.749
37572_at	CCK	cholecystokinin	-0.291	1.835
37573_at	ANGPTL2	angiopoietin like 2	-0.723	4.849
37575_at	ATF2	activating transcription factor 2	1.717	8.061
37576_at	PCP4	Purkinje cell protein 4	-0.576	2.822
37577_at	ARHGAP19	Rho GTPase activating protein 19	0.311	2.807
37581_at	PPP6C	protein phosphatase 6 catalytic subunit	0.633	4.95
37582_at	KRT15	keratin 15	-0.398	2.986
37588_s_at	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	-0.58	4.705
37589_at			0.238	1.545
37590_g_at			-0.196	1.827
37591_at	UCP2	uncoupling protein 2	0.711	3.875
37593_at	PCCA	propionyl-CoA carboxylase alpha subunit	0.967	3.878
37595_at	FRRS1L	ferric chelate reductase 1 like	-0.23	2.015
37596_at	PLCD1	phospholipase C delta 1	-0.565	7.204
37600_at	ECM1	extracellular matrix protein 1	-0.167	1.969
37601_at	SLC22A3	solute carrier family 22 member 3	-0.578	5.09
37604_at	HNMT	histamine N-methyltransferase	1.042	4.846
37605_at	COL2A1	collagen type II alpha 1 chain	-0.451	5.167
37606_at	KHK	ketohexokinase	0.197	2
37607_at	KHK	ketohexokinase	-0.462	1.899
37608_g_at	KHK	ketohexokinase	0.961	3.478
37609_at	NUBP1	nucleotide binding protein 1	0.364	5.686
37611_at	TNFRSF11B	TNF receptor superfamily member 11b	2.26	9.007
37615_at	GRB10	growth factor receptor bound protein 10	0.833	6.382
37616_at	AUH	AU RNA binding methylglutaconyl-CoA hydratase	1.104	5.294
37617_at	CCSER2	coiled-coil serine rich protein 2	0.63	3.334
37619_at	METAP1	methionyl aminopeptidase 1	0.945	10.076
37622_r_at	PSIP1	PC4 and SFRS1 interacting protein 1	0.862	3.918
37625_at	IRF4	interferon regulatory factor 4	-0.55	6.025
37626_at	IRF4	interferon regulatory factor 4	-0.423	1.846
37628_at	MAOB	monoamine oxidase B	0.821	6.452
37629_at	CSNK2A2	casein kinase 2 alpha 2	-0.583	5.014
37633_s_at	PAEP	progestagen associated endometrial protein	-0.48	5.105
37634_at	PAEP	progestagen associated endometrial protein	-0.866	7.311
37635_at	TCHH	trichohyalin	-0.496	3.46
37636_at	JADE3	jade family PHD finger 3	-0.578	2.605
37637_at	RGS3	regulator of G-protein signaling 3	-0.386	3.208
37639_at	HPN	hepsin	0.689	2.604
37640_at	HPRT1	hypoxanthine phosphoribosyltransferase 1	0.907	5.766
37644_s_at	FAS	Fas cell surface death receptor	-1.152	5.635
37645_at	CD69	CD69 molecule	0.614	1.552
37648_at	TTLL12	tubulin tyrosine ligase like 12	-0.628	5.539
37649_at	HMBS	hydroxymethylbilane synthase	-0.376	2.102
37650_at	MKRN1	makorin ring finger protein 1	0.971	8.786
37652_at	CABIN1	calcineurin binding protein 1	-0.71	6.131
37654_at	SNX17	sorting nexin 17	0.365	2.672
37657_at	PALM	paralemmin	-0.244	2.651
37659_at	IMMT	inner membrane mitochondrial protein	1.486	8.03
37660_at	SPAG8	sperm associated antigen 8	-0.715	7.11
37661_at	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	0.746	2.701
37662_at	UBE2G1	ubiquitin conjugating enzyme E2 G1	0.471	3.963
37663_at	DDX1	DEAD/H-box helicase 1	0.591	3.103
37665_at	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	-1.148	5.657
37666_at	PSMB5	proteasome subunit beta 5	0.455	2.36
37667_at	UROD	uroporphyrinogen decarboxylase	0.91	6.277
37668_at	C1QBP	complement C1q binding protein	1.112	6.797
37670_at	ANXA7	annexin A7	1.334	6.304
37672_at	USP7	ubiquitin specific peptidase 7	0.853	9.121
37674_at	ALAS1	5'-aminolevulinate synthase 1	0.426	3.375
37675_at	SLC25A3	solute carrier family 25 member 3	0.755	2.925
37676_at	PDE8A	phosphodiesterase 8A	0.577	5.126
37677_at	PGK1	phosphoglycerate kinase 1	1.031	3.689
37678_at	BAMBI	BMP and activin membrane bound inhibitor	1.073	8.93
37679_at	IFRD1	interferon related developmental regulator 1	0.767	1.573
37680_at	AKAP12	A-kinase anchoring protein 12	1.755	5.748
37681_i_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	0.702	4.121
37682_r_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	0.318	2.506
37683_at	USP10	ubiquitin specific peptidase 10	0.841	1.891
37684_at	SLCO2B1	solute carrier organic anion transporter family member 2B1	0.333	1.527
37685_at	PICALM	phosphatidylinositol binding clathrin assembly protein	1.322	5.163
37686_s_at	UNG	uracil DNA glycosylase	0.872	4.502
37687_i_at	FCGR2C///FCGR2A	Fc fragment of IgG receptor IIc (gene/pseudogene)///Fc fragment of IgG receptor IIa	-0.487	4.921
37688_f_at	FCGR2A	Fc fragment of IgG receptor IIa	1.265	1.576
37690_at	ILVBL	ilvB acetolactate synthase like	0.242	1.907
37691_at	MEF2B///BORCS8///BORCS8-MEF2B	myocyte enhancer factor 2B///BLOC-1 related complex subunit 8///BORCS8-MEF2B readthrough	-0.309	3.352
37692_at	DBI	diazepam binding inhibitor, acyl-CoA binding protein	0.668	2.626
37693_at	LOC101930388///LOC101928143///NUMB	uncharacterized LOC101930388///uncharacterized LOC101928143///NUMB, endocytic adaptor protein	1.077	3.46
37694_at	PHF3	PHD finger protein 3	1.48	7.437
37696_at	VDAC2	voltage dependent anion channel 2	0.952	6.729
37700_at	BLMH	bleomycin hydrolase	-0.784	4.283
37702_at	CUL3	cullin 3	-0.522	2.881
37703_at	SNORD45C///SNORD45A///SNORD45B///RABGGTB	small nucleolar RNA, C/D box 45C///small nucleolar RNA, C/D box 45A///small nucleolar RNA, C/D box 45B///Rab geranylgeranyltransferase beta subunit	1.003	8.561
37704_at	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	-0.307	2.807
37705_at	PPP1R8	protein phosphatase 1 regulatory subunit 8	-0.19	1.668
37706_at	GLG1	golgi glycoprotein 1	-0.254	2.678
37707_i_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	1.401	6.569
37708_r_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	1.255	5.979
37709_at	PUDP	pseudouridine 5'-phosphatase	0.475	5.334
37710_at	MEF2C	myocyte enhancer factor 2C	0.827	5.93
37712_g_at	MEF2C	myocyte enhancer factor 2C	-0.545	3.713
37716_at	CD200	CD200 molecule	0.518	4.834
37717_at	HNRNPM	heterogeneous nuclear ribonucleoprotein M	0.6	3.318
37718_at	SNRK	SNF related kinase	0.776	2.777
37719_at	MLF2	myeloid leukemia factor 2	0.735	8.759
37722_s_at	DHPS	deoxyhypusine synthase	0.28	1.78
37723_at	CCNG2	cyclin G2	0.409	1.821
37725_at	PPP1CC	protein phosphatase 1 catalytic subunit gamma	0.524	3.683
37726_at	MRPL3	mitochondrial ribosomal protein L3	0.961	4.777
37727_i_at	RCN2	reticulocalbin 2	1.032	3.521
37729_at	XPO1	exportin 1	1.258	5.937
37730_at	SND1	staphylococcal nuclease and tudor domain containing 1	0.409	5.159
37731_at	EPS15	epidermal growth factor receptor pathway substrate 15	1.479	9.837
37732_at	RYBP	RING1 and YY1 binding protein	1.082	2.338
37735_at	DNAJC25-GNG10///GNG10	DNAJC25-GNG10 readthrough///G protein subunit gamma 10	0.894	2.129
37736_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	1.117	6.38
37738_g_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	0.833	3.339
37741_at	PYCR1	pyrroline-5-carboxylate reductase 1	-0.478	4.326
