ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
1248_at	POLR2H	RNA polymerase II subunit H	-0.334	3.451
1251_g_at	RAP1GAP	RAP1 GTPase activating protein	-0.59	1.919
1252_at	REEP5	receptor accessory protein 5	-0.822	2.305
1254_at	GUCA1A	guanylate cyclase activator 1A	0.715	3.456
1255_g_at	GUCA1A	guanylate cyclase activator 1A	0.518	3.389
1256_at	PTPRD	protein tyrosine phosphatase, receptor type D	-0.5	2.905
1258_s_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	-0.624	5.764
1260_s_at	GSTA3///GSTA2///GSTA1	glutathione S-transferase alpha 3///glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	-1.831	6.204
1261_i_at	GSTA2///GSTA1	glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	-2.917	8.748
1263_at	IL3	interleukin 3	0.337	2.347
1267_at	PRKCH	protein kinase C eta	0.289	3.208
1268_at	UBA1	ubiquitin like modifier activating enzyme 1	-0.932	5.937
1269_at	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	-1.553	7.631
1270_at	RAP1GAP	RAP1 GTPase activating protein	0.255	2.091
1271_g_at	RELA	RELA proto-oncogene, NF-kB subunit	0.465	4.938
1272_at	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	-0.731	4.773
1273_r_at	CDC34	cell division cycle 34	0.848	5.455
1274_s_at	CDC34	cell division cycle 34	-0.281	2.839
1277_at	ARHGEF16	Rho guanine nucleotide exchange factor 16	0.491	6.863
1285_at	NEK1	NIMA related kinase 1	-0.37	3
1286_s_at			0.38	2.459
1289_at	GSTM5	glutathione S-transferase mu 5	0.309	2.377
128_at	CTSK	cathepsin K	0.464	2.166
1290_g_at	GSTM5	glutathione S-transferase mu 5	0.402	2.069
1291_s_at	FGFR4	fibroblast growth factor receptor 4	-0.36	2.566
1292_at	DUSP2	dual specificity phosphatase 2	1.299	3.08
1293_s_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	0.376	2.725
1296_at	CDH15	cadherin 15	0.258	1.752
1297_at	RBPMS	RNA binding protein with multiple splicing	0.265	2.087
129_g_at	CTSK	cathepsin K	0.741	2.504
1300_at	XRCC2	X-ray repair cross complementing 2	1.197	4.238
1304_at			0.339	3.308
1305_s_at	CYP4F2///CYP4F3	cytochrome P450 family 4 subfamily F member 2///cytochrome P450 family 4 subfamily F member 3	-0.79	4.277
1306_at	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	0.285	3.341
1307_at	XPA	XPA, DNA damage recognition and repair factor	-0.761	4.988
1308_g_at	XPA	XPA, DNA damage recognition and repair factor	0.706	3.838
130_s_at	NKX2-1	NK2 homeobox 1	0.52	5.124
1312_at	PSMD8	proteasome 26S subunit, non-ATPase 8	-0.515	3.101
1314_at	PSMD1	proteasome 26S subunit, non-ATPase 1	-0.597	2.992
1316_at	THRA	thyroid hormone receptor, alpha	0.404	3.318
1317_at	MST1R	macrophage stimulating 1 receptor	0.328	1.806
1318_at	RBBP4	RB binding protein 4, chromatin remodeling factor	-0.677	4.524
131_at	TAF11	TATA-box binding protein associated factor 11	0.477	1.805
1322_at	E2F1	E2F transcription factor 1	0.391	2.698
1323_at	UBB	ubiquitin B	-0.674	2.307
1324_at	RAD9A	RAD9 checkpoint clamp component A	0.575	2.654
1325_at	SMAD1	SMAD family member 1	-0.53	2.077
1329_s_at	TERF1	telomeric repeat binding factor 1	-0.574	3.514
1330_at	MAP3K3	mitogen-activated protein kinase kinase kinase 3	0.644	6.188
1332_f_at	GH1	growth hormone 1	0.21	1.693
1334_s_at	CSF3	colony stimulating factor 3	0.358	4.247
1336_s_at	PRKCB	protein kinase C beta	0.86	5.304
1338_s_at	CYP2A13///CYP2A7///CYP2A6	cytochrome P450 family 2 subfamily A member 13///cytochrome P450 family 2 subfamily A member 7///cytochrome P450 family 2 subfamily A member 6	0.576	2.192
1339_s_at	BCR	BCR, RhoGEF and GTPase activating protein	0.341	2.08
1341_at	SPI1	Spi-1 proto-oncogene	0.301	1.675
1342_g_at	TERF1	telomeric repeat binding factor 1	-0.738	2.798
1344_at	PAX3	paired box 3	0.468	4.843
1345_s_at	PAX3	paired box 3	0.366	3.026
1346_at	MT3	metallothionein 3	0.451	5.214
1347_at	CDC25B	cell division cycle 25B	0.593	2.729
1348_s_at	PCCA	propionyl-CoA carboxylase alpha subunit	-1.827	6.085
1350_at	CYP4F2	cytochrome P450 family 4 subfamily F member 2	-2.516	5.52
1353_g_at	CXCR1	C-X-C motif chemokine receptor 1	0.794	2.047
1358_s_at	IFI6	interferon alpha inducible protein 6	1.649	5.415
1361_at	TERF1	telomeric repeat binding factor 1	-0.604	4.991
1362_s_at	RXRB	retinoid X receptor beta	0.304	3.049
1364_at	PTPRZ1	protein tyrosine phosphatase, receptor type Z1	0.766	2.036
1365_at	IL2RB	interleukin 2 receptor subunit beta	0.505	2.554
1366_i_at	UBC	ubiquitin C	0.895	4.158
