ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
36777_at	KLRC4-KLRK1///KLRK1	KLRC4-KLRK1 readthrough///killer cell lectin like receptor K1	0.743	1.95
36783_f_at	ZNF117	zinc finger protein 117	-1.437	5.57
36784_at	CSHL1	chorionic somatomammotropin hormone like 1	0.649	3.19
36785_at	HSPB1	heat shock protein family B (small) member 1	-1.009	4.284
36787_at	GATA1	GATA binding protein 1	0.326	2.587
36788_at	GPC5	glypican 5	-1.601	7.362
36789_f_at	LILRB5	leukocyte immunoglobulin like receptor B5	0.976	6.196
36799_at	FZD2	frizzled class receptor 2	0.49	6.46
36804_at	IDO1	indoleamine 2,3-dioxygenase 1	0.653	4.364
36806_at	TRPV6	transient receptor potential cation channel subfamily V member 6	0.499	3.826
36808_at	PTPN22	protein tyrosine phosphatase, non-receptor type 22	0.421	2.321
36809_at	CLC	Charcot-Leyden crystal galectin	0.78	3.068
36810_at	KIAA0485	uncharacterized LOC57235	-0.6	1.718
36813_at	TRIP13	thyroid hormone receptor interactor 13	0.238	2.126
36814_at	KIAA1109	KIAA1109	-1.171	8.242
36817_at	CFTR	cystic fibrosis transmembrane conductance regulator	0.375	1.777
36821_at	FAM171A1	family with sequence similarity 171 member A1	-1.143	7.25
36825_at	TRIM22	tripartite motif containing 22	0.837	2.904
36827_at	ACBD3	acyl-CoA binding domain containing 3	-0.958	8.243
36829_at	MIR6883///PER1	microRNA 6883///period circadian clock 1	0.314	1.805
36830_at	MIPEP	mitochondrial intermediate peptidase	-0.837	8.589
36834_at	MOXD1	monooxygenase DBH like 1	0.666	6.082
36835_at	PKN2	protein kinase N2	-0.988	5.259
36836_at	NRP1	neuropilin 1	0.262	2.598
36839_at	CDC6	cell division cycle 6	0.862	9.247
36842_at	ERC2	ELKS/RAB6-interacting/CAST family member 2	0.628	4.652
36843_at	SIPA1	signal-induced proliferation-associated 1	0.4	3.814
36844_at	DOCK3	dedicator of cytokinesis 3	0.659	2.476
36848_r_at	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	0.73	6.611
36849_at	ARHGAP29	Rho GTPase activating protein 29	-0.976	3.468
36851_g_at	TUSC3	tumor suppressor candidate 3	-0.989	3.478
36852_at	TUSC3	tumor suppressor candidate 3	-0.503	2.23
36856_at	PLEKHO2	pleckstrin homology domain containing O2	0.403	2.929
36857_at	RAD1	RAD1 checkpoint DNA exonuclease	-0.916	6.023
36859_at	NME5	NME/NM23 family member 5	-0.589	3.866
36864_at	PEX3	peroxisomal biogenesis factor 3	-1.617	8.306
36873_at	VLDLR	very low density lipoprotein receptor	-0.593	3.323
36875_at	IBTK	inhibitor of Bruton tyrosine kinase	-0.488	2.723
36876_at	FAH	fumarylacetoacetate hydrolase	-1.165	8.243
36878_f_at	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1	1.043	6.274
36879_at	TYMP	thymidine phosphorylase	1.345	7.598
36880_at	NQO2	NAD(P)H quinone dehydrogenase 2	-1.372	8.527
36881_at	ETFB	electron transfer flavoprotein beta subunit	-0.679	4.071
36884_at	CD163	CD163 molecule	0.75	5.922
36885_at	SYK	spleen associated tyrosine kinase	0.394	1.986
36886_f_at	KIR2DL5B///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	0.398	4.203
36887_f_at	KIR2DL5B///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	0.365	1.871
36888_at	HAUS5	HAUS augmin like complex subunit 5	0.298	1.8
36889_at	FCER1G	Fc fragment of IgE receptor Ig	2.072	6.718
36895_at	ORC3	origin recognition complex subunit 3	-0.493	2.319
36896_s_at	ARNTL	aryl hydrocarbon receptor nuclear translocator like	0.827	4.416
36897_at	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1	0.696	1.988
368_at	TPBG	trophoblast glycoprotein	0.212	2.01
36901_at	TMF1	TATA element modulatory factor 1	-0.346	1.972
36902_at	RHOG	ras homolog family member G	0.493	2.709
36905_at	MAP3K7	mitogen-activated protein kinase kinase kinase 7	-0.402	2.492
36906_at	CNR1	cannabinoid receptor 1	0.444	1.944
36907_at	MVK	mevalonate kinase	0.257	2.746
36909_at	WEE1	WEE1 G2 checkpoint kinase	-1.24	8.095
36910_at	MAP2K4	mitogen-activated protein kinase kinase 4	-0.725	3.331
36912_at	CHAF1B	chromatin assembly factor 1 subunit B	0.362	1.746
36914_at	CTSO	cathepsin O	0.331	3.118
36915_at	CTSO	cathepsin O	-0.278	1.915
36917_at	LAMA2	laminin subunit alpha 2	0.383	2.025
36921_at	DYNLT3	dynein light chain Tctex-type 3	-1.665	7.722
36923_at	FPGS	folylpolyglutamate synthase	0.454	4.03
36924_r_at	SCG2	secretogranin II	0.535	2.742
36925_at	HSPA2	heat shock protein family A (Hsp70) member 2	-0.979	2.302
36926_at	MAPK6	mitogen-activated protein kinase 6	-0.801	6.94
36927_at	IFI44L	interferon induced protein 44 like	0.443	1.71
36928_at	ZNF146	zinc finger protein 146	-0.677	3.639
36930_at	GNL2	G protein nucleolar 2	0.302	2.076
36932_at	GTF3C2	general transcription factor IIIC subunit 2	-0.762	4.433
36933_at	NDRG1	N-myc downstream regulated 1	-1.412	7.47
36934_at	OSER1	oxidative stress responsive serine rich 1	0.495	2.354
36937_s_at	PDLIM1	PDZ and LIM domain 1	0.44	2.573
36946_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	-0.654	3.211
36947_s_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	0.393	1.906
36948_at	EID1	EP300 interacting inhibitor of differentiation 1	-0.953	3.183
36951_at	MRPL49	mitochondrial ribosomal protein L49	-0.32	2.333
36952_at	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit	-0.497	2.743
36953_at	SMAD4	SMAD family member 4	-0.328	1.816
36957_at	ZMYND8	zinc finger MYND-type containing 8	-0.73	2.766
36958_at	ZYX	zyxin	0.324	2.539
36961_at	LETMD1	LETM1 domain containing 1	-0.572	5.778
36962_at	COPA	coatomer protein complex subunit alpha	-1.113	8.654
36963_at	PGD	phosphogluconate dehydrogenase	0.579	2.281
36965_at	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	-2.233	7.288
36971_at	TMEM131	transmembrane protein 131	-0.925	8.008
36974_at	PSMF1	proteasome inhibitor subunit 1	-0.42	2.282
36979_at	SLC2A3	solute carrier family 2 member 3	1.163	2.515
36981_at	SRP9	signal recognition particle 9	-0.62	1.75
36982_at	USP14	ubiquitin specific peptidase 14	-0.939	7.615
36983_f_at	HP	haptoglobin	0.255	2.019
36984_f_at	HP	haptoglobin	0.33	2.163
36989_at	DAG1	dystroglycan 1	-0.314	3.058
36991_at	SRSF4	serine and arginine rich splicing factor 4	0.7	4.095
36992_at	TXN	thioredoxin	-1.001	3.222
36993_at	PDGFRB	platelet derived growth factor receptor beta	0.245	2.186
36996_at	OS9	OS9, endoplasmic reticulum lectin	-0.229	2.087
36997_at	AK1	adenylate kinase 1	0.457	3.877
36998_s_at	ATXN2	ataxin 2	-0.885	5.338
37000_at	MPC2	mitochondrial pyruvate carrier 2	-1.371	5.573
37001_at	CAPN2	calpain 2	-0.578	1.926
37005_at	MINOS1-NBL1///NBL1	MINOS1-NBL1 readthrough///neuroblastoma 1, DAN family BMP antagonist	0.263	1.724
37007_at	SERINC3	serine incorporator 3	-0.521	2.3
37008_r_at	SERPINA5	serpin family A member 5	-1.607	6.683
37009_at	CAT	catalase	-1.961	6.676
37010_at	GTF2A2	general transcription factor IIA subunit 2	-0.398	1.731
37011_at	AIF1	allograft inflammatory factor 1	0.747	1.929
37015_at	ALDH1A1	aldehyde dehydrogenase 1 family member A1	-1.029	2.585
37016_at	ECHS1	enoyl-CoA hydratase, short chain 1	-0.997	5.435
37017_at	PLA2G2A	phospholipase A2 group IIA	0.52	2.408
37021_at	CTSH	cathepsin H	-0.73	2.103
37022_at	PRELP	proline and arginine rich end leucine rich repeat protein	0.544	5.142
37023_at	LCP1	lymphocyte cytosolic protein 1	1.758	4.714
37026_at	KLF6	Kruppel like factor 6	0.433	3.298
37028_at	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	0.751	3.634
37029_at	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	-1.12	3.481
37031_at	FAM120A	family with sequence similarity 120A	-0.581	3.512
37032_at	LOC101928916///NNMT	uncharacterized LOC101928916///nicotinamide N-methyltransferase	1.363	3.364
37034_at	ANP32A	acidic nuclear phosphoprotein 32 family member A	-0.566	2.532
37035_at	SERP1	stress-associated endoplasmic reticulum protein 1	-0.99	4.333
37036_at	MDN1	midasin AAA ATPase 1	-0.483	4.517
37037_at	P4HA1	prolyl 4-hydroxylase subunit alpha 1	-0.624	4.276
37038_at	ABCD3	ATP binding cassette subfamily D member 3	-1.912	7.831
37039_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	0.951	2.654
37040_at	GANAB	glucosidase II alpha subunit	-0.443	1.798
37042_at	HYAL2	hyaluronoglucosaminidase 2	0.371	5.026
37047_at	NPC1	NPC intracellular cholesterol transporter 1	0.498	3.464
37048_at	TOMM34	translocase of outer mitochondrial membrane 34	0.319	2.996
37050_r_at	TOMM34	translocase of outer mitochondrial membrane 34	-1.156	5.955
37061_at	CHIT1	chitinase 1	0.573	4.921
37068_at	PLA2G7	phospholipase A2 group VII	0.92	5.581
37069_at	DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding)	0.315	2.298
37070_at	MPZ	myelin protein zero	0.472	5.398
37072_at	CNGB1	cyclic nucleotide gated channel beta 1	1.339	4.287
37077_at	PKLR	pyruvate kinase, liver and RBC	-0.471	3.529
37078_at	CD247	CD247 molecule	0.698	3.36
37085_g_at	LYZL6	lysozyme like 6	-0.526	1.785
37088_at	AURKC	aurora kinase C	0.434	4.72
37095_r_at	FPR2	formyl peptide receptor 2	0.493	2.345
37096_at	ELANE	elastase, neutrophil expressed	0.35	2.485
37097_at	SLC17A1	solute carrier family 17 member 1	-1.337	7.335
37099_at	ALOX5AP	arachidonate 5-lipoxygenase activating protein	0.964	2.458
37100_at	FMNL1	formin like 1	0.594	2.012
37101_at	BRMS1	breast cancer metastasis suppressor 1	0.382	3.714
37105_at	CTSG	cathepsin G	0.432	3.886
37107_at	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	-0.41	1.9
37108_at	CSNK1A1	casein kinase 1 alpha 1	0.336	2.033
37109_at	PROZ	protein Z, vitamin K dependent plasma glycoprotein	-0.443	2.591
37110_at	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	0.346	2.323
37112_at	FAM65B	family with sequence similarity 65 member B	1.216	1.872
37115_at	ZMYND8	zinc finger MYND-type containing 8	0.577	2.206
37121_at	NKG7	natural killer cell granule protein 7	0.449	3.856
37123_at	VILL	villin like	0.252	1.859
37125_f_at	CYP3A43///CYP3A5	cytochrome P450 family 3 subfamily A member 43///cytochrome P450 family 3 subfamily A member 5	-1.127	4.117
37127_at	NLRP1	NLR family pyrin domain containing 1	0.351	2.302
37131_at	KLK8	kallikrein related peptidase 8	0.408	1.676
37132_at	INVS	inversin	-0.305	2.046
37134_f_at	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	0.581	2.646
37135_f_at	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	0.711	4.549
37136_at	SH2B2	SH2B adaptor protein 2	0.446	3.889
37137_at	GZMB	granzyme B	0.589	3.534
37139_at	EDA	ectodysplasin A	-0.299	2.216
37140_s_at	EDA	ectodysplasin A	0.788	2.716
37144_at	PIAS4	protein inhibitor of activated STAT 4	0.5	2.289
37147_at	CLEC11A	C-type lectin domain family 11 member A	0.31	2.137
37148_at	LILRB3	leukocyte immunoglobulin like receptor B3	1.26	3.186
37149_s_at	LTF	lactotransferrin	1.4	4.709
37150_at	KLHL20	kelch like family member 20	-0.642	3.334
37156_at	ETV1	ETS variant 1	-0.777	3.163
37157_at	CALB2	calbindin 2	0.447	2.239
37160_at	SPRR1B	small proline rich protein 1B	0.313	2.569
37161_at	RSL1D1	ribosomal L1 domain containing 1	-0.901	6.647
37162_at	CCDC6	coiled-coil domain containing 6	-0.876	6.411
37165_f_at	RHD///RHCE	Rh blood group D antigen///Rh blood group CcEe antigens	0.351	4.938
37170_at	BMP2K	BMP2 inducible kinase	-0.765	2.458
37174_at	MRPL19	mitochondrial ribosomal protein L19	-0.925	3.795
37178_at	SLC25A46	solute carrier family 25 member 46	-1.251	6.151
37179_at	NFE2	nuclear factor, erythroid 2	0.372	1.831
37181_at	MPV17	MPV17, mitochondrial inner membrane protein	-0.763	8.153
37183_at	GAD1	glutamate decarboxylase 1	-0.329	2.098
37185_at	SERPINB2	serpin family B member 2	0.305	1.821
37186_s_at	AOC1	amine oxidase, copper containing 1	-2.359	5.035
37188_at	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	-2.284	8.625
37190_at	WASF1	WAS protein family member 1	-0.895	7.99
37195_at	CYP11A1	cytochrome P450 family 11 subfamily A member 1	0.217	2.213
37197_s_at	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	-0.516	3.052
37199_at	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	-0.418	2.454
371_at	IRF3	interferon regulatory factor 3	0.459	6.012
37200_at	FCGR3A	Fc fragment of IgG receptor IIIa	2.035	5.151
37203_at	LOC100653086///LOC100653057///CES1P1///CES1	uncharacterized LOC100653086///liver carboxylesterase 1-like///carboxylesterase 1 pseudogene 1///carboxylesterase 1	0.623	4.946
37204_at	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	0.47	3.11
37205_at	FBXL7	F-box and leucine rich repeat protein 7	0.304	2.33
37206_at	ADH6	alcohol dehydrogenase 6 (class V)	-0.852	4.234
37211_at	BDH1	3-hydroxybutyrate dehydrogenase, type 1	-0.273	1.857
37219_at	CXCL9	C-X-C motif chemokine ligand 9	1.757	2.956
37220_at	FCGR1CP///FCGR1B///FCGR1A	Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia	1.705	6.573
37222_at	GSTT1	glutathione S-transferase theta 1	-0.654	1.725
37223_at	SGCB	sarcoglycan beta	-0.656	4.936
37225_at	KANK1	KN motif and ankyrin repeat domains 1	-1.139	4.953
37234_at	KNG1	kininogen 1	-2.233	3.425
37235_g_at	KNG1	kininogen 1	-2.316	3.837
37236_at	KNG1	kininogen 1	-2.255	8.663
37237_at	AP3M2	adaptor related protein complex 3 mu 2 subunit	0.391	2.718
37238_s_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	0.494	3.969
37239_r_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	0.364	3.017
37242_at	FTO	fat mass and obesity associated	-0.438	4.222
37244_at	UCHL3	ubiquitin C-terminal hydrolase L3	-0.931	4.686
37246_at	ACD	adrenocortical dysplasia homolog	0.45	4.655
37247_at	TCF21	transcription factor 21	-0.67	3.12
37250_at	GJA9-MYCBP///MYCBP	GJA9-MYCBP readthrough///MYC binding protein	-0.406	3.1
37252_at	SNAPC2	small nuclear RNA activating complex polypeptide 2	0.427	3.607
37253_at	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	-0.738	4.86
37255_at	NDST2	N-deacetylase and N-sulfotransferase 2	0.336	3.205
37257_at	PRUNE1	prune exopolyphosphatase	0.3	1.817
37259_at	SERPINI1	serpin family I member 1	-1.265	6.987
37263_at	GGH	gamma-glutamyl hydrolase	-1.529	8.946
37264_at	LOC100506639///ZNF131	uncharacterized LOC100506639///zinc finger protein 131	0.513	2.993
37265_at	RIMS3	regulating synaptic membrane exocytosis 3	0.304	3.214
37268_at	VEGFB	vascular endothelial growth factor B	-0.542	5.094
37269_at	LZTR1	leucine zipper like transcription regulator 1	0.738	4.132
37272_at	ITPKB	inositol-trisphosphate 3-kinase B	-0.325	2.487
37273_at	ERBB4	erb-b2 receptor tyrosine kinase 4	-1.147	7.156
37276_at	IQGAP2	IQ motif containing GTPase activating protein 2	-0.908	4.221
37277_at	NAIP	NLR family apoptosis inhibitory protein	0.407	2.1
37281_at	PIEZO1	piezo type mechanosensitive ion channel component 1	0.353	1.801
37282_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	0.478	2.062
37285_at	ALAS2	5'-aminolevulinate synthase 2	0.527	6.045
37286_at	NRCAM	neuronal cell adhesion molecule	-0.462	3.24
37287_at	NRCAM	neuronal cell adhesion molecule	0.713	2.207
37290_at	CDH8	cadherin 8	0.498	1.833
37292_at	MAML1	mastermind like transcriptional coactivator 1	-0.27	2.007
37294_at	BTG1	BTG anti-proliferation factor 1	0.545	1.895
37296_at	ARL1	ADP ribosylation factor like GTPase 1	-0.561	4.619
37301_at	PRKCB	protein kinase C beta	0.553	3.717
37302_at	CENPF	centromere protein F	0.447	1.84
37305_at	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	0.29	1.833
37306_at	CYFIP1	cytoplasmic FMR1 interacting protein 1	-0.308	1.854
37307_at	GNAI2	G protein subunit alpha i2	0.633	2.69
37315_f_at	EAPP	E2F associated phosphoprotein	-0.74	4.551
37316_r_at	EAPP	E2F associated phosphoprotein	0.789	2.064
37318_at	ETF1	eukaryotic translation termination factor 1	-0.717	1.954
37320_at	PTDSS1	phosphatidylserine synthase 1	-0.276	1.891
37321_at	TTC1	tetratricopeptide repeat domain 1	0.23	2.335
37323_r_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	0.413	4.283
37325_at	FDPS	farnesyl diphosphate synthase	-0.704	3.989
37326_at	PLP2	proteolipid protein 2	0.436	1.712
37327_at	EGFR	epidermal growth factor receptor	-0.494	3.855
37328_at	PLEK	pleckstrin	1.613	3.888
37329_at	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	-0.91	7.118
37330_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-1.051	8.696
37331_g_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-1.99	6.456
37334_at	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	-0.424	1.828
37336_at	UBXN4	UBX domain protein 4	-0.952	4.475
37341_at	GLUD1	glutamate dehydrogenase 1	-0.586	4.566
37343_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	0.434	2.025
37344_at	HLA-DMA	major histocompatibility complex, class II, DM alpha	0.924	2.96
37348_s_at	HMGN3	high mobility group nucleosomal binding domain 3	-1.032	2.863
37350_at	PSMD10	proteasome 26S subunit, non-ATPase 10	-0.534	3.112
37351_at	UPP1	uridine phosphorylase 1	0.652	3.861
37357_at	LOC101060817///LOC729080///GCSH	glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H (aminomethyl carrier) pseudogene///glycine cleavage system protein H	-2.662	7.933
37359_at	SPCS2	signal peptidase complex subunit 2	-1.002	3.982
37363_at	MTSS1	metastasis suppressor 1	-1.042	6.666
37364_at	PHB2	prohibitin 2	-0.715	4.863
37367_at	ATP6V1E1	ATPase H+ transporting V1 subunit E1	-0.577	3.271
37369_s_at	NFATC4	nuclear factor of activated T-cells 4	0.299	2.401
37371_at	SMPD1	sphingomyelin phosphodiesterase 1	0.33	2.543
37372_at	SMPD1	sphingomyelin phosphodiesterase 1	0.451	4.163
37373_at	UGP2	UDP-glucose pyrophosphorylase 2	-0.675	2.369
37374_at	ANXA4	annexin A4	-1.194	3.238
37375_at	MIR6716///PHLDB1	microRNA 6716///pleckstrin homology like domain family B member 1	0.406	3.082
37378_r_at	LMNA	lamin A/C	0.5	2.906
37379_at	SF3A3	splicing factor 3a subunit 3	0.242	1.722
37382_at	LOC101929876///LOC100996747///RPS26	40S ribosomal protein S26///40S ribosomal protein S26///ribosomal protein S26	0.63	2.07
37384_at	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	0.357	2.957
37385_at	PPIG	peptidylprolyl isomerase G	-0.437	2.237
37389_at	C11orf58	chromosome 11 open reading frame 58	-1.176	3.716
37391_at	CTSL	cathepsin L	-1.03	4.691
37392_at	PHKB	phosphorylase kinase regulatory subunit beta	-1.851	8.19
37394_at	C7	complement component 7	-1.415	2.336
37398_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.641	1.943
37399_at	AKR1C3	aldo-keto reductase family 1, member C3	-2.346	6.779
373_at			0.54	2.725
37403_at	ANXA1	annexin A1	0.745	2.565
37404_at	RGS12	regulator of G-protein signaling 12	0.19	1.705
37405_at	SELENBP1	selenium binding protein 1	-1.8	8.326
37407_s_at	MYH11	myosin heavy chain 11	-1.063	3.292
37409_at	SRPK2	SRSF protein kinase 2	-0.574	1.74
37411_at	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	0.605	2.039
37412_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	0.491	1.828
37413_at	DPEP1	dipeptidase 1 (renal)	-0.59	3.801
37416_at	RHOH	ras homolog family member H	0.781	3.123
37417_at	POU2F2	POU class 2 homeobox 2	0.408	3.13
37419_g_at	POU2F2	POU class 2 homeobox 2	0.252	2.175
37420_i_at	HLA-F	major histocompatibility complex, class I, F	1.509	3.482
37426_at	TOX3	TOX high mobility group box family member 3	-1.338	5.426
37433_at	PIAS2	protein inhibitor of activated STAT 2	-0.247	1.749
37436_at	SMCP	sperm mitochondria associated cysteine rich protein	0.46	2.923
37441_at	LIPT1	lipoyltransferase 1	-0.353	1.852
37445_at	TMEM5	transmembrane protein 5	-0.477	2.148
37446_at	GPRASP1	G protein-coupled receptor associated sorting protein 1	-0.357	2.805
37448_s_at	GNAS	GNAS complex locus	-0.715	2.453
37449_i_at	GNAS	GNAS complex locus	-0.944	3.623
37450_r_at	GNAS	GNAS complex locus	-0.717	3.005
37452_at	UMOD	uromodulin	-1.521	1.92
37453_at	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	-0.986	4.543
37454_at	CCL13	C-C motif chemokine ligand 13	0.63	2.259
37455_at	CXCR5	C-X-C motif chemokine receptor 5	0.247	2.006
37456_at	LGALS2	galectin 2	-1.492	5.02
37458_at	CDC45	cell division cycle 45	0.23	2.299
37460_at	TIAM1	T-cell lymphoma invasion and metastasis 1	0.314	2.465
37461_at	ANGPT2	angiopoietin 2	0.481	3.551
37463_r_at	SF3A2	splicing factor 3a subunit 2	0.627	3.645
37464_at	PEX13	peroxisomal biogenesis factor 13	-0.888	6.989
37465_at	TPPP	tubulin polymerization promoting protein	0.532	4.673
37466_at	RAB29	RAB29, member RAS oncogene family	-2.157	5.92
37470_at	LAIR1	leukocyte associated immunoglobulin like receptor 1	0.671	7.682
37471_at	RPP40	ribonuclease P/MRP subunit p40	0.555	3.364
37473_at	KRT16	keratin 16	-0.262	1.963
37478_at	SCGN	secretagogin, EF-hand calcium binding protein	0.469	5.854
37480_at	THPO	thrombopoietin	0.854	5.998
37484_at	ITGA1	integrin subunit alpha 1	-0.631	5.399
37485_at	SLC27A2	solute carrier family 27 member 2	-2.468	6.852
37487_at	TNRC6B	trinucleotide repeat containing 6B	-0.517	5.309
37491_at	TAF1	TATA-box binding protein associated factor 1	-0.458	4.425
37492_at	CLMN	calmin	-0.675	6.034
37493_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	1.304	2.304
37494_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	0.437	5.333
37496_at	ABCB8	ATP binding cassette subfamily B member 8	0.385	2.663
37497_at	HHEX	hematopoietically expressed homeobox	0.587	3.228
37498_at	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	0.293	2.714
37502_at	SMC2	structural maintenance of chromosomes 2	0.637	4.218
37506_at	PRPF40A	pre-mRNA processing factor 40 homolog A	-1.508	10.9
37507_i_at	PRPF40A	pre-mRNA processing factor 40 homolog A	-0.929	6.319
37508_f_at	PRPF40A	pre-mRNA processing factor 40 homolog A	-0.963	5.551
37512_at	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	-0.402	1.862
37516_at	DDN	dendrin	-0.504	3.905
37519_at	ASGR1	asialoglycoprotein receptor 1	0.452	2.323
37520_at	ZNF330	zinc finger protein 330	-0.502	1.698
37521_s_at	ZNF330	zinc finger protein 330	0.391	1.923
37523_at	ACADL	acyl-CoA dehydrogenase, long chain	-0.266	1.83
37524_at	STK17B	serine/threonine kinase 17b	0.666	2.042
37525_at	EPPIN-WFDC6///EPPIN	EPPIN-WFDC6 readthrough///epididymal peptidase inhibitor	0.342	2.071
37532_at	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	-1.78	4.478
37539_at	RGL1	ral guanine nucleotide dissociation stimulator like 1	-0.706	5.023
37541_at	SELPLG	selectin P ligand	0.636	4.464
37542_at	LHFPL2	lipoma HMGIC fusion partner-like 2	0.473	2.604
37547_at	BBS9	Bardet-Biedl syndrome 9	-0.445	2.329
37555_at	PWP2	PWP2 periodic tryptophan protein homolog (yeast)	-0.234	2.801
37558_at	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	0.505	3.501
37561_at	NFYA	nuclear transcription factor Y subunit alpha	0.417	2.722
37569_at	PDCD6	programmed cell death 6	-0.689	4.449
37572_at	CCK	cholecystokinin	0.625	5.002
37573_at	ANGPTL2	angiopoietin like 2	0.407	2.023
37575_at	ATF2	activating transcription factor 2	-1.289	5.324
37581_at	PPP6C	protein phosphatase 6 catalytic subunit	-0.348	1.966
37582_at	KRT15	keratin 15	0.373	2.457
37591_at	UCP2	uncoupling protein 2	0.5	2.115
37592_at	CKMT2	creatine kinase, mitochondrial 2	-0.622	3.804
37593_at	PCCA	propionyl-CoA carboxylase alpha subunit	-1.553	6.471
37594_at	BHMT	betaine--homocysteine S-methyltransferase	-2.616	5.13
37596_at	PLCD1	phospholipase C delta 1	0.202	1.677
37598_at	RASSF2	Ras association domain family member 2	1.459	4.682
37599_at	AOX1	aldehyde oxidase 1	-1.144	2.754
37602_at	GAMT	guanidinoacetate N-methyltransferase	-0.302	2.254
