ID	Gene.symbol	Gene.title	log2(fold change)(Stg2-Tumor vs Stg2-Normal)	-log10(Pvalue)(Stg2-Tumor vs Stg2-Normal)
200807_s_at	HSPD1	heat shock protein family D (Hsp60) member 1	-0.556	2.855
200808_s_at	ZYX	zyxin	1.092	3.334
200809_x_at	RPL12	ribosomal protein L12	0.52	2.23
200811_at	CIRBP	cold inducible RNA binding protein	-0.711	2.853
200820_at	PSMD8	proteasome 26S subunit, non-ATPase 8	0.686	2.369
200821_at	LAMP2	lysosomal associated membrane protein 2	1.361	3.734
200822_x_at	TPI1	triosephosphate isomerase 1	0.553	2.905
200826_at	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide	0.467	2.279
200831_s_at	SCD	stearoyl-CoA desaturase	1.949	2.936
200832_s_at	SCD	stearoyl-CoA desaturase	4.029	6.88
200833_s_at	RAP1B	RAP1B, member of RAS oncogene family	0.931	4.555
200834_s_at	RPS21	ribosomal protein S21	0.811	4.125
200843_s_at	EPRS	glutamyl-prolyl-tRNA synthetase	0.519	2.11
200847_s_at	SARAF	store-operated calcium entry associated regulatory factor	0.785	2.632
200848_at	AHCYL1	adenosylhomocysteinase like 1	-0.691	2.454
200849_s_at	AHCYL1	adenosylhomocysteinase like 1	-0.871	4.045
200850_s_at	AHCYL1	adenosylhomocysteinase like 1	-0.627	2.268
200853_at	H2AFZ	H2A histone family member Z	0.657	2.419
200858_s_at	SNORD38B///SNORD55///RPS8	small nucleolar RNA, C/D box 38B///small nucleolar RNA, C/D box 55///ribosomal protein S8	0.634	2.428
200859_x_at	FLNA	filamin A	1.237	3.93
200864_s_at	RAB11A	RAB11A, member RAS oncogene family	0.519	2.192
200869_at	SNORA68///RPL18A	small nucleolar RNA, H/ACA box 68///ribosomal protein L18a	1.145	4.117
200872_at	S100A10	S100 calcium binding protein A10	1.882	7.587
200875_s_at	MIR1292///SNORD110///SNORD86///SNORD57///NOP56	microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein	0.879	3.883
200886_s_at	PGAM1	phosphoglycerate mutase 1	1.086	6.355
200887_s_at	STAT1	signal transducer and activator of transcription 1	0.982	2.509
200891_s_at	SSR1	signal sequence receptor subunit 1	0.739	2.729
200903_s_at	AHCY	adenosylhomocysteinase	-1.194	5.684
200904_at	HLA-E	major histocompatibility complex, class I, E	1.69	4.195
200905_x_at	HLA-E	major histocompatibility complex, class I, E	0.859	3.127
200909_s_at	SNORA52///RPLP2	small nucleolar RNA, H/ACA box 52///ribosomal protein lateral stalk subunit P2	0.652	3.111
200912_s_at	MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2	microRNA 1248///small nucleolar RNA, H/ACA box 81///small nucleolar RNA, H/ACA box 4///small nucleolar RNA, C/D box 2///small nucleolar RNA, H/ACA box 63///eukaryotic translation initiation factor 4A2	-0.63	4.596
200914_x_at	KTN1	kinectin 1	-0.892	3.572
200915_x_at	KTN1	kinectin 1	-0.725	3.393
200916_at	TAGLN2	transgelin 2	1.59	4.851
200920_s_at	BTG1	BTG anti-proliferation factor 1	1.239	6.264
200921_s_at	BTG1	BTG anti-proliferation factor 1	0.908	3.812
200924_s_at	SLC3A2	solute carrier family 3 member 2	-0.874	3.885
200946_x_at	GLUD1	glutamate dehydrogenase 1	-0.986	3.014
200949_x_at	SNORD54///RPS20	small nucleolar RNA, C/D box 54///ribosomal protein S20	0.543	3.362
200953_s_at	CCND2	cyclin D2	1.293	3.031
200954_at	ATP6V0C	ATPase H+ transporting V0 subunit c	-0.851	2.81
200955_at	IMMT	inner membrane mitochondrial protein	-0.568	3.026
200956_s_at	SSRP1	structure specific recognition protein 1	0.652	2.258
200958_s_at	SDCBP	syndecan binding protein	0.63	3.92
200961_at	SEPHS2	selenophosphate synthetase 2	-1.177	4.538
200964_at	UBA1	ubiquitin like modifier activating enzyme 1	-0.551	2.197
200965_s_at	ABLIM1	actin binding LIM protein 1	-0.748	3.018
200966_x_at	ALDOA	aldolase, fructose-bisphosphate A	1.246	6.162
200967_at	PPIB	peptidylprolyl isomerase B	0.641	2.322
200968_s_at	PPIB	peptidylprolyl isomerase B	0.671	2.623
200972_at	TSPAN3	tetraspanin 3	-0.484	2.704
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	1.485	3.524
200975_at	PPT1	palmitoyl-protein thioesterase 1	0.592	3.662
200978_at	MDH1	malate dehydrogenase 1	-0.79	3.986
200979_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	-1.223	5.23
200980_s_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	-0.662	4.007
200996_at	ACTR3	ARP3 actin related protein 3 homolog	0.991	5.122
201012_at	ANXA1	annexin A1	2.19	6.521
201020_at	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	1.41	5.409
201028_s_at	CD99	CD99 molecule	0.9	4.454
201029_s_at	CD99	CD99 molecule	0.923	4.362
201030_x_at	LDHB	lactate dehydrogenase B	-0.932	5.712
201032_at	BLCAP	bladder cancer associated protein	-0.804	4.414
201033_x_at	RPLP0	ribosomal protein lateral stalk subunit P0	0.448	2.465
201034_at	ADD3	adducin 3	-0.781	2.609
201035_s_at	HADH	hydroxyacyl-CoA dehydrogenase	-1.781	8.928
201036_s_at	HADH	hydroxyacyl-CoA dehydrogenase	-2.443	8.422
201037_at	PFKP	phosphofructokinase, platelet	3.115	13.118
201041_s_at	DUSP1	dual specificity phosphatase 1	1.073	2.255
201042_at	TGM2	transglutaminase 2	1.072	3.451
201047_x_at	WTH3DI///RAB6A	RAB6C-like///RAB6A, member RAS oncogene family	0.614	3.267
201063_at	RCN1	reticulocalbin 1	1.084	3.518
201064_s_at	LOC100996696///PABPC4	polyadenylate-binding protein 4 pseudogene///poly(A) binding protein cytoplasmic 4	0.843	3.442
201069_at	MMP2	matrix metallopeptidase 2	1.049	2.166
201071_x_at	SF3B1	splicing factor 3b subunit 1	0.434	2.56
201072_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.87	3.397
201073_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.953	2.598
201074_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.782	3.625
201075_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-1.123	4.48
201079_at	SYNGR2	synaptogyrin 2	1.115	4.161
201086_x_at	SON	SON DNA binding protein	0.642	2.553
201089_at	ATP6V1B2	ATPase H+ transporting V1 subunit B2	-0.747	2.891
201090_x_at	TUBA1B	tubulin alpha 1b	1.361	6.054
201095_at	DAP	death associated protein	-0.73	2.502
201105_at	LGALS1	galectin 1	3.402	7.01
201112_s_at	CSE1L	chromosome segregation 1 like	0.458	2.423
201113_at	TUFM	Tu translation elongation factor, mitochondrial	-0.693	3.587
201116_s_at	CPE	carboxypeptidase E	2.451	2.931
201117_s_at	CPE	carboxypeptidase E	2.554	3.156
201118_at	PGD	phosphogluconate dehydrogenase	-0.803	2.979
201119_s_at	COX8A	cytochrome c oxidase subunit 8A	-0.58	3.894
201126_s_at	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.979	3.167
201128_s_at	ACLY	ATP citrate lyase	1.296	5.915
201133_s_at	PJA2	praja ring finger ubiquitin ligase 2	0.738	2.098
201134_x_at	COX7C	cytochrome c oxidase subunit 7C	-0.601	2.382
201135_at	ECHS1	enoyl-CoA hydratase, short chain 1	-1.904	9.244
201136_at	PLP2	proteolipid protein 2	1.851	4.783
201137_s_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	2.333	7.203
201140_s_at	RAB5C	RAB5C, member RAS oncogene family	-0.696	3.404
201152_s_at	MBNL1	muscleblind like splicing regulator 1	0.96	4.126
201153_s_at	MBNL1	muscleblind like splicing regulator 1	1.172	6.089
201155_s_at	MFN2	mitofusin 2	-0.659	3.42
201160_s_at	YBX3	Y-box binding protein 3	1.154	4.183
201161_s_at	YBX3	Y-box binding protein 3	2.059	6.041
201177_s_at	UBA2	ubiquitin like modifier activating enzyme 2	0.706	2.081
201178_at	FBXO7	F-box protein 7	-0.396	2.396
201180_s_at	GNAI3	G protein subunit alpha i3	0.52	2.748
201183_s_at	CHD4	chromodomain helicase DNA binding protein 4	-0.587	2.847
201186_at	LRPAP1	LDL receptor related protein associated protein 1	-0.745	2.161
201189_s_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	2.17	3.529
201192_s_at	PITPNA	phosphatidylinositol transfer protein alpha	0.465	2.065
201193_at	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	-0.831	2.664
201201_at	CSTB	cystatin B	0.591	2.887
201212_at	LGMN	legumain	-1.3	2.298
201226_at	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	-0.801	2.72
201227_s_at	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	-0.785	3.294
201230_s_at	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	-0.593	2.841
201231_s_at	ENO1	enolase 1	0.72	3.044
201236_s_at	BTG2	BTG anti-proliferation factor 2	-1.148	2.524
201237_at	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2	1.317	4.934
201240_s_at	SPCS2	signal peptidase complex subunit 2	0.675	3.02
201242_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-1.005	5.28
201243_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-0.777	4.778
201244_s_at	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	-0.584	3.425
201247_at	SREBF2	sterol regulatory element binding transcription factor 2	-1.03	3.284
201250_s_at	SLC2A1	solute carrier family 2 member 1	1.451	5.217
201251_at	PKM	pyruvate kinase, muscle	1.603	5.066
201263_at	TARS	threonyl-tRNA synthetase	0.817	3.8
201268_at	NME1-NME2///NME2	NME1-NME2 readthrough///NME/NM23 nucleoside diphosphate kinase 2	0.574	2.719
201277_s_at	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	1.163	3.126
201282_at	OGDH	oxoglutarate dehydrogenase	-1.263	3.121
201283_s_at	TRAK1	trafficking kinesin protein 1	-2.353	3.515
201284_s_at	APEH	acylaminoacyl-peptide hydrolase	-1.781	5.588
201286_at	SDC1	syndecan 1	-1.625	2.559
201287_s_at	SDC1	syndecan 1	-1.389	2.093
201288_at	ARHGDIB	Rho GDP dissociation inhibitor beta	2.556	9.137
201291_s_at	TOP2A	topoisomerase (DNA) II alpha	4.084	4.525
201292_at	TOP2A	topoisomerase (DNA) II alpha	3.289	5.383
201300_s_at	PRNP	prion protein	-0.832	2.649
201301_s_at	ANXA4	annexin A4	1.9	7.528
201302_at	ANXA4	annexin A4	1.718	9.731
201313_at	ENO2	enolase 2	4.758	6.941
201315_x_at	IFITM2	interferon induced transmembrane protein 2	1.768	6.267
201322_at	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	-0.795	4.712
201328_at	ETS2	ETS proto-oncogene 2, transcription factor	1.022	2.038
201330_at	RARS	arginyl-tRNA synthetase	0.834	3.272
201331_s_at	STAT6	signal transducer and activator of transcription 6	0.597	2.272
201333_s_at	ARHGEF12	Rho guanine nucleotide exchange factor 12	-0.957	3.547
201338_x_at	GTF3A	general transcription factor IIIA	0.735	3.089
201339_s_at	SCP2	sterol carrier protein 2	-0.508	2.927
201340_s_at	ENC1	ectodermal-neural cortex 1	1.596	2.936
201343_at	UBE2D2	ubiquitin conjugating enzyme E2 D2	0.611	2.676
201345_s_at	UBE2D2	ubiquitin conjugating enzyme E2 D2	0.904	3.719
201347_x_at	GRHPR	glyoxylate and hydroxypyruvate reductase	-1.342	5.291
201348_at	GPX3	glutathione peroxidase 3	-0.993	2.782
201354_s_at	BAZ2A	bromodomain adjacent to zinc finger domain 2A	-1.665	3.053
201366_at	ANXA7	annexin A7	-0.539	2.276
201379_s_at	TPD52L2	tumor protein D52 like 2	0.649	2.313
201384_s_at	NBR1	NBR1, autophagy cargo receptor	-0.463	2.558
201387_s_at	UCHL1	ubiquitin C-terminal hydrolase L1	-1.401	2.312
201388_at	PSMD3	proteasome 26S subunit, non-ATPase 3	-0.507	2.129
201389_at	ITGA5	integrin subunit alpha 5	2.016	3.053
201397_at	PHGDH	phosphoglycerate dehydrogenase	-2.581	5.014
201398_s_at	TRAM1	translocation associated membrane protein 1	1.003	3.399
201406_at	RPL36A-HNRNPH2///RPL36A	RPL36A-HNRNPH2 readthrough///ribosomal protein L36a	0.718	2.815
201410_at	PLEKHB2	pleckstrin homology domain containing B2	-0.9	5.358
201411_s_at	PLEKHB2	pleckstrin homology domain containing B2	-1.035	2.275
201412_at	LRP10	LDL receptor related protein 10	-0.557	2.829
201419_at	BAP1	BRCA1 associated protein 1	-0.595	2.583
201422_at	IFI30///PIK3R2	IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2	1.514	3.008
201425_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	-1.514	6.855
201426_s_at	VIM	vimentin	2.033	9.771
201427_s_at	SEPP1	selenoprotein P, plasma, 1	-0.703	2.326
201431_s_at	DPYSL3	dihydropyrimidinase like 3	0.99	3.275
201432_at	CAT	catalase	-1.436	7.007
201434_at	TTC1	tetratricopeptide repeat domain 1	0.524	2.298
201438_at	COL6A3	collagen type VI alpha 3 chain	2.709	2.956
201440_at	DDX23	DEAD-box helicase 23	2.025	2.219
201458_s_at	BUB3	BUB3, mitotic checkpoint protein	0.572	2.194
201469_s_at	SHC1	SHC adaptor protein 1	1.629	2.318
201474_s_at	ITGA3	integrin subunit alpha 3	0.914	2.264
201482_at	QSOX1	quiescin sulfhydryl oxidase 1	1.592	3.232
201494_at	PRCP	prolylcarboxypeptidase	-0.531	2.304
201506_at	TGFBI	transforming growth factor beta induced	3.794	5.64
201522_x_at	SNURF///SNRPN	SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N	-0.836	4.403
201525_at	APOD	apolipoprotein D	-1.277	2.767
201528_at	RPA1	replication protein A1	0.874	4.555
201529_s_at	RPA1	replication protein A1	1.044	4.415
201530_x_at	LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1	uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1	0.597	2.056
201536_at	DUSP3	dual specificity phosphatase 3	-0.771	3.223
201540_at	FHL1	four and a half LIM domains 1	2.086	5.783
201544_x_at	BCL2L2-PABPN1///PABPN1///BCL2L2	BCL2L2-PABPN1 readthrough///poly(A) binding protein nuclear 1///BCL2 like 2	-0.457	2.415
201552_at	LAMP1	lysosomal associated membrane protein 1	-1.102	4.542
201553_s_at	LAMP1	lysosomal associated membrane protein 1	-1.109	5.98
201556_s_at	VAMP2	vesicle associated membrane protein 2	-0.695	2.079
201562_s_at	SORD	sorbitol dehydrogenase	-1.78	6.585
201563_at	SORD	sorbitol dehydrogenase	-2.72	9.711
201567_s_at	GOLGA4	golgin A4	-0.817	3.535
201570_at	SAMM50	SAMM50 sorting and assembly machinery component	-0.507	2.585
201576_s_at	TMPPE///GLB1	transmembrane protein with metallophosphoesterase domain///galactosidase beta 1	-0.937	3.462
201578_at	PODXL	podocalyxin like	-1.577	3.217
201584_s_at	DDX39A	DEAD-box helicase 39A	0.47	2.335
201590_x_at	ANXA2	annexin A2	1.482	6.008
201596_x_at	KRT18	keratin 18	1.25	2.616
201597_at	COX7A2	cytochrome c oxidase subunit 7A2	-0.526	2.067
201599_at	OAT	ornithine aminotransferase	-1.46	4.049
201601_x_at	IFITM2///IFITM1	interferon induced transmembrane protein 2///interferon induced transmembrane protein 1	1.96	5.09
201602_s_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	0.743	2.075
201604_s_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	0.684	2.207
201608_s_at	PWP1	PWP1 homolog, endonuclein	0.571	3.299
201609_x_at	ICMT	isoprenylcysteine carboxyl methyltransferase	-0.742	2.851
201611_s_at	ICMT	isoprenylcysteine carboxyl methyltransferase	-1.064	3.859
201612_at	ALDH9A1	aldehyde dehydrogenase 9 family member A1	-1.1	5.151
201616_s_at	CALD1	caldesmon 1	1.553	4.86
201617_x_at	CALD1	caldesmon 1	1.122	2.309
201619_at	PRDX3	peroxiredoxin 3	-0.618	2.135
201623_s_at	DARS	aspartyl-tRNA synthetase	0.783	2.801
201624_at	DARS	aspartyl-tRNA synthetase	1.247	4.733
201636_at	FXR1	FMR1 autosomal homolog 1	0.794	3.17
201640_x_at	CLPTM1	CLPTM1, transmembrane protein	-0.928	5.005
201641_at	BST2	bone marrow stromal cell antigen 2	1.184	2.392
201642_at	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	1.183	5.047
201648_at	JAK1	Janus kinase 1	0.81	5.553
201649_at	UBE2L6	ubiquitin conjugating enzyme E2 L6	0.832	2.606
201651_s_at	PACSIN2	protein kinase C and casein kinase substrate in neurons 2	-0.642	2.529
201655_s_at	HSPG2	heparan sulfate proteoglycan 2	1.966	2.838
201663_s_at	SMC4	structural maintenance of chromosomes 4	1.652	5.009
201664_at	SMC4	structural maintenance of chromosomes 4	1.481	7.832
201666_at	TIMP1	TIMP metallopeptidase inhibitor 1	2.537	5.456
201667_at	GJA1	gap junction protein alpha 1	2.489	4.01
201669_s_at	MARCKS	myristoylated alanine rich protein kinase C substrate	1.699	6.709
201670_s_at	MARCKS	myristoylated alanine rich protein kinase C substrate	1.485	3.773
201674_s_at	AKAP1	A-kinase anchoring protein 1	-0.781	3.923
201695_s_at	PNP	purine nucleoside phosphorylase	-1.653	8.127
201696_at	SRSF4	serine and arginine rich splicing factor 4	0.552	2.331
201697_s_at	DNMT1	DNA (cytosine-5-)-methyltransferase 1	0.995	3.245
201701_s_at	PGRMC2	progesterone receptor membrane component 2	0.544	2.307
201704_at	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	-0.634	2.514
201708_s_at	NIPSNAP1	nipsnap homolog 1 (C. elegans)	-0.892	2.972
201709_s_at	NIPSNAP1	nipsnap homolog 1 (C. elegans)	-0.558	2.024
201717_at	MRPL49	mitochondrial ribosomal protein L49	-0.463	2.36
201720_s_at	LAPTM5	lysosomal protein transmembrane 5	2.825	4.588
201721_s_at	LAPTM5	lysosomal protein transmembrane 5	2.366	5.997
201722_s_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	1.162	6.401
201723_s_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	0.473	2.019
201724_s_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	0.988	3.996
201728_s_at	KIAA0100	KIAA0100	-1.112	3.738
201729_s_at	KIAA0100	KIAA0100	-1.168	2.753
201738_at	EIF1B	eukaryotic translation initiation factor 1B	-1.012	4.895
201740_at	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	-0.567	3.656
201743_at	CD14	CD14 molecule	2.11	5.793
201751_at	JOSD1	Josephin domain containing 1	1.44	5.128
201752_s_at	ADD3	adducin 3	-1.099	4.914
201753_s_at	ADD3	adducin 3	-0.804	3.363
201755_at	MCM5	minichromosome maintenance complex component 5	3.465	7.822
201761_at	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	2.397	3.808
201762_s_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	0.632	2.607
201765_s_at	HEXA	hexosaminidase subunit alpha	-0.6	2.124
201767_s_at	ELAC2	elaC ribonuclease Z 2	1.222	2.182
201780_s_at	RNF13	ring finger protein 13	0.627	2.201
201792_at	AEBP1	AE binding protein 1	1.574	3.28
201798_s_at	MYOF	myoferlin	1.878	6.323
201809_s_at	ENG	endoglin	1.309	2.392
201813_s_at	TBC1D5	TBC1 domain family member 5	-0.599	2.654
201814_at	TBC1D5	TBC1 domain family member 5	-0.744	3.17
201818_at	LPCAT1	lysophosphatidylcholine acyltransferase 1	3.165	5.581
201819_at	SCARB1	scavenger receptor class B member 1	2.44	7.676
201826_s_at	SCCPDH	saccharopine dehydrogenase (putative)	-1.059	3.057
201832_s_at	USO1	USO1 vesicle transport factor	0.548	2.07
201834_at	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	-0.866	4.969
201838_s_at	SUPT7L	SPT7-like STAGA complex gamma subunit	-0.685	3.341
201839_s_at	EPCAM	epithelial cell adhesion molecule	-2.199	5.801
201841_s_at	HSPB1	heat shock protein family B (small) member 1	0.881	3.889
201847_at	LIPA	lipase A, lysosomal acid type	1.754	7.404
201848_s_at	BNIP3	BCL2 interacting protein 3	0.832	3.496
201849_at	BNIP3	BCL2 interacting protein 3	1.053	3.581
201851_at	SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2	1.029	3.738
201852_x_at	COL3A1	collagen type III alpha 1 chain	2.506	4.763
201854_s_at	ATMIN	ATM interactor	-0.511	3.007
201858_s_at	SRGN	serglycin	2.187	7.212
201859_at	SRGN	serglycin	1.505	4.995
201862_s_at	LRRFIP1	LRR binding FLII interacting protein 1	-0.592	2.48
201864_at	GDI1	GDP dissociation inhibitor 1	0.881	4.104
201866_s_at	NR3C1	nuclear receptor subfamily 3 group C member 1	1.177	4.747
201872_s_at	ABCE1	ATP binding cassette subfamily E member 1	0.586	2.455
201874_at	MPZL1	myelin protein zero like 1	0.917	2.062
201886_at	DCAF11	DDB1 and CUL4 associated factor 11	-0.745	3.723
201887_at	IL13RA1	interleukin 13 receptor subunit alpha 1	0.703	3.098
201890_at	RRM2	ribonucleotide reductase regulatory subunit M2	2.883	3.364
201893_x_at	DCN	decorin	-1.631	2.966
201894_s_at	SSR1	signal sequence receptor subunit 1	0.822	3.23
