ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
32035_at	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	0.887	3.687	0.986	3.186	1.873	7.369	1.361	4.194
32227_at	SRGN	serglycin	1.699	5.672	1.268	3.443	2.966	9.135	2.263	5.814
32272_at	TUBA1B	tubulin alpha 1b	1.149	8.146	0.564	2.368	1.712	10.366	0.951	4.188
32321_at	HLA-E	major histocompatibility complex, class I, E	0.768	2.89	1.248	3.992	2.016	7.427	1.624	4.904
32324_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	0.585	5.945	0.298	1.906	0.883	8.266	0.458	2.864
32331_at	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4	1.46	3.953	-3.058	9.388	-1.598	4.936	-1.539	3.829
32392_s_at	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10	1.182	2.059	-3.207	7.583	-2.024	4.744	-3.077	5.634
32510_at	AKR7A2	aldo-keto reductase family 7 member A2	0.985	2.885	-2.021	7.02	-1.036	3.123	-1.082	2.66
32607_at	BASP1	brain abundant membrane attached signal protein 1	1.042	2.246	1.314	3.036	2.356	6.101	2.148	4.44
32629_f_at	BTN3A1	butyrophilin subfamily 3 member A1	0.634	3.985	0.906	4.982	1.54	9.316	0.929	4.248
32654_g_at	BRD8	bromodomain containing 8	1.541	12.171	-0.738	5.29	0.802	5.252	0.566	2.652
32720_at	ATG12	autophagy related 12	1.561	12.156	-0.859	6.506	0.702	4.229	0.729	3.504
32737_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	-0.546	6.497	0.811	9.324	0.265	2.124	0.37	2.78
32773_at	LOC100509457///HLA-DQA1	HLA class II histocompatibility antigen, DQ alpha 1 chain-like///major histocompatibility complex, class II, DQ alpha 1	0.91	2.563	1.495	3.626	2.405	6.685	1.584	3.298
32784_at	PRPF4B	pre-mRNA processing factor 4B	0.928	4.843	0.442	1.747	1.37	7.288	0.952	3.835
32793_at	TRBC1	T cell receptor beta constant 1	-0.663	2.913	1.423	6.508	0.76	2.646	0.858	2.641
32859_at	STAT1	signal transducer and activator of transcription 1	0.858	4.012	0.833	4.355	1.692	8.942	1.374	5.965
