Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
miRNA Regulation Of Prostate Cancer Signaling Pathways WP3981	1/31	0.026035891626597026	0.0437771629119773	0	0	41.56875	151.65440789573447	AKT3
Regucalcin In Proximal Tubule Epithelial Kidney Cells WP4838	1/32	0.026865043358944445	0.044003088260340044	0	0	40.225806451612904	145.49389961403264	AKT1
IL 17 Signaling Pathway WP2112	1/32	0.026865043358944445	0.044003088260340044	0	0	40.225806451612904	145.49389961403264	AKT1
PI3K AKT mTOR Signaling Pathway And Therapeutic Opportunities In Prostate Cancer WP3844	1/32	0.026865043358944445	0.044003088260340044	0	0	40.225806451612904	145.49389961403264	AKT1
Alpha 6 Beta 4 Signaling Pathway WP244	1/33	0.02769353076527467	0.044591278350865994	0	0	38.966796875	139.75661625657744	AKT1
BDNF TrkB Signaling WP3676	1/33	0.02769353076527467	0.044591278350865994	0	0	38.966796875	139.75661625657744	AKT1
Nuclear Receptors Meta Pathway WP2882	2/314	0.028607356662776175	0.04567561147838213	0	0	8.406410256410256	29.877150130377366	SLC6A8;SLC2A4
Influence Of Laminopathies On Wnt Signaling WP4844	1/35	0.029348514575720203	0.04646848141155699	0	0	36.67095588235294	129.39395719366985	SLC2A4
Target Of Rapamycin Signaling WP1471	1/36	0.03017501197648502	0.04712128749234264	0	0	35.621428571428574	124.70139957851625	AKT1
IL 5 Signaling Pathway WP127	1/37	0.031000847034435945	0.04712128749234264	0	0	34.630208333333336	120.29636590931148	AKT1
IL 2 Signaling Pathway WP49	1/37	0.031000847034435945	0.04712128749234264	0	0	34.630208333333336	120.29636590931148	AKT1
Neovascularisation Processes WP4331	1/37	0.031000847034435945	0.04712128749234264	0	0	34.630208333333336	120.29636590931148	AKT1
Ovarian Infertility WP34	1/37	0.031000847034435945	0.04712128749234264	0	0	34.630208333333336	120.29636590931148	AKT1
Thymic Stromal Lymphopoietin TSLP Signaling Pathway WP2203	1/40	0.033474383104990776	0.05047724436466863	0	0	31.96153846153846	108.57254123777712	AKT1
Fibrin Complement Receptor 3 Signaling Pathway WP4136	1/42	0.035120104519504855	0.05254188865122773	0	0	30.399390243902438	101.80699657630194	AKT1
IL6 Signaling Pathway WP364	1/43	0.03594197592289709	0.053351370510550375	0	0	29.674107142857142	98.6916120526478	AKT1
Integrated Cancer Pathway WP1971	1/44	0.036763188444542634	0.05373081388048539	0	0	28.982558139534884	95.73687423595388	AKT1
Interleukin 11 Signaling Pathway WP2332	1/44	0.036763188444542634	0.05373081388048539	0	0	28.982558139534884	95.73687423595388	AKT1
TROP2 Regulatory Signaling WP5300	1/45	0.03758374258298183	0.054097811293685974	0	0	28.322443181818183	92.93113891804632	IGF1
Glycolysis And Gluconeogenesis WP534	1/45	0.03758374258298183	0.054097811293685974	0	0	28.322443181818183	92.93113891804632	SLC2A4
Microtubule Cytoskeleton Regulation WP2038	1/46	0.03840363883149023	0.05486234118784318	0	0	27.691666666666666	90.26384147630849	AKT1
Wnt Signaling Pathway WP363	1/47	0.0392228776844792	0.05561452806008245	0	0	27.088315217391305	87.72537577432398	AKT1
Pluripotent Stem Cell Differentiation Pathway WP2848	1/48	0.0400414596344939	0.055940274489366476	0	0	26.51063829787234	85.306988915029	IGF1
IL 26 Signaling Pathways WP5347	1/48	0.0400414596344939	0.055940274489366476	0	0	26.51063829787234	85.306988915029	AKT1
IL 3 Signaling Pathway WP286	1/49	0.04085938516720612	0.05625567523021132	0	0	25.95703125	83.00068948212059	AKT1
Hepatitis C And Hepatocellular Carcinoma WP3646	1/49	0.04085938516720612	0.05625567523021132	0	0	25.95703125	83.00068948212059	AKT1
IL 4 Signaling Pathway WP395	1/50	0.04167665479123348	0.05696808928298101	0	0	25.426020408163264	80.79916728086499	AKT1
Copper Homeostasis WP3286	1/51	0.04249326897973699	0.057669436472500196	0	0	24.91625	78.6957230101767	AKT1
