ID,EntrezGeneID,GeneSymbol,GB_ACC,PROBE_DERIVED_FROM_TRANSCRIPT,SPOT_ID,RosettaGeneModelID,GENE_ID,GSM493540,GSM493541,GSM493542,GSM493543,GSM493544,GSM493545,GSM493546,GSM493547,GSM493548,GSM493549,GSM493550,GSM493551,GSM493552,GSM493553
100110854_TGI_at,71163,4933426I21Rik,,non-public,ENSEMBLE: ENSMUST00000069967,MMG00243062,71163,2.4029676978470196,2.5288713282381208,2.330931215385397,2.5782141654724544,2.4666532201227476,3.0530939544868887,2.927744782677284,2.456753591076735,2.6637772491371896,2.5689806142600875,2.4156505144147307,2.73137877433561,2.6963945060831436,2.8911080600299304
100110855_TGI_at,387524,Znrf2,AK004445,AK004445,,MMG00231620,387524,8.43271726799773,8.407445806048308,8.107002551948517,8.570183973909275,8.566669431408837,8.68731793948461,8.67172610193462,8.64126494783603,8.331734770810018,8.679836154926116,8.25859571188266,8.397550570813019,8.695093239173332,8.583025961442944
100110856_TGI_at,102232,AU022186,BG068162,BG068162,,MMG00256076,102232,3.1283099001725727,3.229572542114519,3.060427900521236,3.163144455629953,3.2890819433159444,3.5686037172073375,3.330974226342869,3.4503930779673557,3.409906819529264,3.2969565742520848,3.3356690403776343,3.2992593132990504,3.286097504288163,3.1338758347537348
100110857_TGI_at,70552,Lrrc56,NM_153777,NM_153777,,MMG00241354,70552,6.189935227131549,6.1462071612027875,6.052957064133254,5.991800721265884,6.088928129635361,6.173629170580028,5.888275666892946,6.147699478466202,6.089741771495101,6.22786619741159,5.838354300967847,6.1340709935602975,5.997852393448017,6.050040170178822
100110858_TGI_at,64339,Fndc4,AK013203,AK013203,,MMG00236276,64339,5.290560792850777,5.126324521723961,5.381075675926288,5.222089681240185,5.383099443228153,5.256286070585092,5.013489058846341,4.889269097574419,5.087963454427856,5.138945497923841,5.005732326276127,5.173667143575889,5.380331184220349,5.2031424134659385
100110859_TGI_at,320244,Ttll5,NM_001081423,NM_001081423,,MMG00277363,320244,6.186411416494264,6.036512125272474,6.202000368921855,6.078979085263456,6.1227224089571815,6.045475735083905,5.949462563004047,5.980978096810078,5.8187329895447055,6.2793617150058445,6.130646749505974,6.035018994611993,6.130782640118537,5.767050900809974
100110860_TGI_at,403178,Plcxd1,NM_207279,NM_207279,,MMG00301235,403178,5.826383235223157,5.860828749077006,5.449369882929591,5.894036799358858,5.976510280888498,5.742766175096897,5.946316797772427,5.868679358257114,6.000955469000417,5.853686322550041,5.8799385192942,5.6372914410078865,5.627498865407091,5.924848125265784
100110861_TGI_at,268970,Arhgap28,NM_172964,NM_172964,,MMG00318453,268970,6.14373013341685,6.097360072870053,6.05531280770866,6.347605424651492,6.523613703972789,6.117449863405914,6.055442967070315,5.642675582296961,5.869377924031328,6.220815544360781,5.744048044141626,5.9851679527989505,6.402485141240096,5.744048044141626
100110862_TGI_at,195712,4930421P07Rik,AK015173,AK015173,,MMG00241004,195712,3.526369341830301,3.8742658147455016,3.4919813301896667,3.633954252330706,3.4307000885337597,3.184550080146422,3.2910141014173027,3.7652270800577874,3.3365690417691156,3.333037245789437,3.4565301975597675,3.5928397118279656,3.329094885656815,3.386548865252103
100110863_TGI_at,76399,Il31,,non-public,ENSEMBLE: ENSMUST00000031389,MMG00301251,76399,3.311212454635033,3.146752962374974,3.0616034093906768,2.9957739333654785,3.1478927763512865,3.0253300629804913,2.867461613657127,3.2429835161096947,3.205814749179987,3.2228818241348973,3.1783003346342404,3.1011121584741503,3.1501859571621016,3.2431206551458933
100110864_TGI_at,NA,,AK154190,AK154190,,MMG00378477,NA,4.533289235034546,4.4712069737136435,4.338766684421799,4.044254214874162,4.319365035801312,4.0637358945868565,4.210412244145345,4.211230295039508,4.688510495393552,4.321798246490417,4.37695017094954,4.316558502605719,4.195631069496662,4.44355361024173
100110865_TGI_at,66405,Mcts2,NM_025543,NM_025543,,MMG00210061,66405,7.926333952136913,7.996369537504191,7.90905181631344,8.076231989030049,8.124161644675143,8.076473049898269,7.843231406980096,7.896745321945431,7.901841354270918,7.859123505324497,7.937290831573478,7.893911854410525,8.076820406026286,7.898742249230817
100110866_TGI_at,74213,Rbm26,NM_134077,NM_134077,,MMG00320932,74213,7.940516808272462,8.109082086536255,7.561168781844514,8.317418040820646,8.275512759092411,8.189211777440946,8.19716999524053,8.282667293257344,7.996687017218618,8.472847181957858,8.07087712108435,8.2539679999325255,8.278795106057698,8.184694374964206
100110867_TGI_at,97151,C78914,AK042005,AK042005,,MMG00227475,97151,7.782356140463228,7.66026764276064,7.674529151960049,7.703189314514104,7.866479629919494,7.603376355087326,7.916923834471495,7.6611175128300655,7.837916128049372,7.528850235868439,7.4573488644319195,7.840915106830028,7.534395492137516,7.844959919942803
100110868_TGI_at,67509,1810063B07Rik,AK007941,AK007941,,MMG00322336,67509,7.659731938908089,7.553242987720271,7.692867929448881,7.6957127050938015,7.627120897229247,7.643933371894809,7.81344324039923,7.663879695083683,7.632422366209687,7.793080430621247,7.835367044014438,7.810761196913643,8.001042196058734,7.714699551652631
100110869_TGI_at,78537,C030005H24Rik,AK021047,AK021047,,MMG00272406,78537,4.108909124169033,4.224873782668774,4.175915760326373,3.958072413782862,4.4426715139062845,3.710249907473056,3.7395241078540336,4.098074204828557,4.189271090247124,4.272284523187456,4.252801654271934,3.896543115855899,3.893925198561902,4.014935468244554
100110870_TGI_at,624086,EG624086,AK138253,AK138253,,MMG00321479,624086,4.7553202457674395,4.968570034355007,4.949950406709398,4.946347213176705,5.106184976809381,5.1506774593691835,4.835439053224126,4.888597145800166,4.808601284242551,4.8515591677563785,5.0763624127712506,4.926061111432969,4.510082113297493,4.85568079997183
100110871_TGI_at,432450,Nkain2,AK029229,AK029229,,MMG00247770,432450,5.369232646201508,5.517622150415071,5.392454815764045,5.309183464977517,5.462045772978312,5.173287368633072,5.3262317209766525,5.368803263843084,5.322620422361685,5.210088791326982,5.359373576187413,5.395001085957307,5.246829888460062,5.26144054995619
100110872_TGI_at,381337,BC050210,NM_201365,NM_201365,,MMG00204384,381337,5.033647648006913,5.105401512491283,5.045185198801647,5.065266404379118,4.868054558896204,4.780341598591217,5.073293262089975,5.254888779828105,5.173731095836102,5.13038728642418,5.103564779271521,5.058710455147776,5.10890076292495,5.291842956001967
100110874_TGI_at,77704,Lcn9,NM_029959,NM_029959,,MMG00210043,77704,4.042583056584642,3.9702462696606395,4.14598715309114,3.933497102511857,3.790375867781582,3.7244429103429724,3.8864623538798364,3.8668882015163093,4.044096806110641,3.9714147977316205,3.8001854919782097,3.824177214879003,3.797843067065541,4.0071326961485685
100110875_TGI_at,NA,,,non-public,RosettaGeneID: MMG00290571,MMG00290571,NA,5.381785182488942,5.271294937136852,5.388819803458173,5.269347392268488,5.350285070447103,5.371492650450617,5.293867042534912,5.411924458965293,5.272743609941128,5.4380965305482105,5.5714523193498335,5.379468478541836,5.359637126738721,5.464462433055302
100110876_TGI_at,108673,Ccdc86,NM_023731,NM_023731,,MMG00297666,108673,6.1712268469151335,6.25648611228015,6.282938286409408,6.54348660362508,6.294109742196734,6.338734600092455,6.363614402881523,6.230137672437454,6.334432408811789,6.193456365749586,6.330468766590315,6.188756964896447,6.468123849086834,6.450670205903727
100110877_TGI_at,15186,Hdc,NM_008230,NM_008230,,MMG00209144,15186,10.58900164713539,10.359596279556047,10.204472475205863,10.599075241037067,10.540596910938598,5.695331312601941,5.599207682820359,5.7435257392136885,5.853107407969341,5.785108469034748,5.701535195471399,5.812192711296922,5.506348049393273,5.693810307974912
100110878_TGI_at,97130,C77080,NM_001033189,NM_001033189,,MMG00228537,97130,8.62422557471512,8.58629525074702,8.594539592392742,8.493208993056804,8.556723687866338,8.289787444059073,8.453810566027837,8.545924365000277,8.478200921774786,8.386473852981938,8.372288737402128,8.452166683814163,8.313518417750867,8.383371224725824
100110879_TGI_at,71223,Gpr15,,non-public,ENSEMBLE: ENSMUST00000089318,MMG00286238,71223,4.5732109050790335,4.752545229851073,5.025502820936084,4.591344312815099,4.548140656895048,4.569819160837945,4.5017321130787264,4.566565552265497,4.576310494876601,4.5890263739187684,4.759182471202824,4.46007413060665,4.490473861995869,4.589661631995472
100110880_TGI_at,320709,Tmem117,NM_178789,NM_178789,,MMG00282081,320709,5.532672289889487,5.285498395325795,5.288004120694648,5.553225321146542,6.001101888277509,5.1748018749842455,5.100574040213197,5.171747256353101,4.842702330634062,4.903486631714076,4.686730219564219,5.135263969634077,5.432905973136917,5.1484786159319675
100110881_TGI_at,74186,Ccdc3,NM_028804,NM_028804,,MMG00210947,74186,6.182986208746034,6.237089472161126,6.49252940146081,6.219153028351697,6.315424938982517,6.066999738878016,6.229853212734247,6.246406186961886,6.139078562094243,6.345149730673416,6.534147222535845,6.229012960347511,6.333142824531855,6.42113912553038
100110882_TGI_at,332397,Nanos1,NM_178421,NM_178421,,MMG00297739,332397,2.8633438107064557,2.7190081593661364,2.672538490086599,2.637471139884759,2.787077180105852,2.6350810538628324,2.5442380741516777,2.880430851928376,2.6211493035690023,2.7385733030055888,2.7429332057621374,2.907506014212663,2.777914118791006,2.9687174738074495
100110883_TGI_at,15508,Hsp25-ps1,,non-public,ENSEMBLE: ENSMUST00000007996,MMG00377247,15508,3.1014147618141785,3.13438524646782,3.0158900181260244,2.880136942208927,2.9313804942650328,3.020413302544186,2.9714791772775846,2.964823707127193,3.141808784381285,3.0792756978978466,3.0731004196448675,2.966854944080824,2.9696570462691043,3.063192280741679
100110884_TGI_at,320039,A030010E16Rik,AK042844,AK042844,,MMG00260446,320039,5.087772563113696,4.989061782959831,5.238565242162748,5.015417282638167,4.979453777416662,4.862317480793013,5.205455074297597,5.035148797773801,4.849929224026345,4.926952990529225,4.864661598399857,4.815421724470408,4.812996151564643,4.708943155854737
100110886_TGI_at,20255,Scg3,NM_009130,NM_009130,,MMG00258946,20255,4.385714026167645,4.565268145379696,4.600989256203813,4.430934205946596,4.296875838376962,4.657651436977436,4.143719931094918,4.576116965491118,4.458421378483355,4.535810357842348,4.559179746177551,4.3117501311423405,4.581676630406834,4.782277500194974
100110888_TGI_at,69808,1810058N05Rik,AK007899,AK007899,,MMG00226301,69808,4.508802589160848,4.0620439783998235,4.259069063996448,4.182890892745479,3.87878418576096,4.063218171760596,4.150762744355418,4.2733368471502216,4.362659243197826,4.097273678961402,4.5881089512671345,4.34781445312572,4.09141211259535,4.130807346127509
100110889_TGI_at,58206,Zbtb32,NM_021397,NM_021397,,MMG00242330,58206,5.15819966726974,5.395148508416512,5.431602903572389,5.233558324968414,5.444236367098631,5.408008681513289,5.188887490991644,5.220538913813174,5.408154780826457,5.396063562011655,5.178121030495927,5.2140354114574246,5.537190439556216,5.396101248403644
100110890_TGI_at,13479,Dpep1,AK132644,AK132644,,MMG00252255,13479,8.818229688657912,8.879957199158131,8.975134036999583,8.864892149430137,8.74733368699831,9.578721953007904,9.57004846098813,9.59088135962095,9.332257244794507,9.074999865155151,9.229034357283803,9.035300311691909,9.048096653272944,8.781816385373931
100110891_TGI_at,382089,Ripply2,NM_001037907,NM_001037907,,MMG00259295,382089,3.791074305011315,3.7582178837421285,4.190978253496388,3.7467642098822336,3.5903145774966556,3.3920975667830757,3.197692433673528,3.6713613157030616,3.8345898738608466,3.650006255781704,4.05409307789041,3.9969761906018717,3.4083450275212726,3.494633214355863
100110892_TGI_at,242505,Rasef,BC030882,BC030882,,MMG00226127,242505,3.304160547001356,3.6782747698391707,3.5396551369204055,3.8182984035725402,3.645390401242392,3.1577713436261057,3.3008265925334936,3.3975428700529706,3.408942782431647,3.4186082553621917,3.663412937955597,3.262252734298154,3.7690523277772825,2.9060054711841943
100110894_TGI_at,69257,Elf2,NM_023502,NM_023502,,MMG00217286,69257,6.973234711441968,7.059175708367572,6.82837008982349,7.283999533548307,7.224610469187731,7.311162491406362,7.257886570647349,7.101028090725504,7.061218881390631,7.195523790082234,7.057466518658198,7.124877106708027,7.325465570735668,7.17819474711702
100110895_TGI_at,19921,Rpl19,NM_009078,NM_009078,,MMG00267806,19921,12.184227937000943,12.263983767842022,12.187878635023354,12.260232002691293,12.292917254298297,12.288946164005544,12.22241594947192,12.23203555740962,12.083171874210832,12.160311707711228,12.241538091238795,12.31320483204799,12.308049153573215,12.299287822405695
100110896_TGI_at,100129,Gpr153,NM_178406,NM_178406,,MMG00229466,100129,5.2132539507335345,5.712637046877458,5.611148767820649,5.603572938320076,5.740004674128748,5.857675011836767,5.796177218171642,5.692106327923362,5.318895249698304,5.8084803003963,5.470543372498027,5.514857626213729,5.66039815031458,5.625662091682861
100110897_TGI_at,235472,Prtg,,non-public,ENSEMBLE: ENSMUST00000055535,MMG00325573,235472,2.9175081369573017,2.921360156934695,2.819238989408353,2.8709761940324046,2.821771431347246,2.7648132184455174,2.911193023032455,2.9601409803107686,2.9624934979915576,2.759241071757278,2.9794949346245594,2.9624934979915576,2.865522959139964,2.857622764300719
100110899_TGI_at,NA,,XM_142226,XM_142226,,MMG00374532,NA,4.096346198993175,3.9671501586289786,3.902951474351195,4.108122955337913,3.902951474351195,3.814181243170403,3.72571934689026,3.757556688939453,3.6043204517945897,3.7870980816110045,3.5477336020028396,3.8576028599797416,3.8825061090962856,3.9815239005096976
100110900_TGI_at,69082,Zc3h15,AK012012,AK012012,,MMG00209781,69082,9.544828461548084,9.455654153031753,9.505710740344943,9.533782912681117,9.429411763213867,9.686449051466107,9.552396861594412,9.534320782268571,9.52867601672648,9.1792572426026,9.25769049402225,9.54426377339674,9.650683433956058,9.490219120733748
100110903_TGI_at,76654,Upp2,,non-public,ENSEMBLE: ENSMUST00000071543,MMG00207139,76654,3.6117625600648715,3.6818765006577707,3.523599591088929,3.4339208835135513,3.888100284563422,3.6500407327632978,3.698807439940466,3.6207740658945053,3.531393937824872,3.8742658147455016,3.698807439940466,3.698807439940466,3.2858756410875523,3.5909612413425993
100110904_TGI_at,11757,Prdx3,NM_007452,NM_007452,,MMG00297773,11757,10.985641525059703,11.006196952592388,11.173515370517856,11.03182503420567,11.021521576841453,10.974749554456814,11.00529099266387,10.911690683183288,10.96161848129109,11.024482792728184,11.015758540182071,11.020928423079726,11.027759577703742,11.06963920521813
100110905_TGI_at,52250,Reep1,NM_178608,NM_178608,,MMG00232809,52250,3.7586443002737373,3.939743748561981,4.214140351551854,3.821740823515651,3.98509051552989,3.576836521694372,3.6699905086224724,3.637923186459608,3.5488558085046797,3.600781172472561,3.840916365331433,3.968459444876521,3.8312489647133052,3.759613928617413
100110907_TGI_at,NA,,,non-public,ENSEMBLE: ENSMUST00000077834,MMG00378004,NA,6.554315634619804,6.393946404668471,6.454750026841815,6.331475926123189,6.0647707832054,6.031487832109661,6.242425301915565,6.429257756465582,6.57574646573513,6.389141718517624,6.6954078775775,6.673721770431369,6.192511791560158,6.4567207412583025
100110908_TGI_at,235606,Apeh,NM_146226,NM_146226,,MMG00258600,235606,11.159917807456745,11.168024013238362,11.200711238635057,11.12872689252741,11.010533420700888,11.079031903846289,11.02480605626641,11.039465998872837,10.986312870185108,11.07893273403017,11.066891668219334,10.97320457058692,11.025068256490846,11.004973435268127
